place,title,time,pay,date
전남 여수시,[주부대환영] 주부 배달판매사원 모집(전남 여수시),시간협의,"월급1,800,000",1분전
전남 광양시,[주부대환영] 주부 배달판매사원 모집(전남 광양시),시간협의,"월급1,800,000",3분전
전남 순천시,[주부대환영] 주부 배달판매사원 모집(전남 곡성군 곡성읍),시간협의,"월급1,800,000",5분전
전남 순천시,[주부대환영] 주부 배달판매사원 모집(전남 순천시 조례동),시간협의,"월급1,800,000",6분전
전남 순천시,[주부대환영] 주부 배달판매사원 모집(전남 순천시),시간협의,"월급1,800,000",7분전
광주 동구,[주부대환영] 주부 배달판매사원 모집(전남 화순군),시간협의,"월급1,800,000",10분전
경기 의정부,의정부역.한화생명 후레시매니저 모집,09:00~17:00,"월급2,200,000",5시간전
경기 의정부,망월사역세권 후레시매니저 모집,시간협의,"월급2,200,000",5시간전
경기 의정부,고산지구.회룡역.후레시매니저 모집,시간협의,"월급2,000,000",5시간전
서울 성북구,hy장위점 매니저 구인,08:30~16:30,"월급2,000,000",5시간전
서울 성북구,한국야쿠르트 프레시 매니저 모집,시간협의,"월급1,800,000",6시간전
서울 종로구,"한국야쿠르트(hy) 혜화점(대학로) 매니저 구인(대학로, 종로, 성북동)",07:30~16:00,"월급2,500,000",7시간전
경기 구리시,구리시 주부사원 모집,08:00~16:00,"월급2,500,000",10시간전
경기 구리시,hy 유통판매,08:00~15:00,"월급1,800,000",10시간전
인천 중구,[hy(한국야쿠르트) 영종점 프레시매니저 구인합니다 (자영업자 투잡가능),시간협의,"월급1,000,000",14시간전
인천 중구,[영종하늘도시] hy에서 제품 전달 매니저님을 모집합니다.,시간협의,"월급1,000,000",14시간전
인천 중구,[영종하늘도시] hy에서 제품 전달 매니저님을 모집합니다.,시간협의,"월급1,000,000",14시간전
인천 중구,[인천공항물류단지] hy영종점에서 제품전달(자차) 프레시매니저 1명 모집,06:30~09:30,"월급800,000",14시간전
인천 중구,[인천공항물류단지] hy영종점에서 제품전달(자차) 프레시매니저 1명 모집,06:30~09:30,"월급800,000",14시간전
인천 중구,[인천공항물류단지] hy영종점에서 제품전달(자차) 프레시매니저 1명 모집,06:30~09:30,"월급800,000",14시간전
인천 중구,[인천공항물류단지] hy영종점에서 제품전달(자차) 프레시매니저 1명 모집,06:30~09:30,"월급800,000",14시간전
경북 포항시,HY(구. 한국야쿠르트) 송죽점 프레시매니저 모집,시간협의,"월급1,500,000",14시간전
경북 포항시,HY(구. 한국야쿠르트) 송죽점 프레시매니저 모집,시간협의,"월급1,500,000",14시간전
서울 성북구,"오전근무(7~12)/ 주5일/ 월급 1,200,000원/ 중구 충무로역 인근",07:00~12:00,"월급1,200,000",15시간전
경북 구미시,(hy)한국야쿠르트 프레시매니저 모집 - 구미시 형곡동일대,시간협의,"월급1,500,000",16시간전
서울 성동구,[초보도 가능] hy행당점  프레시매니저 구인(구 한국야쿠르트),08:30~15:30,"월급1,850,000",16시간전
서울 성동구,"약수역/아파트 유제품전달/7~14시/월200/초보,주부가능",07:00~14:00,"월급2,000,000",17시간전
경북 김천시,"(hy)한국야쿠르트 프레시매니저 모집 - 신음,황금,덕곡동 일대",시간협의,"월급1,500,000",17시간전
경북 김천시,(hy)한국야쿠르트 프레시매니저 모집 - 아포읍 일대,시간협의,"월급1,500,000",17시간전
세종 아름동,"월160/시간협의) 야쿠르트 매니저, 세종",09:00~15:00,"월급1,600,000",17시간전
경기 양주시,HY포천점 프레시매니저구인,시간협의,"월급2,000,000",17시간전
서울 성북구,성북구)정릉동/ 정릉시장에서 활동할 야쿠르트 매니저 채용,09:00~16:00,"월급1,800,000",17시간전
대구 북구,(hy)한국야쿠르트 프레시매니저 모집 - 팔달동 일대,시간협의,"월급2,200,000",17시간전
대구 북구,(hy)한국야쿠르트 프레시매니저 모집 - 태전동 일대,시간협의,"월급2,000,000",17시간전
경기 의정부,(주)hy 프레시 매니저 모집 (야쿠르트 의정부점),시간협의,"월급2,000,000",17시간전
대구 북구,(hy)한국야쿠르트 프레시매니저 모집 - 동천동 일대,시간협의,"월급2,000,000",17시간전
대구 북구,(hy)한국야쿠르트 프레시매니저 모집 - 관음동 일대,시간협의,"월급1,000,000",17시간전
경북 구미시,(hy)한국야쿠르트 프레시매니저 모집 - 구미시 원평동일대,시간협의,"월급1,700,000",17시간전
경북 칠곡군,(hy) 한국야쿠르트 프레시매니저 모집 - 왜관읍,시간협의,"월급1,000,000",17시간전
경북 칠곡군,(hy)한국야쿠르트 프레시매니저 모집 - 왜관1공단 일대,시간협의,"월급1,000,000",17시간전
경기 의정부,(주)hy 호원점 (회룡역.망월사역.고산동.금오동.용현동) 프레시매니저 모집,시간협의,"월급2,200,000",17시간전
서울 용산구,"용산구 이태원, 한남동, 보광동/8~14시/190만원/제품 전달 및 고객관리",08:00~14:00,"월급1,900,000",17시간전
서울 용산구,한국야쿠르트 / 신용산점 / 월 180만원 / 07시~15시,시간협의,"월급1,800,000",17시간전
경남 창원시,[200이상/주부환영/교육비ㅇ] 정기고객 대상 유제품 배달매니저 모집,08:00~16:00,"월급2,200,000",17시간전
서울 강북구,[집근처배정/시간조절/전동차제공] 간단배달 매니저 모집,08:00~15:00,"월급1,800,000",17시간전
경남 창원시,[주부환영/교육비ㅇ] 정기고객 대상 유제품 배달매니저 모집,07:00~11:00,"월급1,300,000",17시간전
경남 김해시,[주부환영/교육비ㅇ] 정기고객 대상 유제품 배달매니저 모집,07:00~15:00,"월급2,000,000",18시간전
경기 고양시,[hy원당점] 한국야쿠르트 프레시매니저(유제품배달) 모집(주부/초보 환영),시간협의,"월급2,500,000",18시간전
서울 성동구,"주부환영 / 월 180 / hy 프레시매니저 / 황학동, 신당동, 하왕십리동",08:00~14:00,"월급1,800,000",18시간전
서울 전체,[hy홍은점] 한국야쿠르트 프레시매니저(유제품배달) 모집(주부/초보 환영),시간협의,"월급2,000,000",18시간전
