place,title,time,pay,date
서울 영등포,나이키 신세계영등포 정규직 채용 (주5일근무),시간협의,"월급2,080,000",9분전
강원 원주시,나이키 원주단구동 프리미엄아울렛 정규직 채용 (주 5일제),10:30~21:30,"월급2,130,000",24분전
전국 전체,신세계대구점 나이키 정직원 모집,10:00~20:30,"월급2,080,000",27분전
충남 천안시,"나이키 모다아울렛천안점  정규직 모집(주5일, 평일휴무)",11:00~21:00,"월급2,100,000",32분전
서울 영등포,나이키타임스퀘어 정규직 판매사원 채용[2주3회휴무]/실근로시간 8시간교대근무,10:00~10:00,"월급2,160,000",50분전
경기 성남시,나이키 성남신흥점 정규직 판매사원 채용(주5일),11:00~22:00,"월급2,130,000",2시간전
경기 성남시,나이키 성남신흥점 정규직 판매사원 채용(주5일),11:00~22:00,"월급2,130,000",2시간전
충남 천안시,나이키 신세계 천안아산점 정규직 채용,09:30~20:00,"월급2,080,000",3시간전
서울 영등포,나이키타임스퀘어 정규직 판매사원 채용[2주3회휴무]/실근로시간 8시간교대근무,10:00~10:00,"월급2,160,000",3시간전
서울 중구,나이키 신세계 명동 (본점) 정규직 판매사원 채용,09:30~20:00,"월급2,080,000",3시간전
대구 전체,나이키 신세계백화점 대구점 캐셔 파트 정직원 모집 (주 5일근무),10:00~20:30,"월급2,080,000",3시간전
대전 유성구,나이키 대전 유성점 정규직 판매사원 채용 [주5일제],10:30~21:30,"월급2,130,000",5시간전
경기 부천시,부천스타필드 나이키 정규직/파트타임 판매사원 모집,10:00~22:00,"월급2,160,000",5시간전
인천 부평구,나이키 부평점 정규직 판매사원 채용,10:30~22:00,"월급2,130,000",5시간전
서울 중구,나이키 신세계 명동 (본점) 정규직 판매사원 채용,09:30~20:00,"월급2,080,000",5시간전
서울 서초구,신세계 강남점 나이키 스포츠 정규직원 채용,10:00~20:00,"월급2,080,000",5시간전
충남 천안시,"나이키 모다아울렛천안점  정규직 모집(주5일, 평일휴무)",11:00~21:00,"월급2,100,000",5시간전
대전 유성구,나이키 신세계백화점 Art&Science(대전) 정규직 판매 사원 채용,09:30~20:00,"월급2,080,000",6시간전
