place,title,time,pay,date
경기 하남시,유모차 대여소 고객 응대 아르바이트 모집 (주 5일),10:30~18:30,"시급9,200",53분전
광주 전체,22년 설 명절 아르바이트 모집,09:30~17:30,"시급9,200",1시간전
서울 서초구,21 설 단기아르바이트 모집,10:30~18:30,"시급9,200",1시간전
서울 서초구,명절(주소확인/콜업무) 아르바이트 모집,10:30~18:30,"시급9,200",1시간전
서울 중구,설날 명절행사 아르바이트 모집,10:00~18:00,"시급9,200",2시간전
서울 서초구,21 설 단기아르바이트 모집,10:30~18:30,"시급9,200",4시간전
서울 전체,명절(판매진열) 단기 아르바이트 모집,10:30~18:30,"시급9,200",4시간전
서울 서초구,명절(접수데스크) 아르바이트 모집,10:30~18:30,"시급9,200",4시간전
경기 하남시,[신세계 하남점] 설 명절행사 아르바이트 모집,10:30~18:30,"시급9,200",01/16
대구 동구,직매입 운반 아르바이트 모집,10:00~18:00,"시급9,200",01/16
서울 서초구,아카데미 강의세팅 아르바이트 모집,10:30~18:30,"시급9,200",01/16
서울 영등포,설 명절행사 아르바이트 모집,10:30~18:30,"시급9,200",01/16
대전 전체,포터서비스 아르바이트 모집,10:30~18:30,"시급9,200",01/16
서울 중구,포터서비스(장바구니 운반) 아르바이트 모집,10:30~18:30,"시급9,200",01/15
경기 하남시,[신세계 하남점] 설 명절행사 아르바이트 모집,10:30~18:30,"시급9,200",01/15
부산 해운대,22년 설 명절행사 단기 아르바이트 추가 모집(보건증 소지자),11:00~19:00,"시급9,200",01/14
경기 하남시,"[신세계 하남점] 설 명절행사 아르바이트(운반/진열, 콜센터)",10:30~18:30,"시급9,200",01/09
서울 서초구,분더샵 아르바이트 모집,09:00~17:00,"시급9,200",01/07
