place,title,time,pay,date
서울 노원구,[신세계L&B] 이마트월계점 와인명절세트 단기판촉알바모집(1.20~),13:00~21:00,"일급88,000",4시간전
경기 고양시,[신세계L&B] 트레이더스 킨텍스점 와인판촉 알바 모집(2월 초~),13:00~21:00,"일급88,000",6시간전
경기 고양시,[신세계L&B] 트레이더스 킨텍스점 와인판촉 알바 모집(2월 초~),13:00~21:00,"일급88,000",6시간전
경기 안성시,[신세계L&B] 트레이더스 안성점 와인 판촉 고정행사자 모집(2월부터~),12:00~20:00,"일급88,000",7시간전
경기 평택시,[신세계L&B] 트레이더스 안성점 와인 판촉 고정행사자 모집(2월부터~),12:00~20:00,"일급88,000",7시간전
대구 서구,[신세계L&B] 트레이더스 비산점 와인명절세트 단기판촉알바모집(1.20~),13:00~21:00,"일급88,000",7시간전
경기 부천시,[신세계L&B] 이마트에브리데이 구로항동점 와인매장 고정알바 모집,12:00~20:00,"일급88,000",7시간전
서울 구로구,[신세계L&B] 이마트에브리데이 구로항동점 와인매장 고정알바 모집,12:00~20:00,"일급88,000",7시간전
경기 고양시,[신세계L&B] 이마트에브리데이 탄현역점 와인매장 고정알바 모집,12:00~20:00,"일급88,000",7시간전
경기 고양시,[신세계L&B] 이마트에브리데이 탄현역점 와인매장 고정알바 모집,12:00~20:00,"일급88,000",7시간전
경기 용인시,[신세계L&B] 신세계백화점 경기점 와인배송 알바(단기),12:00~20:00,"일급88,000",8시간전
경기 용인시,[신세계L&B] 신세계백화점 경기점 와인배송 알바(단기),12:00~20:00,"일급88,000",8시간전
