place,title,time,pay,date
서울 관악구,관악서울대점 주 5일 근무자(크루)모집 / 서울대입구역 인근,00:00~24:00,"시급9,500",3시간전
서울 금천구,금천독산점 주 5일 근무자(크루)모집 / 독산역 인근,00:00~24:00,"시급9,500",3시간전
경기 수원시,수원점 주 5일 근무자(크루)모집 / 수원시청역 인근,00:00~24:00,"시급9,500",3시간전
경기 평택시,평택점 주 5일 근무자(크루)모집 / 비전동 인근,00:00~24:00,"시급9,500",3시간전
경기 부천시,부천점 주 5일 근무자(크루)모집 / 춘의역 인근,00:00~24:00,"시급9,500",3시간전
경기 김포시,김포점 주 5일 근무자(크루)모집 / 운양동 인근,00:00~24:00,"시급9,500",3시간전
서울 송파구,송파신천점 주5일 근무자(크루) 모집/잠실새내역인근,00:00~24:00,"시급9,500",3시간전
서울 강남구,강남역삼점 주 5일 근무자(크루)모집 / 신논현역 인근,00:00~24:00,"시급9,500",16시간전
서울 도봉구,[월 22만원 추가지급] B마트 오픈 서포터 모집,00:00~24:00,"시급9,500",16시간전
서울 중랑구,[월 22만원 추가지급] B마트 오픈 서포터 모집,00:00~24:00,"시급9,500",16시간전
서울 중랑구,[월 22만원 추가지급] B마트 오픈 서포터 모집,00:00~24:00,"시급9,500",16시간전
서울 광진구,광진자양점 주 5일 근무자(파트타임 크루)모집 / 성수역 인근,00:00~24:00,"시급9,500",16시간전
서울 마포구,마포홍대점 주 5일 근무자(크루) 모집 / 상수역인근,00:00~24:00,"시급9,500",16시간전
서울 서초구,[최대 60만원 보너스]서초반포점 주 5일 근무자(크루)모집,00:00~24:00,"시급9,500",16시간전
서울 영등포,영등포신길점 주 5일 근무자(크루)모집 / 영등포역 인근,00:00~24:00,"시급9,500",16시간전
인천 부평구,[주말근무] 인천부평점 주말 근무자(크루)모집 / 갈산역 인근,00:00~24:00,"시급9,500",16시간전
인천 부평구,인천부평점 주 5일 근무자(크루)모집 / 갈산역 인근,00:00~24:00,"시급9,500",16시간전
경기 성남시,[최대 60만원 보너스]분당점 주 5일 근무자(크루)모집 / 서현역 인근,00:00~24:00,"시급9,500",16시간전
서울 중랑구,[교통비지급/고정시간] B마트 상품품질관리원 모집(도봉/중랑),09:00~15:30,"시급9,160",01/14
서울 성동구,[교통비지급/고정시간] B마트 상품품질관리원 모집(성동/중구),09:00~15:30,"시급9,160",01/14
서울 마포구,[교통비지급/고정시간] B마트 상품품질관리원 모집(마포/용산),09:00~15:30,"시급9,160",01/14
서울 구로구,[교통비지급/고정시간] B마트 상품품질관리원 모집(구로/강서),09:00~15:30,"시급9,160",01/14
서울 관악구,[교통비지급/고정시간] B마트 상품품질관리원 모집(관악),09:00~15:30,"시급9,160",01/14
서울 송파구,[교통비지급/고정시간] B마트 상품품질관리원 모집(송파),09:00~15:30,"시급9,160",01/14
서울 강남구,[교통비지급/고정시간] B마트 상품품질관리원 모집(논현동),09:00~15:30,"시급9,160",01/14
서울 강남구,[교통비지급/고정시간] B마트 상품품질관리원 모집(양재동),09:00~15:30,"시급9,160",01/14
