place,title,time,pay,date
강원 동해시,CU동해이원사거리점 평일 저녁 근무자 모집,21:00~01:00,"시급9,160",1분전
서울 은평구,토요일 19~22시 3시간 경력자구합니다,시간협의,"시급9,160",1분전
서울 강동구,cu 강동 천일점  금~토24시~07시 1명   일요일 07~13시 1명 모,24:00~07:00,"시급9,160",1분전
경기 하남시,"CU하남블리스점 월,화,수 오전 스테프모집합니다",06:00~11:00,"시급9,160",1분전
경기 양주시,금요일 야간 근무자 모집합니다,22:00~08:00,"시급9,160",1분전
충남 계룡시,씨유 계룡엄사타운점에서 함께할 STAFF를 모십니다.,시간협의,"시급9,160",3분전
충남 천안시,안서동 cu단대호수점 평일 알바 구합니다,12:00~18:00,"시급9,160",3분전
경남 김해시,CU김해활천역점에서 목~금 오후 SAFFT 모집합니다,18:00~22:00,"시급9,160",3분전
광주 동구,목~금 저녁(19:00~24:00)근무자 구인,19:00~24:00,"시급9,160",3분전
경북 경산시,CU 경산부영사랑점 평일 야간 아르바이트 채용,23:00~08:00,"시급9,160",3분전
부산 영도구,CU한나타워점 주중야간알바,22:00~08:00,"시급9,160",4분전
대전 서구,주말야간 스태프 구합니다,23:00~09:00,"시급9,160",4분전
경북 구미시,CU구미양포점 주말 아르바이트 모집,02:00~08:00,"시급9,160",4분전
경기 성남시,씨유분당백현마을점 월화 야간(00~07시)스태프모집,00:00~07:00,"시급9,160",4분전
서울 서초구,CU  [ 주 1일 야간 [ 금요일 ] ] 근무자를 구합니다,22:00~08:00,"시급9,200",4분전
경기 김포시,"일요일, 월요일 야간근무자를 모집합니다.",23:00~06:00,"시급9,160",4분전
경기 오산시,"평일(월,화) 야간 스태프 구합니다.(오전 0시~7시)",00:00~07:00,"시급9,160",4분전
부산 해운대,평일야간모집,11:00~09:00,"시급9,160",5분전
충북 청주시,주말 주간 스텝 모집(토) 12시간,08:00~20:00,"시급9,160",5분전
경북 김천시,CU김천한음점 주말 야간 스태프 모집합니다.,00:00~08:00,"시급9,160",5분전
경기 부천시,CU부천오정원룸점 주말(야간) 스태프 모십니다.,23:00~08:00,"시급9,160",6분전
서울 구로구,CU 항동7점 주말 오후~저녁근무자 구합니다,16:00~23:00,"시급9,160",7분전
경기 성남시,CU 나눔판교대장점 평일 월 화 목 일 4일 오후 스태프 채용합니다,17:00~23:00,"시급9,160",7분전
경북 성주군,알바구합니다,11:30~15:30,"시급9,160",8분전
서울 은평구,매주  1일야간근무하실분(21시~09시)요일조절가능,21:00~09:00,"시급9,160",8분전
대구 서구,주말오후 아르바이트구합니다.,15:00~22:00,"시급9,160",8분전
서울 종로구,화수야간 스태프 구합니다,23:00~06:00,"시급9,160",8분전
강원 동해시,CU동해이원사거리점 주말 근무자 모집,20:00~01:00,"시급9,160",8분전
경남 김해시,"CU김해 활천역점에서 주말 오전,오후 SATTF 구합니다",08:00~15:00,"시급9,160",9분전
서울 노원구,CU하계문화점 주중 근무자 모집합니다.,10:00~17:00,"시급9,160",10분전
강원 원주시,원주 중앙대로점 주말 스태프 구합니다,16:00~23:00,"시급9,160",10분전
경기 하남시,"미사행복점 수,목 저녁근무자 구합니다",17:00~24:00,"시급9,160",11분전
서울 은평구,목요일오전    근무스탭모집합니다,06:00~12:00,"시급9,160",11분전
서울 강서구,CU이대서울장례식장점(직영) 평일 오전STAFF모집(07~12시),07:00~12:00,"시급9,160",11분전
강원 원주시,"금, 토요일 야간스태프 모집.(오후10시~오전8시)시급10,000원",22:00~08:00,"시급10,000",12분전
경남 진주시,평일야간알바,23:00~08:00,"시급9,160",12분전
경기 안성시,"안성 아양스타점)주말 [금,토] 스탭 모집합니다. (16:00~23:00)",16:00~23:00,"시급9,160",12분전
대구 동구,평일야간  함께하실 스태프  급구합니다.,시간협의,"시급9,160",12분전
경기 의정부,용현동 CU편의점  주말토요일오후타임아르바이트,23:00~08:00,"시급9,200",12분전
경기 용인시,CU용인원삼점 토일 마감스태프 구합니다.,18:00~01:00,"시급9,160",13분전
경기 의정부,용현동 CU편의점  평일(월요일 화요일밤)야간아르바이트,23:00~08:00,"시급9,160",14분전
인천 부평구,주말야간(24시ㅡ07시)구합니다,24:00~07:00,"시급9,160",14분전
경기 용인시,CU용인원삼점 금토일 마감스태프 구합니다.,18:00~01:00,"시급9,160",14분전
서울 동대문,평일 오후 스테프 모집합니다.,16:00~23:00,"시급9,300",14분전
경기 수원시,"권선중앙점에서 평일저녁 스태프 모집합니다. (수,목 근무)",17:00~24:00,"시급9,160",14분전
경기 용인시,CU용인원삼점 금토일 마감스태프 구합니다.,18:00~01:00,"시급9,160",15분전
경기 수원시,"평일오후 근무자 모집합니다(월,수)",12:00~19:00,"시급9,160",15분전
서울 강남구,CU 매봉역점 주말 야간 알바 구합니다,00:00~07:00,"시급9,200",15분전
경남 창원시,CU창원피오르빌점 평일야간 구합니다,21:00~06:00,"시급9,160",15분전
충남 아산시,"토,일 주말근무자 모집합니다.",19:00~02:00,"시급9,160",16분전
