place,title,time,pay,date
인천 남동구,[MIXXO 인천점] 주 4일(8시간) 스텝 모집,시간협의,"시급9,160",30분전
서울 강남구,[MIXXO 강남점] 주 4일/5일(32/40시간) 스텝 모집,시간협의,"시급9,160",1시간전
세종 전체,[스파오 세종AK점] 주 5일(35시간) STAFF 모집,시간협의,"시급9,160",2시간전
경기 수원시,[FOLDER 롯데수원점] 주 5일 스텝 모집,10:00~19:00,"시급9,160",2시간전
서울 강남구,[MIXXO 코엑스점] 주 3/4일(8시간) 스텝 모집,시간협의,"시급9,160",2시간전
부산 중구,[FOLDER 부산광복점] 주 5일 스텝 모집,12:00~21:00,"시급9,160",2시간전
대전 서구,[FOLDER 대전둔산점] 주 5일(8시간) 스텝 모집,11:00~20:00,"시급9,160",3시간전
부산 중구,[FOLDER 부산광복점] 주 5일 스텝 모집,12:00~21:00,"시급9,160",4시간전
서울 영등포,[스파오 타임스퀘어점] 주 5일(35시간) STAFF 모집,시간협의,"시급9,160",4시간전
경기 안성시,[FOLDER 안성 스타필드점] 주 5일 스텝 모집,13:00~22:00,"시급9,160",4시간전
대구 중구,[MIXXO 동성로점] 주 3일(24시간) 스텝 모집,시간협의,"시급9,160",4시간전
경기 평택시,"[스파오 안성점] 주 5일(35시간) 창고,물류 STAFF 모집",시간협의,"시급9,160",5시간전
대전 전체,[스파오 대전세이탄방점] 주 4일(28시간) STAFF 모집,시간협의,"시급9,160",5시간전
대전 전체,[스파오 대전세이탄방점] 주 5일(35시간) STAFF 모집,시간협의,"시급9,160",5시간전
서울 서초구,[스파오 신세계 강남점] 주5일 주4일 신규 오픈 STAFF 모집,시간협의,"시급9,160",5시간전
경기 수원시,[FOLDER 롯데수원점] 주 5일 스텝 모집,10:00~19:00,"시급9,160",7시간전
경기 고양시,[MIXXO 일산롯데점] 평일 주 3일(일근무 8시간) 스텝 모집,09:00~22:30,"시급9,160",8시간전
경기 수원시,[FOLDER 롯데수원점] 주 5일 스텝 모집,10:00~19:00,"시급9,160",14시간전
서울 관악구,[스파오 라붐서울대입구점] 주 3일(21시간) STAFF 모집,시간협의,"시급9,160",16시간전
경기 안성시,[FOLDER 안성 스타필드점] 주 5일 스텝 모집,시간협의,"시급9,160",16시간전
세종 전체,[MIXXO 세종AK점] 주 5일(5시간) 스텝 모집,시간협의,"시급9,160",17시간전
부산 중구,[FOLDER 부산광복점] 주 5일 스텝 모집,12:00~21:00,"시급9,160",01/16
경북 구미시,[FOLDER 구미점] 주 5일 스텝 모집,시간협의,"시급9,160",01/16
인천 남동구,[MIXXO 인천점] 주 4일(8시간) 스텝 모집,시간협의,"시급9,160",01/16
서울 금천구,[스파오 동성로중앙점] 주 4일(32시간) STAFF 모집,시간협의,"시급9,160",01/15
서울 강남구,[MIXXO 코엑스점] 주 3/4일(8시간) 스텝 모집,13:00~22:00,"시급9,160",01/15
서울 강남구,[MIXXO 강남점] 단기 4/5일 (일 8시간) 스텝 모집,시간협의,"시급9,160",01/15
경기 하남시,[FOLDER 하남스타필드점] 스텝 모집,13:00~22:00,"시급9,160",01/15
인천 남동구,[MIXXO 인천점] 주 4일(8시간) 스텝 모집,시간협의,"시급9,160",01/15
서울 마포구,"[스파오 합정점] 주 4일(ST28), 주5일(ST35) STAFF 모집",시간협의,"시급9,160",01/14
서울 중구,[MIXXO 명동점] 일주일 단기 주 3일(8시간) 스텝 모집,시간협의,"시급9,160",01/12
전북 전주시,[FOLDER 전주효자점] 주 5일 스텝 모집,시간협의,"시급9,160",01/12
충북 청주시,[FOLDER 청주성안점] 주 5일 스텝 모집,11:00~20:00,"시급9,160",01/11
인천 남동구,[MIXXO 인천점] 주 4일(8시간) 스텝 모집,시간협의,"시급9,160",01/11
부산 중구,[FOLDER 부산광복점] 주 5일 스텝 모집,12:00~21:00,"시급9,160",01/10
서울 강남구,[MIXXO 코엑스점] 주 3/4일(8시간) 스텝 모집,시간협의,"시급9,160",01/09
경기 안성시,[MIXXO 안성스타필드점] 주 2일(주 13시간) 스텝 모집,14:00~21:00,"시급9,160",01/09
부산 중구,[FOLDER 부산광복점] 주 5일 스텝 모집,12:00~21:00,"시급9,160",01/08
충북 청주시,[FOLDER 청주지웰점] 주 5일 스텝 모집,10:00~20:00,"시급9,160",01/08
경기 성남시,[MIXXO 야탑점] 주 3일(8시간) 스텝 모집,시간협의,"시급9,160",01/08
충북 청주시,[FOLDER 청주지웰점] 주 5일 스텝 모집,10:00~20:00,"시급9,160",01/06
서울 강남구,[MIXXO 강남점] 주 3일~5일 (24/32/40시간) 스텝 모집,시간협의,"시급9,160",01/05
서울 강남구,[MIXXO 강남점] 주 3일~5일 (24/32/40시간) 스텝 모집,시간협의,"시급9,160",01/05
경기 안성시,[MIXXO 안성스타필드점] 주 4일(주 32시간) 스텝 모집,12:00~21:00,"시급9,160",01/05
경북 구미시,[FOLDER 구미점] 주 5일 스텝 모집,11:00~20:00,"시급9,160",01/04
충북 청주시,[FOLDER 청주지웰점] 주 5일 스텝 모집,10:00~20:00,"시급9,160",01/04
경기 하남시,[FOLDER 하남스타필드점] 스텝 모집,12:00~21:00,"시급9,160",01/03
서울 금천구,[MIXXO 강남점] 주 3일~5일 (24/32/40시간) 스텝 모집,시간협의,"시급9,160",01/03
전북 전주시,[FOLDER 전주효자점] 주 5일 스텝 모집,시간협의,"시급9,160",01/03
대구 중구,[스파오 스파오 동성로중앙점] 주 4일(32시간) STAFF 모집,시간협의,"시급9,160",01/02
