place,title,time,pay,date
경남 진주시,(주)지에스리테일 편의점사업부 랄라블라 진주평거점 평일 오전 아르바이트 모집,10:00~15:30,"시급9,160",2시간전
경남 진주시,(주)지에스리테일 편의점사업부 랄라블라 진주평거점 미들 아르바이트 모집,14:00~17:00,"시급9,160",2시간전
서울 양천구,(주)지에스리테일 랄라블라 파리공원점 평일 오후 아르바이트 모집,17:30~20:30,"시급9,160",2시간전
경기 수원시,GS리테일 H&B 랄라블라 수원영통점 수목금/주말 마감 부담당채용,17:00~22:00,"시급9,160",2시간전
경남 진주시,(주)지에스리테일 편의점사업부 랄라블라 진주평거점 평일 오후 아르바이트 모집,16:30~22:30,"시급9,160",2시간전
경남 진주시,(주)지에스리테일 편의점사업부 랄라블라 진주평거점 주말 오전 아르바이트 모집,10:00~15:30,"시급9,160",2시간전
서울 전체,[GS리테일 랄라블라] 아차산역점 주말 오전 부담당 구인,10:00~14:30,"시급9,160",3시간전
서울 강북구,"GS리테일 랄라블라 미아사거리점 주말오전(토,일)부담당 모집",10:30~15:00,"시급9,160",01/16
서울 서대문,GS리테일 랄라블라 이대점 주말 오픈 부담당 모집,10:00~13:00,"시급9,160",01/15
경남 진주시,(주)지에스리테일 랄라블라 진주대안점 평일 오후 모집,시간협의,"시급9,160",01/15
경기 김포시,[GS리테일 랄라블라]김포구래점 주말 마감 부담당 채용,18:30~23:00,"시급9,160",01/13
경기 김포시,[GS리테일 랄라블라]김포구래점 주말 오픈 부담당 채용,10:00~14:30,"시급9,160",01/13
