place,title,time,pay,date
경기 군포시,gs더프레시 군포오금점 캐셔 진열사원 모집합니다.,시간협의,"시급9,160",7분전
경기 남양주,[경력직 점장채용]GS 수퍼마켓 점장 채용 건,시간협의,"연봉42,000,000",11분전
경기 파주시,GS더프레시 파주 문산점에서 근무하실분 모십니다.,16:00~23:00,"시급9,160",11분전
경기 전체,GS수퍼마켓 용인한숲시티 4점 직원 모집,시간협의,"월급1,914,440",12분전
경북 포항시,GS수퍼마켓 포항연일점 직원 구인,08:00~13:30,"시급9,160",30분전
경남 창원시,GS수퍼 창원감계점  직원 모집합니다,16:00~22:30,"시급9,160",32분전
경기 안양시,gs더프레쉬 안양석수점 주중 오후 계산원 모집,18:00~23:00,"시급9,160",33분전
충남 아산시,GS수퍼마켓 직원모집,16:00~23:00,"시급9,160",37분전
충북 청주시,[오후캐셔] GS수퍼 청주오창점 사원 채용,16:00~23:00,"월급1,864,060",52분전
충북 청주시,[오전진열] GS수퍼 주성점 사원 채용,07:00~13:00,"월급1,584,680",53분전
충남 천안시,"계산대,진열,조리코너 구인 합니다",시간협의,"시급9,160",55분전
서울 영등포,GS THE FRESH 여의도점에서 함께 일할 직원분을 모집합니다.,시간협의,"시급9,160",59분전
서울 영등포,GS THE FRESH 여의도점에서 함께 일할 직원분을 모집합니다.,시간협의,"시급9,160",59분전
서울 영등포,GS THE FRESH 여의도점에서 함께 일할 직원분을 모집합니다.,시간협의,"시급9,160",1시간전
경기 안산시,GS THE FRESH 안산그랑시티자이점 계산대(캐셔) 구인,17:00~21:00,"시급9,160",1시간전
경기 시흥시,"배곧신도시점 1월30일,31일 일일 근무자 구인",12:00~21:00,"일급80,000",1시간전
부산 강서구,[주5일/19시-23시/매장직 채용]GS수퍼 부산지사점,18:30~23:00,"시급9,160",1시간전
강원 강릉시,GS 수퍼마켓 강릉입암점 10:00~13:00 오픈직원 모집,10:00~13:00,"시급10,000",1시간전
부산 강서구,[주5일/09시-16시/매장직 채용]GS수퍼 부산지사점,08:00~15:00,"월급1,477,280",1시간전
부산 강서구,[주5일/08시-15시/매장직 채용]GS수퍼 부산지사점,08:00~15:00,"월급1,477,280",1시간전
부산 강서구,[월8회휴무/16시-23시/매장직 채용]GS수퍼 부산지사점,16:00~23:00,"월급1,650,000",1시간전
경기 전체,GS더프레시 과천자이점에서 조리코너 근무하실 가족을 모집합니다.,09:00~18:00,"시급9,160",1시간전
경기 의왕시,오후 계산대 모집,16:00~23:00,"시급9,160",1시간전
경기 의정부,GS THE FRESH 의정부민락점에서 조리 근무자를 모집합니다.,16:00~23:00,"시급9,160",1시간전
경기 의왕시,오전 근무자 구인 (계산대 / 하역업무),시간협의,"시급9,160",1시간전
부산 사상구,GS THE FRESH 엄궁점 단기아르바이트 모집 (오후),19:30~23:00,"시급9,160",2시간전
서울 양천구,GS수퍼 목동7점에서 함께 일하실 매니져님을 찾고 있습니다.,09:00~16:00,"시급9,160",2시간전
경기 동두천,GS수퍼마켓 동두천점에서 조리 진열/판매 스토어매니저를 모집합니다,15:00~19:30,"시급9,160",2시간전
서울 성북구,"GS수퍼 동소문점, 오후 15시~22시 스토어매니저 모집합니다",15:00~22:00,"시급9,160",2시간전
서울 전체,"시급1만원,주4일 근무자 모집 (오전 3.5시간)",10:00~13:30,"시급10,000",2시간전
경북 포항시,GS수퍼 포항양덕점 공산품 업무 함께할 가족구해요,시간협의,"시급9,160",2시간전
경북 포항시,GS수퍼 포항양덕점 공산품 업무 함께할 가족구해요,시간협의,"시급9,160",2시간전
경기 하남시,조리코너 직원 모집,09:00~15:00,"시급9,160",2시간전
경기 하남시,주차장 관리 단기 알바채용,11:00~18:00,"시급10,000",2시간전
강원 속초시,GS더프레시(구GS수퍼 속초교동점) 초단기근무자 채용(조리코너 : 2명),17:00~20:00,"시급12,000",2시간전
강원 원주시,야간 계산원 채용,시간협의,"시급9,160",2시간전
경기 평택시,"지에스수퍼마켓 동삭 2점에서 오전,오후 진열 및 계산 알바/직원 구합니다.",08:00~15:30,"시급9,160",2시간전
강원 원주시,야간 조리 근무자 채용,시간협의,"시급10,000",2시간전
강원 원주시,조리 직원 채용,시간협의,"시급9,160",2시간전
경기 용인시,조리코너 직원모집합니다.(1명),09:00~14:00,"시급9,160",3시간전
경남 창원시,GS수퍼마켓)월영마린점 주중 야간알바생모집,18:00~23:00,"시급9,160",3시간전
경기 용인시,"명절 단기알바 구합니다.(31일,월요일 8시간 알바 3명)",08:00~17:30,"시급10,000",3시간전
충남 천안시,"함께일할 직원을 모집합니다. ( 조리1명, 피킹+공산 1명)",시간협의,"시급9,160",3시간전
경남 창원시,GS 더 프레시 마산회원점 조리코너 새로운 가족(남/여)을 모집합니다.,15:30~21:30,"시급9,160",3시간전
서울 강남구,진열사원 모집,09:00~18:00,"월급2,216,720",3시간전
충남 공주시,GS더프래시 직원모집,13:00~20:00,"시급9,160",3시간전
충남 천안시,GS수퍼 천안쌍용점 즐겁게 근무할 직원 모집,시간협의,"시급9,160",3시간전
강원 원주시,야간 계산원 채용,시간협의,"시급9,160",3시간전
서울 서대문,북가좌점) 진열/ 판매 /인터넷주문 포장 3.5시간 주4일 근무자 채용합니다,10:30~14:00,"시급10,000",3시간전
경기 남양주,GS수퍼 다산금강펜테리움점 주말 조리직원 채용,09:00~15:00,"시급9,160",3시간전
