place,title,time,pay,date
서울 용산구,[용산] H&M 1개월 단기근무 가능자 모집(주20시간),10:00~23:00,"시급10,992",17시간전
경기 하남시,[하남스타필드] H&M 정규직 근무자 모집(주30시간),06:30~23:00,"시급10,992",01/15
경기 하남시,[하남스타필드] H&M 정규직 근무자 모집(주20시간),06:30~23:00,"시급10,992",01/15
경기 부천시,[부천홈플러스] H&M 1개월 단기근무 가능자 모집(주20시간),07:00~22:00,"시급10,992",01/15
경기 하남시,[하남스타필드] H&M 1개월(5주) 단기근무 가능자 모집(주20시간),06:30~23:00,"시급10,992",01/15
경기 성남시,[판교현대백화점] H&M 1개월(5주) 단기근무 가능자 모집(주20시간),07:00~21:30,"시급10,992",01/15
서울 영등포,[영등포타임스퀘어] H&M 3개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,992",01/15
서울 구로구,[신도림] H&M 일일근무 가능자 모집,06:30~21:30,"시급10,992",01/15
충남 천안시,[천안] H&M 1개월 단기근무 가능자 모집(주20시간),12:00~21:00,"시급10,992",01/15
충남 천안시,[천안] H&M 일일근무 가능자 모집,11:00~20:00,"시급10,992",01/15
부산 해운대,[부산센텀] H&M 3개월 단기근무 가능자 모집(주8시간),11:00~20:00,"시급10,992",01/14
경기 하남시,[하남스타필드] H&M 정규직 Full Timer 모집(주40시간),시간협의,"연봉22,973,280",01/10
서울 송파구,[잠실] H&M 3개월 단기근무 가능자 모집(주20시간),07:00~22:00,"시급10,992",01/08
경기 부천시,[부천옥길] H&M 3개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",01/07
서울 강서구,[강서NC] H&M 3개월 단기근무 가능자 모집(주20시간),07:00~21:00,"시급10,992",01/07
서울 영등포,[영등포타임스퀘어] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,992",01/07
대구 중구,[대구] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,992",01/07
