place,title,time,pay,date
서울 전체,주유원모집/고려대/제기동/풍한주유소/기숙사.단시간알바가능,시간협의,"시급9,160",16시간전
서울 동대문,개인운전기사구합니다,10:00~17:00,"시급10,000",16시간전
경기 의왕시,경기도 의왕시 SK대원주유소 [급여240만원]세차직원모집 식사제공(2끼),09:00~19:00,"월급2,400,000",18시간전
경기 의왕시,경기도 의왕시 SK대원주유소 [급여240만원]세차직원모집 식사제공(2끼),09:00~19:00,"월급2,400,000",18시간전
경기 의왕시,경기도 의왕시 SK대원주유소 [급여240만원]세차직원모집 식사제공(2끼),09:00~19:00,"월급2,400,000",18시간전
경기 의왕시,의왕시 오전동 주유소 알바 모집,09:00~18:00,"시급9,160",18시간전
서울 서초구,oo 주유원 구함 oo,시간협의,"시급9,160",19시간전
경기 오산시,[일9시간/월272만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000",19시간전
경기 평택시,서울석유(주)항만주유소 주유원 모집합니다.(숙식가능 1인1실),08:00~16:00,"월급2,200,000",20시간전
경기 광주시,기름나라주유소 직원모집,09:00~18:00,"월급2,500,000",20시간전
서울 마포구,주유직원 모집합니다,11:30~19:30,"월급2,254,000",20시간전
경기 시흥시,주유및세차원(편의점)을 모집합니다.(정말 성실한분을 모십니다.),08:00~18:00,"월급2,800,000",21시간전
경남 양산시,셀프주유소 알바모집,12:00~16:00,"시급9,160",22시간전
서울 동대문,함께 일 하실분 구합니다,10:00~18:00,"시급9,160",22시간전
서울 동대문,주말  함께 일하실분  구합니다,10:00~17:00,"시급9,160",22시간전
서울 송파구,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000",01/17
서울 송파구,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000",01/17
서울 송파구,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000",01/17
서울 송파구,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000",01/17
서울 송파구,남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공),09:00~19:00,"월급2,400,000",01/17
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000",01/17
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000",01/17
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000",01/17
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000",01/17
경기 성남시,서울송파구에서남.여 급여 240만원 자동세차 직원구합니다~ (식사 2끼 제공,09:00~19:00,"월급2,400,000",01/17
경남 밀양시,주유세차원 구합니다,시간협의,"시급9,160",01/17
경기 용인시,SK언남신도시셀프주유소에서 가족을 모십니다,20:00~06:00,"시급9,200",01/16
경기 광주시,기름나라주유소 직원모집,09:00~18:00,"시급9,160",01/16
경기 오산시,[일9시간/월272만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000",01/16
강원 삼척시,"원더플 주중, 주말 근무 직원 모집",12:00~21:00,"시급10,000",01/16
서울 전체,주유사원모집,시간협의,"시급9,300",01/16
경기 수원시,"셀프주유소 최소1만원이상(+&능력별차등지급),주말알바모집,시급외 주휴수당지급",시간협의,"시급10,000",01/16
전국 전체,[일9시간/월272만원]KH에너지 오산주유소(과천) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000",01/16
경기 부천시,주유및세차,시간협의,"월급2,500,000",01/15
경기 고양시,주유및세차,09:00~18:00,"월급2,500,000",01/15
서울 전체,주유/세차직원 구합니다.,06:30~15:00,"월급2,235,040",01/15
서울 도봉구,"셀프주유,세차직원모집(경력자)",시간협의,"시급9,160",01/15
경기 의정부,"셀프주유,세차직원모집(경력자)",시간협의,"시급9,160",01/15
서울 서초구,oo 주유원 구함 oo,시간협의,"시급9,160",01/15
서울 서초구,oo 주유원 구함 oo,시간협의,"시급9,160",01/15
전국 전체,[일9시간/월272만원]KH에너지 오산주유소(과천) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000",01/15
경기 오산시,[일9시간/월272만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000",01/15
경기 광주시,기름나라주유소 직원모집,09:00~18:00,"시급9,160",01/15
경기 용인시,SK언남신도시셀프주유소에서 가족을 모십니다,11:00~21:00,"시급9,200",01/14
경기 화성시,성실하게 일하실분 구합니다. ( SK 88주유소),시간협의,"월급2,300,000",01/14
경기 오산시,[일9시간/월272만원]KH에너지 오산주유소(동탄) 주유사원모집(세차없슴),10:00~19:00,"월급2,721,000",01/14
부산 전체,주유원 모집,05:30~12:30,"시급9,160",01/14
서울 전체,주유원모집/고려대/제기동/풍한주유소/기숙사.단시간알바가능,시간협의,"시급9,160",01/14
경기 양평군,기숙사및 식대지원 일인일실,시간협의,"월급2,200,000",01/14
경기 의왕시,경기도 의왕시 SK대원주유소 [급여240만원]세차직원모집 식사제공(2끼),09:00~19:00,"월급2,400,000",01/14
