place,title,time,pay,date
경기 수원시,[서수원점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,"시급9,990",2시간전
대구 북구,[칠성점]SSG.COM 스태프(주5일 근무) 모집[교대근무 가능자],08:00~22:00,"시급9,990",4시간전
경기 평택시,[평택점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",4시간전
광주 광산구,[광산점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,"시급9,990",4시간전
광주 남구,[봉선점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",4시간전
경기 안성시,[안성점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",4시간전
경기 용인시,[수지점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,"시급9,990",17시간전
경기 평택시,[평택점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
경기 용인시,[동백점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
경기 오산시,[오산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
전북 익산시,[익산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
충남 아산시,[TRADERS천안점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
경기 수원시,[TRADERS수원점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
경기 화성시,[화성봉담점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
경기 용인시,[보라점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
충남 서산시,[서산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
전북 군산시,[군산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
충북 충주시,[충주점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
경기 용인시,[TRADERS구성점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
충북 청주시,[청주점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",17시간전
전남 여수시,[여수점] SSG.COM 스태프(주 5일 근무) 모집,08:00~22:00,"시급9,990",17시간전
광주 광산구,[광산점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,"시급9,990",17시간전
서울 강서구,[가양점]SSG.COM 스태프(주 5일근무)모집,08:30~16:30,"시급9,990",17시간전
경기 군포시,[산본점]SSG.COM 스태프(주5일 근무)모집,08:00~16:00,"시급9,990",17시간전
전남 목포시,[목포점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,"시급9,990",01/16
광주 남구,[봉선점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/16
충남 천안시,[천안서북점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/16
세종 가람동,[세종점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/16
인천 서구,[검단점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/15
울산 남구,[울산점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/15
제주 서귀포,[서귀포점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/15
충남 천안시,[펜타포트점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/11
경기 하남시,[TRADERS 위례점]SSG.COM 스태프(주5일 근무)모집,08:00~16:00,"시급10,940",01/11
충남 서산시,[서산점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/11
경기 안성시,[TRADERS안성점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/10
서울 성동구,[성수점]SSG.COM 스태프35(일 7시간/주5일 근무)모집,14:00~22:00,"시급9,990",01/10
서울 광진구,[자양점]SSG.COM 스태프35(일 7시간/주5일 근무)모집,14:00~22:00,"시급9,990",01/10
서울 성동구,[왕십리점]SSG.COM 스태프35(일 7시간/주5일 근무)모집,14:00~22:00,"시급9,990",01/10
서울 서초구,[양재점]SSG.COM 스태프35(일 7시간/주5일 근무)모집,14:00~22:00,"시급9,990",01/10
경기 고양시,[TRADERS 고양점]SSG.COM 스태프(주5일 근무)모집,08:00~16:00,"시급10,940",01/10
경기 파주시,[파주점]SSG.COM 스태프(주5일 근무)모집,08:00~16:00,"시급9,990",01/10
대구 수성구,[만촌점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/09
강원 춘천시,[춘천점] SSG.COM 스태프(주5일 근무) 모집,08:00~23:00,"시급9,990",01/08
강원 강릉시,[강릉점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/08
경기 포천시,[포천점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/03
경기 평택시,[평택점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/03
대전 서구,[둔산점] SSG.COM 스태프(주 5일 근무) 모집,08:00~16:00,"시급9,990",01/03
강원 동해시,[동해점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급9,990",01/03
