place,title,time,pay,date
경기 수원시,TGIF 롯데몰수원점 홀&주방 파트타임 모집,시간협의,"시급10,470",13시간전
경기 파주시,TGIF파주아울렛점에서 함께할 홀 파트타임 장기채용모집합니다,시간협의,"시급11,000",14시간전
경기 수원시,TGIF 롯데몰수원점 홀&주방 파트타임 모집,시간협의,"시급10,470",14시간전
서울 영등포,TGIF 영등포점 주방 직원 모집합니다 :),시간협의,"시급11,000",18시간전
서울 강서구,TGIF/티지아이/김포공항점/주방/평일/주말/파트타이머 모집,시간협의,"시급11,000",22시간전
부산 중구,[TGIF광복점]즐겁게 일하실 주방 직원 모집中,시간협의,"시급11,000",23시간전
경기 수원시,TGIF 롯데몰수원점 홀&주방 파트타임 모집,시간협의,"시급10,470",01/16
경기 고양시,TGIF 일산점 주방에서 함께 일할 분들을 모집합니다.,시간협의,"시급11,000",01/16
경기 고양시,TGIF 일산점 주방에서 함께 일할 분들을 모집합니다.,시간협의,"시급11,000",01/15
대전 서구,"[TGIF대전점] 주방 알바 구합니다(시급:11,000원)",시간협의,"시급11,000",01/13
부산 전체,[TGIF광복점] FOH(홀파트)직원 모집합니다,시간협의,"시급11,000",01/13
경기 안양시,평촌점 홀서빙파트 모집,00:00~24:00,"시급11,000",01/11
경기 안양시,평촌점 주방파트 모집,시간협의,"시급11,000",01/11
경기 수원시,TGIF 롯데몰수원점 홀&주방 파트타임 모집,시간협의,"시급10,470",01/08
부산 전체,[TGIF광복점] FOH(홀파트)직원 모집합니다,시간협의,"시급11,000",01/08
부산 중구,[TGIF광복점]즐겁게 일하실 주방 직원 모집中,시간협의,"시급11,000",01/06
