place,title,time,pay,date
경기 하남시,"[트레이더스 하남점] STAFF 모집(or 주말 토,일 근무자)",06:00~23:00,"시급10,940",6분전
경기 남양주,[이마트 별내점]2개월 단기스태프(주5일) 사원 모집,09:00~23:00,"시급9,990",14분전
서울 강남구,[이마트 역삼점] 설 명절 단기 SATFF 모집,10:00~23:00,"시급9,240",24분전
대구 달서구,[이마트 성서점] 안내(방역패스)/진열/판매 스태프(주5일근무)사원모집,09:00~23:00,"시급9,990",1시간전
서울 성동구,"[이마트 왕십리점] 스태프35 모집(주5일 근무, 시급 9,990원)",08:00~23:00,"시급9,990",1시간전
경기 하남시,"[트레이더스위례점] 주5일,주말2일 스태프 모집공고",시간협의,"시급10,940",2시간전
경기 의왕시,[이마트 의왕점]2022년 설명절 스태프 모집,09:00~17:00,"시급9,240",2시간전
경기 화성시,[이마트 화성봉담점] 스태프 모집(주 5일근무/3개월),09:00~23:00,"시급9,990",2시간전
대전 서구,"[트레이더스월평점] 주5일,(주말2일)스태프 모집공고(주간/야간)",06:00~00:00,"시급9,990",2시간전
부산 해운대,[이마트해운대점] 2022설 명절 단기 스태프 모집,시간협의,"시급9,240",2시간전
경기 여주시,이마트 여주점 스태프 모집(주5일 근무),09:00~23:00,"시급9,990",3시간전
경기 하남시,"[트레이더스위례점] 주5일,주말2일 스태프 모집공고",시간협의,"시급10,940",3시간전
서울 중구,이마트 청계천점 2022년 설 명절 스태프 모집,10:00~23:00,"시급9,590",3시간전
서울 강동구,[이마트 천호점] 2022년 설 명절 스태프 모집,09:00~23:00,"시급9,240",3시간전
경기 하남시,"[트레이더스 하남점] STAFF 모집(or 주말 토,일 근무자)",06:00~23:00,"시급10,940",4시간전
경기 이천시,이마트 이천점 스태프 35 모집(시급:9990원/농산/가공/즉조),09:00~17:00,"시급9,990",4시간전
서울 영등포,이마트 영등포점 명절스태프 모집,09:00~23:00,"시급9,240",4시간전
강원 강릉시,[이마트 강릉점]6개월 스태프(35H)모집안내,시간협의,"시급9,990",5시간전
서울 노원구,[트레이더스 월계점] 주5일 근무 스태프 모집,07:00~15:00,"시급9,990",14시간전
서울 중랑구,[이마트상봉점] 2022년 설 명절 스태프 (주5일근무) 모집,10:00~22:00,"시급9,240",16시간전
경기 수원시,이마트 수원점 주5일(STAFF35) 채용공고,09:00~23:00,"시급9,990",16시간전
서울 영등포,이마트 영등포점 명절스태프 모집,09:00~23:00,"시급9,240",16시간전
경기 고양시,[이마트 TRADERS 킨텍스점] 스태프 사원 모집 공고(주5일/2~3개월),시간협의,"시급9,990",17시간전
대구 수성구,이마트만촌점 스태프사원모집,09:00~23:00,"시급9,990",19시간전
경북 영천시,[ 이마트 영천점 ] 22년 설 명절 스태프 채용 안내,09:00~17:00,"시급9,240",21시간전
충남 서산시,[이마트 서산점] 스태프(주5일 근무) 사원 모집,10:00~22:00,"시급9,990",23시간전
경기 의왕시,[이마트 의왕점]2022년 설명절 스태프 모집,09:00~17:00,"시급9,240",23시간전
서울 강동구,[이마트 천호점] 캐셔 및 상품진열 스태프(3개월근무) 사원모집,09:00~23:00,"시급9,990",01/16
대구 달서구,[이마트 월배점]설날 명절 스태프 모집,09:00~17:00,"시급9,240",01/16
서울 동작구,[이마트 이수점] 22년 설명절 스태프 모집,시간협의,"시급9,240",01/16
서울 노원구,[트레이더스 월계점] 주5일 근무 스태프 모집,07:00~15:00,"시급9,990",01/16
충남 천안시,[이마트] 펜타포트점 명절 단기 스태프 모집 공고,시간협의,"시급9,240",01/16
경기 용인시,트레이더스 구성점 주5일 STAFF 모집,06:00~14:00,"시급9,990",01/16
세종 가람동,"이마트 세종점 35H 스태프모집(주5일9,990원)",07:00~23:00,"시급9,990",01/16
서울 송파구,"[이마트 가든5점] 스태프35 모집(주 5일 근무, 시급 9,990원)",08:00~23:00,"시급9,990",01/16
대구 동구,[이마트 반야월점] 설 명절 스태프 모집,09:00~23:00,"시급9,240",01/16
서울 동작구,[이마트 이수점] 22년 설명절 스태프 모집,시간협의,"시급9,240",01/16
경기 고양시,[이마트 TRADERS 킨텍스점] 스태프 사원 모집 공고(주5일),06:00~22:00,"시급9,990",01/15
경기 남양주,[이마트 진접점] 스태프35 채용 공고,09:00~23:00,"시급9,990",01/15
부산 부산진,[트레이더스 서면점] 6개월 스태프 사원모집,06:00~22:00,"시급9,990",01/15
경기 하남시,"[트레이더스 하남점] STAFF 모집(or 주말 토,일 근무자)",06:00~23:00,"시급10,940",01/15
서울 강동구,[이마트 천호점] 진열 및 캐셔 스태프(주5일근무) 사원모집,09:00~23:00,"시급9,990",01/15
충남 천안시,[이마트 천안점] 스태프 주 35시간 [5일근무] 모집 [최대1년],08:00~23:00,"시급9,900",01/15
서울 동작구,[이마트 이수점] 22년 설명절 스태프 모집,시간협의,"시급9,240",01/15
서울 강남구,SSG푸드마켓 도곡점(주5일 근무) 스탭사원 모집,시간협의,"시급9,990",01/15
서울 서초구,이마트 양재점(주5일 근무) 스태프 모집(6개월),10:00~23:00,"시급9,990",01/15
서울 서초구,이마트 양재점(주5일 근무) 단기 스태프 모집(2~3개월),10:00~23:00,"시급9,990",01/15
서울 서초구,[이마트 양재점] 2022년 설 명절스태프 모집,10:00~23:00,"시급9,240",01/15
경기 수원시,[이마트 트레이더스 수원점] 사원 모집(주5일/주2일) / 2개월가능,00:00~23:00,"시급9,990",01/15
서울 성동구,[이마트] 본사 사내복지시설 스태프 모집,07:00~17:00,"시급9,990",01/15
