place,title,time,pay,date
인천 연수구,경복궁 한옥마을점 영업부 캐셔 구인,시간협의,"월급2,300,000",2시간전
인천 연수구,한옥마을 경복궁 조리부 주방 직원모집,시간협의,"월급2,300,000",2시간전
인천 연수구,송도한옥마을 팔진향 주방 정직원 모집,10:00~21:30,"월급2,300,000",4시간전
인천 연수구,송도한옥마을 팔진향 주방 정직원 모집,10:00~21:30,"월급2,300,000",4시간전
경기 하남시,"하남 팔진향 홀파트타임 공고 시급 13,000",시간협의,"시급13,000",7시간전
경기 고양시,백석삿뽀로 조리부 직원 모집,시간협의,"월급2,300,000",01/14
경기 전체,"영업부 홀 서빙, 웨이터 직원 모집",시간협의,"월급2,300,000",01/14
서울 마포구,삿뽀로 홍대점 조리부 직원 모집,10:00~22:00,"월급2,400,000",01/09
인천 연수구,송도한옥마을 팔진향 홀 정직원 모집,10:00~22:00,"월급2,300,000",01/04
인천 연수구,송도한옥마을 팔진향 홀 정직원 모집,10:00~22:00,"월급2,300,000",01/04
경기 성남시,남/여 홀서빙 정직원 모집,10:00~22:00,"월급2,400,000",01/01
충북 청주시,"경복궁청주점 조리부 정직원 모집(과장급1명,밥모1명)",10:00~22:00,"월급2,700,000",01/01
