place,title,time,pay,date
인천 서구,청라 크라운호프에서  평일 및 주말 알바 모집합니다.,18:00~22:00,"시급9,160",2시간전
대구 달성군,"크라운호프 대구다사죽곡점  수,목,금,토,일 매니저구합니다",시간협의,"시급10,000",2시간전
대구 달성군,"크라운호프 대구다사죽곡점  수,목,금,토,일 매니저구합니다",시간협의,"시급10,000",2시간전
제주 제주시,크라운호프 연동점 주방보조 구함,18:00~01:00,"시급9,160",2시간전
울산 울주군,크라운호프 천상점  주방 모집합니다.,19:30~02:00,"시급9,400",4시간전
경북 김천시,[크라운호프 김천혁신점]오픈 홀서빙구함,17:00~24:00,"시급9,160",6시간전
경북 김천시,[크라운호프 김천혁신점]마감 홀서빙구함,20:00~02:00,"시급9,160",6시간전
경남 진주시,크라운호프 혁신점에서 주방알바(목금토일) 구함 초보가능,20:30~00:00,"시급9,500",7시간전
충북 전체,크라운호프 충북대점 알바구합니다,시간협의,"시급10,000",13시간전
경기 김포시,크라운호프 김포걸포점에서 정직원분을 모십니다.,시간협의,"월급2,500,000",15시간전
인천 서구,청라 크라운호프에서  평일 및 주말 알바 모집합니다.,18:00~12:00,"시급9,160",01/16
경남 김해시,"크라운호프 김해주촌점 점장, 매니저 구합니다.",18:00~01:00,"월급2,000,000",01/16
경북 경주시,크라운호프 경주동천점 홀알바 모집중입니다,시간협의,"시급9,200",01/16
경기 시흥시,시흥 장곡동 크라운호프 주말 주방직원 2명 구합니다 친구도 가능,15:30~22:00,"시급10,500",01/16
울산 남구,크라운호프야음점 주방(경력자우대) 및 홀직원 아르바이트 구합니다,시간협의,"월급2,500,000",01/16
경기 시흥시,시흥 장곡동 크라운호프 주말 주방직원 구합니다.,15:30~22:00,"시급9,160",01/15
경남 창원시,금복주류 창원어반브릭스점,16:30~02:30,"월급2,500,000",01/15
인천 남동구,크라운호프_남촌점 주방 모집합니다. 주휴수당있음.,시간협의,"시급9,160",01/15
인천 부평구,크라운 호프 부평점 직원 모집합니다.,17:00~05:00,"시급10,000",01/15
인천 부평구,크라운 호프 부평점 홀서빙 알바생분 모집합니다,시간협의,"시급9,300",01/15
경북 경주시,크라운호프 경주안강점 주방과 홀알바 같이 겸해서 할 수 있는분 모집합니다,시간협의,"시급9,200",01/15
경남 창원시,크라운호프 봉곡점에서 함께 일할 홀(매장관리및 서빙) 정직원구합니다,시간협의,"월급2,400,000",01/15
인천 전체,크라운호프 가정루원시티점 주방직원/보조 구해요,17:30~23:00,"시급10,000",01/15
인천 전체,크라운호프 가정루원시티점 주방직원/보조 구해요,17:30~23:00,"시급10,000",01/15
경북 구미시,크라운 호프 구미 문성점-홀서빙,18:00~24:00,"시급9,160",01/14
울산 울주군,크라운호프 천상점  주방 모집합니다.,19:30~02:00,"시급9,400",01/13
인천 서구,청라 크라운호프에서  평일 및 주말 알바 모집합니다.,18:00~12:00,"시급9,160",01/13
경기 하남시,"금복주류 미사역점 에서 주방직원,홀직원 풀타임 및 파트타임",시간협의,"월급2,920,000",01/13
전북 전주시,주방실장요리사구합니다,16:30~02:30,"월급2,500,000",01/13
부산 부산진,크라운호프. 부산당감점  주방 보조 (경험자 우대) 주4회 근무,시간협의,"시급10,000",01/12
경기 하남시,"금복주류 미사역점 에서 주방직원,홀직원 풀타임 및 파트타임",시간협의,"월급2,920,000",01/12
경기 하남시,"금복주류 미사역점 에서 주방직원,홀직원 풀타임 및 파트타임",시간협의,"월급2,920,000",01/12
경기 하남시,"금복주류 미사역점 에서 주방직원,홀직원 풀타임 및 파트타임",시간협의,"월급2,920,000",01/12
경기 하남시,"금복주류 미사역점 에서 주방직원,홀직원 풀타임 및 파트타임",시간협의,"월급2,920,000",01/11
경기 화성시,크라운호프 송산그린시티점홀 알바 구합니다~ : ),17:00~02:00,"시급11,000",01/11
전북 익산시,익산 영등먹자골목 크라운호프 주방 모집합니다,시간협의,"시급9,200",01/10
경기 부천시,크라운호프 부천도당점 주방 알바.  시급 만천원,18:00~21:30,"시급11,000",01/10
전남 나주시,크라운호프 홀서빙 구합니다,18:30~24:00,"시급9,500",01/10
경기 안성시,크라운호프안성석정점,시간협의,"시급9,160",01/10
서울 마포구,금복주류 홍대점에서 주방보조 & 홀 직원 및 알바 구합니다.,시간협의,"월급2,600,000",01/09
전북 전주시,주방실장요리사구합니다,16:30~02:30,"월급2,500,000",01/09
전북 전주시,크라운호프  매니저 구합니다,16:30~02:30,"월급2,500,000",01/09
전북 전주시,크라운호프 호성점  평일 주말 알바구합니다(비흡연자),시간협의,"시급9,200",01/09
광주 서구,크라운호프 주방 구합니다 19시 -24시까지,19:00~00:00,"시급10,000",01/08
광주 서구,크라운호프 주방 구합니다 19시 -24시까지,19:00~00:00,"시급10,000",01/08
광주 서구,크라운호프 주방 구합니다 19시 -24시까지,19:00~00:00,"시급10,000",01/08
광주 서구,크라운호프 주방 구합니다 19시 -24시까지,19:00~00:00,"시급10,000",01/08
광주 서구,크라운호프 주방 구합니다 19시 -24시까지,19:00~00:00,"시급10,000",01/08
경기 안성시,공도 경성주막1929  알바생 모집합니다,18:00~22:00,"시급9,500",01/08
전북 전주시,크라운호프 전주삼천점 주방직원 모집합니다.(외국인 한국어능숙한자 가능),19:00~00:00,"시급10,000",01/08
