place,title,time,pay,date
대구 전체,교촌치킨 대구앞산점에서 즐겁게배달일 하실분~~~,17:00~24:00,"시급11,000",2분전
광주 광산구,주말 배달직원 모집,17:00~24:00,"시급11,000",4분전
울산 남구,주방 및 주방보조,17:00~24:00,"시급9,300",5분전
경기 평택시,평택 고덕1호점에서 월~금 배달 직원 구합니다.(투잡가능),17:00~23:00,"시급12,000",5분전
경기 화성시,주방 보조  누구나 가능  금토일 또는 토일월 등 토일도 가능,17:30~22:00,"시급9,160",9분전
경기 고양시,【행신역】 주방 주6일 모집,16:00~22:30,"월급1,860,000",11분전
부산 강서구,국제신도시네오웨스턴 교촌치킨명지법원네오점에서 함께 일하실 주방알바 모집합니다,17:00~23:00,"시급10,200",12분전
광주 서구,교촌치킨상무점 배달직원구함(외국인가능),18:00~00:00,"시급12,000",12분전
광주 서구,교촌치킨상무점 주방직원구함(외국인가능),18:00~01:00,"시급11,000",15분전
서울 노원구,교촌치킨 공릉1호 주방 직원구합니다,17:00~24:00,"시급10,000",16분전
광주 서구,교촌치킨상무점 배달직원구함(외국인가능),18:00~00:00,"시급12,000",17분전
광주 서구,교촌치킨상무점 주방직원구함(외국인가능),18:00~01:00,"시급11,000",18분전
서울 도봉구,교촌치킨 창동점 주방알바 구합니다.,17:30~11:00,"시급9,160",21분전
서울 양천구,(5일or6일)튀김조리 직원(17시~24시),시간협의,"시급11,000",22분전
부산 연제구,교촌치킨 시청점에서 주방가족을 모집합니다.,18:00~23:30,"시급9,160",23분전
전북 익산시,교촌치킨 함열점 직원 모집합니다,18:00~21:00,"월급1,000,000",23분전
전북 익산시,교촌치킨 함열점 직원 모집합니다,17:00~23:00,"월급1,800,000",24분전
경기 수원시,"배달 1건당 3500원, 가게에서 1km이내 , 투잡가능, 자차, 오토바이",18:00~24:00,"시급13,000",24분전
서울 강동구,배달 토일 풀타임 그 외 모집 (초보가능),12:00~11:30,"월급1,100,000",30분전
서울 강동구,보조직원 모집,18:00~23:30,"시급10,000",31분전
충남 천안시,[교촌치킨-성성점] 주방알바 및 직원 모집,시간협의,"시급10,000",33분전
서울 강서구,"[교촌치킨 화곡본동점] 주방조리 정직원 모집(주6일, 휴무일협의가능)",12:00~00:00,"월급3,000,000",34분전
인천 부평구,교촌치킨부평1호점에서 배달라이더를 모집합니다,17:00~24:00,"시급13,000",37분전
전북 전주시,교촌치킨 효천점 배달직원(외국인가능) 구합니다.,17:00~24:00,"시급10,000",37분전
전북 전주시,교촌치킨 효천점 주방 튀김 구합니다. (외국인가능),17:00~24:00,"시급10,000",37분전
인천 부평구,교촌치킨인천부평1호점에서 주방보조 알바를 구합니다,17:00~00:30,"시급10,500",38분전
서울 구로구,주말알바모집합니다,17:00~24:00,"시급9,500",39분전
경기 용인시,주방구함,10:30~15:00,"월급1,400,000",40분전
전북 전주시,[교촌치킨 신시가지점]배달(라이더)구합니다,18:00~01:00,"시급10,000",40분전
전남 여수시,교촌치킨여서점에서 주방직원구합니다,17:00~01:00,"시급10,000",43분전
충북 청주시,교촌치킨용암2호점에서  주방 알바 모집합니다,17:00~24:00,"시급9,500",43분전
경기 파주시,교촌치킨 운정1호점에서 주방알바 모집합니다.,시간협의,"시급9,160",45분전
경기 수원시,배달직원 모집합니다 ( 투잡 가능),17:00~23:30,"시급12,500",1시간전
경기 수원시,배달직원 모집합니다 ( 투잡 가능),17:00~23:30,"시급12,500",1시간전
경기 오산시,배달직원 모집합니다 ( 투잡 가능),17:00~23:30,"시급12,500",1시간전
경기 화성시,배달직원 모집합니다 ( 투잡 가능),17:00~23:30,"시급12,500",1시간전
서울 강동구,배달 토일 풀타임 그 외 모집 (초보가능),12:00~11:30,"월급1,100,000",1시간전
서울 강동구,보조직원 모집,18:00~23:30,"시급10,000",1시간전
전남 해남군,교촌치킨 같이 일하실분 모집합니다,16:00~24:00,"시급9,160",1시간전
서울 양천구,"주말알바 (토,일) 튀김조리 직원(12시~24시)",시간협의,"시급11,000",1시간전
서울 양천구,(5일)월화수목금 튀김조리 직원(12시~24시),시간협의,"시급11,000",1시간전
경남 밀양시,원육손질,01:00~05:00,"시급9,160",1시간전
경기 안양시,화목한 교촌치킨 안양1번가점 홀알바 모집,20:00~23:00,"시급9,500",1시간전
부산 강서구,[교촌치킨 신호점]라이더 구합니다.,18:00~23:00,"시급11,000",1시간전
경기 안양시,화목한 교촌치킨 안양1번가점 주방알바 모집 (초보자 환영),18:00~24:00,"시급9,500",1시간전
서울 강서구,"(5일) (소스도포,서빙,전화응대)직원 (5시~12시)",17:00~24:00,"시급11,000",1시간전
부산 강서구,[교촌치킨 신호점] 남자직원주방구합니다.,18:00~24:00,"시급9,500",1시간전
경기 평택시,안중교촌치킨 주말 주방 / 홀 알바구합니다,시간협의,"시급9,500",1시간전
경기 평택시,안중교촌치킨 배달식구 구합니다,05:30~11:00,"시급11,000",1시간전
경기 평택시,안중교촌치킨 주말 주방 / 홀 직원구합니다,시간협의,"시급9,500",1시간전
