place,title,time,pay,date
경기 고양시,꾸브라꼬숯불두마리치킨(삼송점),17:30~24:00,"시급9,500",2시간전
경기 수원시,꾸브라꼬 숯불두마리치킨 수원매탄점주방보조구함,18:00~24:00,"시급9,160",4시간전
경기 고양시,꾸브라꼬숯불두마리치킨(삼송점),18:00~00:30,"시급9,500",12시간전
경남 창원시,꾸브라꼬 숯불두마리치킨 경남대점  함께 일하실분 모십니다.,시간협의,"시급9,500",01/15
충남 천안시,꾸브라꼬숯불두마리치킨_천안 청당청수점 주방알바 모집합니다.,16:00~24:00,"시급9,160",01/15
경남 전체,꾸브라꼬 숯불두마리치킨 NC파크점  함께 일하실분 모십니다.,시간협의,"시급9,500",01/15
충남 천안시,꾸브라꼬숯불두마리치킨_천안 청당청수점 주방알바 모집합니다.,16:00~24:00,"시급9,160",01/14
경남 전체,꾸브라꼬 숯불두마리치킨 NC파크점  함께 일하실분 모십니다.,시간협의,"시급9,500",01/14
경기 시흥시,꾸브라꼬 숯불두마리 치킨 시흥대야점 주방보조,18:00~22:00,"시급9,160",01/14
경기 화성시,꾸브라꼬 숯불두마리 치킨 향남점 주방보조,18:00~22:00,"시급9,500",01/14
경기 시흥시,꾸브라꼬 숯불두마리 치킨 시흥대야점 주방보조,18:00~22:00,"시급9,160",01/10
경기 화성시,꾸브라꼬 숯불두마리 치킨 향남점 주방보조,18:00~22:00,"시급9,500",01/10
경남 창원시,꾸브라꼬 숯불두마리치킨 경남대점  함께 일하실분 모십니다.,시간협의,"시급9,500",01/10
경기 시흥시,꾸브라꼬 숯불두마리 치킨 시흥대야점 주방보조,18:00~22:00,"시급9,160",01/10
경남 창원시,꾸브라꼬 숯불두마리치킨 경남대점  함께 일하실분 모십니다.,시간협의,"시급9,500",01/10
경기 화성시,꾸브라꼬 숯불두마리 치킨 향남점 주방보조,18:00~22:00,"시급9,500",01/10
경남 창원시,꾸브라꼬 숯불두마리치킨 경남대점  함께 일하실분 모십니다.,시간협의,"시급9,500",01/10
경기 시흥시,꾸브라꼬 숯불두마리 치킨 시흥대야점 주방보조,18:00~22:00,"시급9,160",01/08
경기 화성시,꾸브라꼬 숯불두마리 치킨 향남점 주방보조,18:00~22:00,"시급9,500",01/08
