place,title,time,pay,date
경기 파주시,다이소 금촌본점에서 함께 근무하실 직원을 모집합니다,13:00~22:00,"월급1,914,440",5분전
서울 송파구,다이소 잠실점 직원모집 (백신유급휴가/식대 지급),시간협의,"월급1,914,440",16분전
서울 강남구,"다이소 코엑스몰점 파트모집(백신유급휴가,주휴수당,식대 지급)",시간협의,"월급1,914,440",17분전
서울 노원구,노원문화의거리점에서 함께 근무하실 직원을 모집합니다.,시간협의,"월급1,914,440",20분전
서울 강남구,"다이소 강남구청역점 직원모집(급여 외 수당지급,백신유급휴가,식대 지급)",시간협의,"월급1,914,440",21분전
경기 성남시,"다이소 분당야탑점 직원모집(백신유급휴가,식대 지급)",시간협의,"월급1,914,440",23분전
경기 화성시,다이소화성안녕동점 신규매장 직원모집(파트타임),시간협의,"월급1,914,440",24분전
경기 화성시,다이소화성안녕동점 신규매장 직원모집,시간협의,"월급1,914,440",25분전
서울 동작구,다이소 노량진점 직원 모집 (식비 지원),08:00~17:00,"월급1,914,440",34분전
경기 부천시,다이소 부천본점 파트사원 모집(식비지원),16:00~22:00,"시급9,160",34분전
서울 동작구,다이소 노량진점 직원 모집 (식비 지원),08:00~17:00,"월급1,914,440",34분전
서울 동대문,다이소 외대역점 파트직원 모집(식비 지원),04:00~22:00,"시급9,160",38분전
경기 용인시,"다이소 용인구성점 직원모집(백신유급휴가,식대 지급)",시간협의,"월급1,914,440",45분전
대전 중구,다이소 대전문화점 직원 모집,시간협의,"월급1,914,440",1시간전
서울 관악구,다이소 봉천봉점 직원 모집(식비 지원),07:00~16:00,"월급1,914,440",1시간전
인천 동구,다이소 인천송림점 직원 모집(식비지원),08:00~17:00,"월급1,914,440",1시간전
인천 동구,다이소 인천송림점 파트사원 모집(식비지원),09:30~15:30,"시급9,160",1시간전
서울 동작구,다이소 사당1호점 직원 채용(식비 지원),08:00~17:00,"월급1,914,440",1시간전
부산 영도구,다이소 부산영도동삼점 파트사원 모집[오후 근무],16:00~22:00,"시급9,160",1시간전
서울 동작구,다이소 사당2호점 직원 모집(식비지원),08:00~17:00,"월급1,914,440",1시간전
부산 강서구,다이소 부산명지오션시티점 파트사원 모집[오후 파트],16:00~22:00,"시급9,160",1시간전
부산 중구,다이소 부산국제시장점 파트사원 모집[오전 파트],07:00~13:00,"시급9,160",1시간전
서울 영등포,다이소 영등포역점 직원 모집 (식비지원),08:00~17:00,"월급1,914,440",1시간전
부산 해운대,다이소 부산반여본점 임시사원 모집[오전/오후 교대근무],08:30~17:30,"월급1,914,440",1시간전
부산 남구,다이소 부산경성대점 파트사원 모집 [오전 파트],07:00~13:00,"시급9,160",1시간전
부산 남구,다이소 부산대연점 임시사원 모집 [오전/오후 교대근무],08:00~17:00,"월급1,914,440",1시간전
경기 안성시,다이소 하나로마트서안성점에서 함께 근무하실 직원을 모집합니다.,09:00~15:00,"시급9,160",1시간전
부산 남구,다이소 부산문현점 파트사원 모집[오전/오후 교대근무],07:00~13:00,"시급9,160",1시간전
부산 북구,다이소 부산화명2호점 파트사원 모집[오전/오후 로테이션],10:00~16:00,"시급9,160",1시간전
부산 부산진,다이소 부산서면점 임시사원 모집[오전/오후 교대근무],08:30~17:30,"월급1,914,440",1시간전
부산 영도구,다이소 영도대교점 임시사원 모집 [오전/오후 교대근무],08:00~17:00,"월급1,914,440",1시간전
부산 수영구,다이소 부산수영점 파트사원 모집 [오전 파트],10:00~16:00,"시급9,160",2시간전
부산 해운대,다이소 부산해운대장산본점 파트사원 모집[오후 파트],16:00~22:00,"시급9,160",2시간전
부산 해운대,다이소 부산해운대장산본점 파트사원 모집 [오전 파트],08:30~14:30,"시급9,160",2시간전
경남 거창군,다이소 거창대동점 파트사원 모집 [오전 근무],09:00~15:00,"시급9,160",2시간전
인천 중구,영종하늘도시점(급여외수당지급) 직원및 파트직원 모집(식비지원),16:00~22:00,"시급9,160",2시간전
경남 밀양시,다이소 밀양점 임시사원 모집 [오전/오후 교대근무],09:00~18:00,"월급1,914,440",2시간전
인천 중구,영종하늘도시점(급여외수당지급) 직원및 파트직원 모집(식비지원),16:00~22:00,"시급9,160",2시간전
경남 창원시,다이소 마산합성점 임시사원 모집[오전/오후 근무],09:00~18:00,"월급1,914,440",2시간전
경기 화성시,다이소화성안녕동점 신규매장 직원모집,시간협의,"월급1,914,440",2시간전
경남 창원시,다이소 진해장천점 임시사원 모집 [오전/오후 교대근무],09:00~18:00,"월급1,914,440",2시간전
경남 진주시,다이소 진주평거점 파트사원 모집[오전/오후 로테이션 근무],09:00~15:00,"시급9,160",2시간전
경남 진주시,다이소 진주대안점 파트사원 모집[오전/오후 교대근무],10:00~16:00,"시급9,160",2시간전
경남 김해시,다이소 김해삼계2호점 임시사원 모집[오전/오후 로테이션 근무],09:00~18:00,"월급1,914,440",2시간전
경북 예천군,다이소 경북도청신도시점 파트 직원 모집,09:00~15:00,"시급10,060",2시간전
경남 김해시,다이소 김해삼계2호점 임시사원 모집[오전/오후 로테이션 근무],09:00~18:00,"월급1,914,440",2시간전
경남 김해시,다이소 김해진영2호점 파트사원 모집 [오전/오후 로테이션],10:30~16:30,"시급9,160",2시간전
서울 송파구,다이소 잠실점 직원모집 (백신유급휴가/식대 지급),시간협의,"월급1,914,440",2시간전
전남 목포시,2교대 근무 / 파트직원 모집,10:00~16:00,"시급9,160",2시간전
경기 의정부,의정부녹양점에서 함께 근무하실 직원을 모집합니다.,09:00~18:00,"월급1,914,440",2시간전
