place,title,time,pay,date
부산 사상구,[부산 사상구]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
울산 북구,[울산 북구]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
대전 서구,[대전 서구]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
경기 용인시,[용인 수지]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
울산 남구,[울산 남구]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
부산 해운대,[부산 해운대]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
대전 유성구,[대전 유성구]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
경기 수원시,[수원 영통]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
경기 수원시,[수원 팔달]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
경기 고양시,[일산동구]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
경기 용인시,[용인 수지]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
경기 김포시,[경기 김포]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
경기 성남시,[경기 분당]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
경기 남양주,[경기 남양주]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 양천구,[서울 양천]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 관악구,[서울 관악]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 서초구,[서울 서초]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 구로구,[서울 구로]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 마포구,[서울 마포]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 강서구,[서울 강서]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 강동구,[서울 강동]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 송파구,[서울 송파]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 성북구,[서울 성북]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 동대문,[서울 동대문]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 광진구,[서울 광진]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 성동구,[서울 성동]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 용산구,[서울 용산]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 종로구,[서울 종로]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 강남구,[서울 강남]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 동작구,[서울 동작]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 영등포,[서울 영등포]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 서대문,[서울 서대문]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 은평구,[서울 은평]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 노원구,[서울 노원]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/17
서울 노원구,[서울 노원]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/10
서울 은평구,[서울 은평]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/10
서울 서대문,[서울 서대문]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/10
서울 금천구,[서울 금천]가사도우미 상시 모집/시급15000원/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/10
서울 영등포,[서울 영등포]가사도우미 상시 모집/시급15000/최대20만원보너스/일감폭증,시간협의,"시급15,000",01/10
