place,title,time,pay,date
서울 노원구,열정과 화이팅 넘치는 신입사원을 모집합니다 급여 240만원,15:00~23:00,"월급2,400,000",22분전
서울 송파구,대한곱창 문정역점 아르바이트 모집합니다.,시간협의,"시급11,000",2시간전
인천 서구,대한곱창 인천청라점 홀서빙 알바 구합니다.,18:00~23:00,"시급9,160",3시간전
서울 노원구,가족같이 즐겁게 근무하실 주방직원을 모집합니다/급여240만원,15:00~23:00,"월급2,400,000",4시간전
서울 노원구,열정과 화이팅 넘치는 (홀) 신입사원을 모집합니다 급여 240만원,15:00~23:00,"월급2,400,000",4시간전
울산 남구,[화사곱창] 대한곱창 울산달동점 홀 알바 모집,17:00~24:00,"시급9,200",5시간전
울산 남구,[화사곱창] 대한곱창 울산달동점 홀 알바 모집,17:00~24:00,"시급9,200",5시간전
울산 남구,[화사곱창] 대한곱창 울산달동점 홀 알바 모집,17:00~24:00,"시급9,200",5시간전
울산 남구,[화사곱창] 대한곱창 울산달동점 홀 알바 모집,17:00~24:00,"시급9,200",5시간전
울산 남구,[화사곱창] 대한곱창 울산달동점 홀 알바 모집,17:00~24:00,"시급9,200",6시간전
서울 노원구,가족같이 즐겁게 근무하실 주방직원을 모집합니다/급여240만원,15:00~23:00,"월급2,400,000",6시간전
서울 노원구,열정과 화이팅 넘치는 신입사원을 모집합니다 급여 240만원,15:00~23:00,"월급2,400,000",6시간전
강원 춘천시,대한곱창춘천퇴계점에서 같이 근무하실 가족을 모집합니다.,시간협의,"시급9,500",23시간전
서울 광진구,대한곱창 군자점 (매니저) 급여300만원,15:00~02:00,"월급3,000,000",01/15
서울 광진구,"대한곱창 직영팀 PT 모집합니다 시급11,000원",시간협의,"시급11,000",01/15
서울 광진구,대한곱창 직영팀 (매니저) 급여300만원,15:00~02:00,"월급3,000,000",01/15
서울 광진구,대한곱창 직원모집 270만원,시간협의,"월급2,700,000",01/15
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,시간협의,"월급2,300,000",01/15
부산 남구,대한곱창 (금토일) 홀서빙 17:00 ~ 20:00,17:00~22:00,"시급9,160",01/14
전남 여수시,홀서빙 알바모집,18:00~22:00,"시급10,000",01/14
부산 남구,대한곱창 월화수목 홀 서빙 구함 17:30 ~ 21:00,17:30~21:00,"시급9,160",01/14
부산 강서구,명지동 대한곱창에서 홀직원을 모집합니다,18:00~10:00,"시급9,200",01/09
광주 광산구,홀서빙 및 주방보조 구합니다.,시간협의,"시급10,000",01/08
광주 광산구,홀서빙 및 주방보조 구합니다.,시간협의,"시급10,000",01/08
광주 광산구,홀서빙 및 주방보조 구합니다.,시간협의,"시급10,000",01/08
경남 김해시,김해 삼계동 대한곱창 알바 모집(신규오픈),17:00~24:00,"시급9,500",01/08
경남 김해시,김해 삼계동 대한곱창 알바 모집(신규오픈),17:00~24:00,"시급9,300",01/08
경남 김해시,김해 삼계동 대한곱창 알바 모집(신규오픈),05:00~12:00,"시급9,300",01/08
강원 춘천시,대한곱창춘천퇴계점에서 같이 근무하실 가족을 모집합니다.,16:00~24:00,"월급2,300,000",01/08
강원 춘천시,대한곱창춘천퇴계점에서 같이 근무하실 가족을 모집합니다.,16:00~24:00,"월급2,300,000",01/08
강원 춘천시,대한곱창춘천퇴계점에서 같이 근무하실 가족을 모집합니다.,16:00~24:00,"월급2,300,000",01/08
경기 평택시,대한곱창 (고덕삼성점) 즐겁게 근무하실 홀서빙 모집합니다,15:00~23:00,"시급10,500",01/08
경기 평택시,대한곱창 (고덕삼성점) 즐겁게 근무하실 주방보조 모집합니다.,15:00~23:00,"월급2,350,000",01/08
전남 여수시,홀서빙 알바모집,18:00~22:00,"시급10,000",01/08
전남 여수시,홀서빙 알바모집,18:00~22:00,"시급10,000",01/08
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,시간협의,"월급2,300,000",01/07
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,시간협의,"월급2,300,000",01/07
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,시간협의,"월급2,300,000",01/07
부산 금정구,부산대 대한곱창에서 정직원을 모집합니다.,시간협의,"월급2,300,000",01/07
전남 여수시,홀서빙 알바모집,18:00~22:00,"시급10,000",01/01
