place,title,time,pay,date
경기 고양시,[딜리온]고양원당 배달대행,시간협의,"건별3,400",3분전
경기 오산시,오산1등배달행 딜리온본부 센터  라이더모집 리스/렌트 초기비용 없음,10:00~22:00,"월급5,000,000",19분전
경기 오산시,오산1등배달행 딜리온본부 센터  라이더모집 리스/렌트 초기비용 없음,10:00~22:00,"월급5,000,000",19분전
경기 오산시,오산1등배달행 딜리온본부 센터  라이더모집 리스/렌트 초기비용 없음,10:00~22:00,"월급5,000,000",19분전
경남 진주시,진주 딜리온 지사및 라이더님 모집,시간협의,"건별3,000",2시간전
경남 김해시,"[김해 배달대행] 기사님모집 / 신차리스, 중고차리스 가능",시간협의,"건별3,000",2시간전
경남 김해시,"[김해 배달대행] 기사님모집 / 신차리스, 중고차리스 가능",시간협의,"건별3,000",2시간전
경남 김해시,"[김해 배달대행] 기사님모집 / 신차리스, 중고차리스 가능",시간협의,"건별3,000",2시간전
경남 진주시,진주 딜리온 센터에서 라이더님 및 지사 모집,시간협의,"건별3,000",2시간전
인천 부평구,[배달대행]딜리온 청천지사에서 라이더님을 모집합니다.,시간협의,"일급200,000",3시간전
인천 부평구,[배달대행]딜리온 청천지사에서 라이더님을 모집합니다.,시간협의,"일급200,000",3시간전
인천 미추홀,"용현,숭의지사 딜리온 배달기사분 모집합니다",시간협의,"일급200,000",3시간전
제주 서귀포,[딜리온] 배달대행 서귀포지사 기사모집합니다,10:00~24:00,"월급6,000,000",4시간전
제주 서귀포,[딜리온] 배달대행 서귀포지사 기사모집합니다,10:00~24:00,"연봉100,000,000",4시간전
제주 서귀포,[딜리온] 배달대행 서귀포지사 기사모집합니다,10:00~24:00,"일급250,000",4시간전
대구 달성군,구지배달대행사 기사모집(오토바이리스가능),시간협의,"일급150,000",5시간전
대구 달성군,구지배달대행사 기사모집(오토바이리스가능),시간협의,"일급150,000",5시간전
대구 달성군,구지배달대행사 기사모집(오토바이리스가능),시간협의,"일급150,000",5시간전
경기 오산시,[오산배달대행]연봉1억가능.투잡가능.초보자가능.보험포함 오토바이대여해줍니다.,시간협의,"시급30,000",6시간전
경기 오산시,[오산 배달대행] 월800만이상.당일지급.초보자가능~.오토바이 대여해줌~,시간협의,"시급30,000",6시간전
경기 오산시,[오산 배달대행]당일지급25만~30만이상.배달사원 모집.오토바이대여.투잡가능,시간협의,"시급30,000",6시간전
전북 전주시,다시 시작합니다. 배달대행 전주아중리에서 같이하실 기사님 모집중,시간협의,"월급5,000,000",7시간전
전북 전주시,딜리온전주센터에서 지사장님을 모십니다,시간협의,"월급5,000,000",7시간전
전북 전주시,심야 배달대행 전주에서 같이하실 기사님 모집중,00:00~06:00,"월급5,000,000",7시간전
경기 오산시,[오산1등 배달대행] (딜리온 오산1지사) 열정 라이더모집,시간협의,"연봉100,000,000",7시간전
경기 오산시,[오산 배달대행] 딜리온 오산1지사 라이더모집,08:00~02:00,"월급7,500,000",7시간전
경기 오산시,[오산 배달대행] 라이더모집 (투잡&알바&차량운행),08:00~02:00,"일급300,000",7시간전
경기 평택시,[딜리온] 배달대행 평택지사 기사모집합니다,시간협의,"건별4,000",8시간전
경기 평택시,[딜리온] 배달대행 평택지사 기사모집합니다,시간협의,"건별4,000",8시간전
경기 평택시,[딜리온] 배달대행 평택지사 기사모집합니다,시간협의,"건별4,000",8시간전
서울 전체,[은평구배달대행] 24시간 딜리온 베스트프렌드 기사모집,시간협의,"건별4,800",17시간전
인천 미추홀,"용현,숭의지사 딜리온 배달기사분 모집합니다",시간협의,"일급200,000",22시간전
전남 광양시,"[광양배달대행] 광양읍 라이더 모집합니다. 투잡,프리,차량기사,아무나가능",시간협의,"일급150,000",01/16
인천 미추홀,"용현,숭의지사 딜리온 배달기사분 모집합니다",시간협의,"일급200,000",01/14
경기 수원시,[수원딜리온] 건당 3500원 수수료 없음 기사모집 [렌탈가능],10:00~24:00,"월급4,000,000",01/14
경기 수원시,[수원딜리온] 건당 3500원 수수료 없음 기사모집 [렌탈가능],10:00~24:00,"월급4,000,000",01/14
경기 수원시,[수원딜리온] 건당 3500원 수수료 없음 기사모집 [렌탈가능],10:00~24:00,"월급4,000,000",01/14
울산 남구,울산 남구 무거동 퀵서비스 배달대행 차가능  초보 경력자 대환영 월400이상,시간협의,"시급30,000",01/14
울산 남구,울산 남구 무거동 퀵서비스 배달대행 차가능  초보 경력자 대환영 월400이상,시간협의,"시급30,000",01/14
울산 남구,울산 남구 무거동 퀵서비스 배달대행 차가능  초보 경력자 대환영 월400이상,시간협의,"시급30,000",01/14
인천 부평구,자율배차/기본콜비4300원/프리알바가능/리스가능/시간제종합보험/고령자가능,10:00~01:00,"일급300,000",01/13
인천 계양구,자율배차/기본콜비4300원/프리알바가능/리스가능/시간제종합보험/고령자가능,10:00~01:00,"일급300,000",01/13
인천 계양구,자율배차/기본콜비4300원/프리알바가능/리스가능/시간제종합보험/고령자가능,10:00~01:00,"일급300,000",01/13
대구 달서구,성서배달대행 딜리온. [시간제유상운송보험] 적용가능,00:00~24:00,"건별4,000",01/13
대구 달서구,성서배달대행 딜리온. [시간제유상운송보험] 적용가능,00:00~24:00,"건별4,000",01/13
대구 달서구,성서배달대행 딜리온. [시간제유상운송보험] 적용가능,00:00~24:00,"건별4,000",01/13
대구 달서구,성서배달대행 딜리온. [시간제유상운송보험] 적용가능,00:00~24:00,"건별4,000",01/12
대구 달서구,성서배달대행 딜리온. [시간제유상운송보험] 적용가능,00:00~24:00,"건별4,000",01/12
대구 달서구,성서배달대행 딜리온. [시간제유상운송보험] 적용가능,00:00~24:00,"건별4,000",01/12
전남 광양시,"[광양배달대행]딜리온_라이더모집/콜수수료100원?,원천세3.3없어요",09:00~00:00,"일급200,000",01/12
