place,title,time,pay,date
서울 송파구,LUSH 러쉬 롯데월드몰점에서 파트타이머 채용합니다.,13:00~22:00,"시급10,790",1시간전
울산 남구,롯데울산러쉬 매장에서 함께할 파트타이머를 모집합니다.,10:00~21:00,"시급11,230",3시간전
서울 강남구,[(주)러쉬코리아] 가로수길점 파트타이머 채용합니다.,시간협의,"시급11,230",3시간전
서울 성북구,[러쉬코리아] 현대백화점 미아점 파트타이머 채용,12:00~20:00,"시급11,230",4시간전
서울 중구,(주)러쉬코리아 명동역점에서 함께 근무할 파트타이머를 모집합니다.,12:00~21:00,"시급11,230",4시간전
경남 김해시,러쉬코리아 신세계 백화점 김해점에서 함께 할 해피피플을 찾습니다,09:30~20:30,"시급11,230",13시간전
서울 서초구,(주)러쉬코리아 강남점과 함께 할 해피피플을 찾습니다.,10:00~22:00,"시급11,230",01/15
서울 서초구,(주)러쉬코리아 강남점과 함께 할 해피피플을 찾습니다.,10:00~22:00,"시급11,230",01/15
전국 전체,[장기 근무]러쉬코리아 AK수원점 아르바이트 모집,시간협의,"시급10,790",01/13
서울 서초구,[러쉬코리아]신세계 강남 러쉬와 함께 근무할 파트타이머를 모집합니다,시간협의,"시급11,230",01/12
서울 영등포,[러쉬코리아] LUSH 타임스퀘어점과 함께할 파트타이머를 모집합니다.,시간협의,"시급11,230",01/12
서울 강남구,러쉬 현대본점에서 해피피플을 모집합니다.,09:30~20:30,"시급11,230",01/12
서울 중구,신세계본점 러쉬와 함께 할 해피피플을 찾습니다.(주4일-주5일),09:30~20:30,"시급10,790",01/11
전북 전체,[러쉬코리아] 러쉬 롯데백화점 전주점에서 함께할 분을 찾습니다.,시간협의,"시급11,230",01/09
경기 부천시,[러쉬코리아] 현대중동점 러쉬 주말 아르바이트 채용공고,시간협의,"시급11,230",01/09
서울 서초구,[러쉬코리아] CE팀 고객응대 아르바이트 모집,09:00~17:00,"시급11,230",01/07
부산 전체,[러쉬코리아]롯데부산본점(서면) 파트타이머 공고(이메일hwp한글 파일X),시간협의,"시급11,230",01/06
