place,title,time,pay,date
경기 전체,롯데마트 신갈점 주니어(정년 60세)/장단기AR 채용,시간협의,"시급9,160",17분전
전국 전체,롯데마트 판교점 택배단기아르바이트 모집공고,11:00~19:00,"시급9,200",26분전
인천 중구,롯데마트 영종도점 주니어사원(무기계약직/정년 60세보장) 모집,시간협의,"월급1,698,300",26분전
인천 중구,롯데마트 영종도점 장기AR 채용,시간협의,"시급9,200",27분전
인천 중구,롯데마트 영종도점 주니어사원(무기계약직/정년 60세보장) 모집,시간협의,"월급1,698,300",27분전
전국 전체,롯데마트 판교점  주니어사원 모집공고,시간협의,"월급1,698,300",29분전
전북 익산시,[롯데마트 익산점] 매장관리판매/장기근무자/아르바이트 채용합니다.,09:00~23:00,"시급9,200",29분전
경기 남양주,롯데마트  덕소점에서 함께  근무 할 인재를 구합니다.,시간협의,"시급9,200",32분전
제주 제주시,롯데마트제주점 매장 영업관리/계산원 주니어담당 채용,09:30~17:30,"시급9,200",43분전
경기 전체,롯데마트 신갈점 주니어(정년 60세)/장단기AR 채용,시간협의,"시급9,160",44분전
강원 춘천시,롯데마트 춘천점 주니어사원모집,09:00~17:00,"시급9,200",1시간전
서울 노원구,롯데마트 중계점 아르바이트 모집합니다~,시간협의,"시급9,200",1시간전
경기 안산시,롯데마트 선부점 명절 선물세트 택배포장 아르바이트 모집,10:00~18:00,"시급9,200",1시간전
제주 제주시,롯데마트 명절 택배 접수 및 배송센터 AR 모집(1/20 ~ 1/26일),시간협의,"시급9,200",2시간전
경기 평택시,롯데마트평택점 발열 AR 모집,시간협의,"시급9,200",2시간전
서울 전체,롯데마트행당역점 장기아르바이트 구인,시간협의,"시급9,200",2시간전
전남 여수시,롯데마트 여수점 영업담당(주니어)채용,00:00~24:00,"시급9,200",2시간전
경기 수원시,롯데마트 영통점 물류AR/수산AR 모집,시간협의,"시급9,300",2시간전
경기 전체,롯데마트 신갈점 주니어(정년 60세)/장단기AR 채용,시간협의,"시급9,160",2시간전
경기 안산시,롯데마트 상록점 AR 모집,시간협의,"시급9,200",2시간전
경북 구미시,롯데마트구미점 수산 주니어담당 모집,시간협의,"월급1,698,300",2시간전
광주 광산구,롯데마트 수완점 주니어 사원 모집,시간협의,"월급1,698,300",2시간전
경북 김천시,롯데마트 김천점 주니어사원(MS조리)채용,시간협의,"월급1,698,300",3시간전
인천 중구,롯데마트 영종도점 장기AR 채용,시간협의,"시급9,200",3시간전
인천 중구,롯데마트 영종도점 주니어사원(무기계약직/정년 60세보장) 모집,시간협의,"월급1,698,300",3시간전
경기 시흥시,롯데마트 시흥배곧점 아르바이트(축산/수산/조리),시간협의,"시급9,300",3시간전
서울 동대문,롯데마트  청량리점에서 같이근무할 인원 모집,10:00~18:00,"시급9,200",3시간전
서울 동대문,롯데마트 청량리점 근거리배송 선탑인원구함,09:30~17:30,"시급9,200",3시간전
경남 통영시,롯데마트 통영점 주니어사원(무기계약직) 모집,시간협의,"월급1,698,300",4시간전
전국 전체,롯데마트 판교점  주니어사원 모집공고,시간협의,"월급1,698,300",4시간전
전국 전체,롯데마트 판교점 택배단기아르바이트 모집공고,11:00~19:00,"시급9,200",4시간전
서울 광진구,롯데마트 강변점 영업주니어담당 모집,09:00~11:00,"시급9,200",4시간전
경기 전체,롯데마트 신갈점 주니어(정년 60세)/장단기AR 채용,시간협의,"시급9,160",4시간전
인천 연수구,롯데마트송도점 계산원 모집,시간협의,"월급1,698,300",4시간전
서울 영등포,VIC영등포점 계산담당 모집,시간협의,"월급1,698,300",5시간전
서울 광진구,롯데마트 강변점 설명절 AR모집 공고,10:00~08:00,"시급9,200",5시간전
전북 정읍시,롯데마트 정읍점 축산 정규직 모집(진급 가능),시간협의,"월급1,698,300",12시간전
전북 정읍시,롯데마트 정읍점 수산 정규직 모집(진급 가능),시간협의,"월급1,698,300",12시간전
경기 수원시,롯데마트 수원점 AR 채용,10:00~22:30,"시급9,200",13시간전
경기 안산시,롯데마트 안산점 주니어담당 모집,시간협의,"월급1,698,300",16시간전
강원 춘천시,롯데마트 석사점 출입명부 AR모집,시간협의,"시급9,200",17시간전
경북 김천시,"롯데마트 김천점 주니어사원(도와,계산) 채용",시간협의,"월급1,698,300",20시간전
경남 통영시,롯데마트 통영점 장기 아르바이트 사원 모집,시간협의,"시급9,200",21시간전
서울 금천구,[롯데마트 금천점] 장기 아르바이트 직원 모십니다,09:00~23:00,"시급9,200",01/16
인천 계양구,롯데마트 계양점 A/R 모집,시간협의,"시급9,200",01/16
광주 서구,롯데마트월드컵점 검품장 상품이동 AR 모집,07:00~15:00,"시급9,300",01/16
서울 전체,롯데마트서울양평점 QR체크 AR 모집,10:00~18:00,"시급9,200",01/16
경기 용인시,롯데마트 롯데몰수지점 주니어담당 모집,시간협의,"월급1,698,300",01/16
경기 이천시,롯데마트 이천점 직원을 모집합니다.,시간협의,"월급1,698,300",01/15
경기 시흥시,롯데마트 시흥배곧점 아르바이트(축산/수산/조리),시간협의,"시급9,300",01/15
