place,title,time,pay,date
충남 당진시,부릉당진지사  라이더 모집 (최저가리스가능)(초지연없음)(일2000건이상),시간협의,"건별4,000",13분전
서울 동작구,"[동작-노량진지점] 부릉 기사, 배달 대행 기사 모집",09:00~00:00,"건별3,500",20분전
서울 동작구,"[동작-노량진지점] 부릉 기사, 배달 대행 기사 모집",09:00~00:00,"건별3,500",20분전
서울 동작구,"[동작-노량진지점] 부릉 기사, 배달 대행 기사 모집",09:00~00:00,"건별3,500",20분전
서울 마포구,"[마포-신촌] 부릉 기사, 배달 대행 기사 모집",10:00~05:00,"건별3,400",34분전
부산 금정구,"[부산-장전] 부릉 기사, 배달 대행 기사 모집",09:00~02:00,"건별3,000",40분전
부산 금정구,"[부산-장전] 부릉 기사, 배달 대행 기사 모집",09:00~02:00,"건별3,000",40분전
부산 금정구,"[부산-장전] 부릉 기사, 배달 대행 기사 모집",09:00~02:00,"건별3,000",40분전
충남 당진시,부릉당진지사  라이더 모집 (당진최고배송료)(일2000건이상)(최저가리스가능,시간협의,"건별4,000",51분전
경기 용인시,부릉배달대행(용인보라지점)월600~이상 가능 상시모집,시간협의,"건별3,000",56분전
광주 전체,[부릉] 광주광역시 지역 배달대행 부릉 지점장 모집,시간협의,건별500,1시간전
전남 전체,[부릉] 전라남도/전라북도 지역 배달대행 부릉 지점장 모집,시간협의,건별500,1시간전
광주 전체,[부릉] 광주광역시 전 지역 배달대행 라이더 모집,시간협의,"건별3,000",1시간전
경남 통영시,"[통영-북신] 부릉 기사, 배달 대행 기사 모집",08:00~02:00,"건별3,000",1시간전
부산 기장군,[기장부릉배달대행] 기장 부릉 배달대행 기사모집 기장최다콜보유,09:00~02:00,"건별3,500",2시간전
부산 기장군,[기장부릉배달대행] 기장 부릉 배달대행 기사모집 기장최다콜보유,09:00~02:00,"건별3,500",2시간전
부산 기장군,[기장부릉배달대행] 기장 부릉 배달대행 기사모집 기장최다콜보유,09:00~02:00,"건별3,500",2시간전
전북 전주시,"[전주-만성] 부릉 기사, 배달 대행 기사 모집",10:00~01:00,"월급5,000,000",2시간전
인천 남동구,"[인천-논현/서창] 부릉 기사, 배달 대행 기사 모집",10:00~01:00,"건별3,500",2시간전
