place,title,time,pay,date
서울 중랑구,무공돈까스 용마산점 주방 직원 구합니다. / 1월 10일 오픈 예정,09:00~21:00,"월급2,800,000",13분전
강원 속초시,무공돈까스 속초조양점 홀 파트타이머 구합니다,18:00~21:00,"시급9,160",4시간전
충북 충주시,무공돈까스 충주호암점 주방 직원 구합니다. / 280만원,09:00~21:00,"월급2,800,000",4시간전
충북 충주시,무공돈까스 충주연수점 직원/파트타이머 구인합니다,09:00~20:00,"월급2,800,000",7시간전
충북 충주시,무공돈까스 충주호암점 주방 직원 구합니다. / 280만원,09:00~21:00,"월급2,800,000",8시간전
충북 충주시,무공돈까스 충주호암점 주방 직원 구합니다. / 280만원,09:00~21:00,"월급2,800,000",19시간전
강원 속초시,무공돈까스 속초조양점 홀 파트타이머 구합니다,18:00~21:00,"시급9,160",20시간전
강원 속초시,무공돈까스 속초조양점 주방 파트타이머 구합니다,09:00~15:00,"시급9,160",20시간전
충북 충주시,무공돈까스 충주연수점 직원/파트타이머 구인합니다,09:00~20:00,"월급2,800,000",01/16
충북 충주시,무공돈까스 충주연수점 직원/파트타이머 구인합니다,09:00~20:00,"월급2,800,000",01/16
경기 평택시,무공돈까스 평택용죽점 주방직원 구인합니다,시간협의,"월급2,700,000",01/15
경기 평택시,무공돈까스 평택용죽점 주방직원 구인합니다,시간협의,"월급2,700,000",01/14
경기 평택시,무공돈까스 평택용죽점 주방직원 구인합니다,시간협의,"월급2,700,000",01/11
경기 평택시,무공돈까스 평택용죽점 주방직원 구인합니다,시간협의,"월급2,700,000",01/08
충북 충주시,무공돈까스 충주호암점 주방 직원 구합니다. / 280만원,09:00~21:00,"월급2,800,000",01/08
서울 중랑구,무공돈까스 용마산점 주방 직원 구합니다. / 1월 10일 오픈 예정,09:00~21:00,"월급2,800,000",01/07
충남 천안시,무공돈까스 천안두정역점 직원 구합니다.,시간협의,"시급9,200",01/04
충북 충주시,무공돈까스 충주연수점 직원/파트타이머 구인합니다(12월말오픈),09:00~20:00,"월급2,800,000",01/03
부산 강서구,무공돈까스 명지국제신도시점 주방직원 채용공고,시간협의,"월급2,500,000",01/03
충남 천안시,"무공돈까스 천안두정역점 직원 구합니다. / 시급 9,200원",시간협의,"시급9,200",01/03
부산 강서구,무공돈까스 명지국제신도시점 주방직원 채용공고,시간협의,"월급2,500,000",01/03
충북 충주시,무공돈까스 충주연수점 직원/파트타이머 구인합니다(12월말오픈),09:00~20:00,"월급2,800,000",01/03
충북 충주시,무공돈까스 충주호암점 주방 직원 구합니다. / 280만원,09:00~21:00,"월급2,800,000",01/03
부산 강서구,무공돈까스 명지국제신도시점 주방직원 채용공고,시간협의,"월급2,500,000",01/02
부산 강서구,무공돈까스 명지국제신도시점 주방직원 채용공고,시간협의,"월급2,500,000",01/02
부산 강서구,무공돈까스 명지국제신도시점 주방직원 채용공고,시간협의,"월급2,500,000",01/01
