place,title,time,pay,date
서울 중구,MUJI / 무인양품 / 무지 서울역점 직원모집,08:30~22:00,"월급1,933,000",2시간전
경기 전체,MUJI/무인양품/무지 판교점 토일 오후 파트타이머 모집,13:00~21:00,"시급9,160",2시간전
경남 창원시,MUJI / 무인양품 / 무지 창원점 직원 모집,시간협의,"월급1,933,000",2시간전
광주 동구,MUJI / 무인양품 / 무지 광주점 직원 모집,시간협의,"월급1,933,000",2시간전
부산 부산진,MUJI / 무인양품 / 무지 부산본점 직원 모집,시간협의,"월급1,933,000",2시간전
서울 노원구,MUJI / 무인양품 / 무지 노원점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 용산구,MUJI / 무인양품 / 무지 용산 아이파크몰점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 구로구,MUJI / 무인양품 / 무지 디큐브점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 중구,MUJI / 무인양품 / 무지 영플라자점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 종로구,MUJI / 무인양품 / 무지 영풍종로점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 영등포,MUJI / 무인양품 / 무지 타임스퀘어점 직원 모집,시간협의,"월급1,933,000",3시간전
경기 용인시,MUJI / 무인양품 / 무지 AK기흥점 직원 모집,시간협의,"월급1,933,000",3시간전
경기 수원시,MUJI / 무인양품 / 무지 수원점 직원 모집,시간협의,"월급1,933,000",3시간전
경기 성남시,MUJI / 무인양품 / 무지 AK분당점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 송파구,MUJI / 무인양품 / 무지 롯데월드몰점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 서대문,MUJI/무인양품/무지 신촌점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 마포구,MUJI/무인양품/ 무지 AK홍대점 직원 모집,시간협의,"월급1,933,000",3시간전
경기 용인시,MUJI / 무인양품 / 무지 수지점 직원 모집,시간협의,"월급1,933,000",3시간전
경남 김해시,MUJI / 무인양품 / 무지 김해점 직원 모집,시간협의,"월급1,933,000",3시간전
서울 마포구,무인양품(MUJI) 합정점 [목/금] [화/수] 오후 아르바이트 모집,14:00~22:00,"시급9,160",4시간전
경남 창원시,MUJI / 무인양품 / 무지 창원점 직원 모집,시간협의,"월급1,933,000",7시간전
부산 부산진,MUJI / 무인양품 / 무지 부산본점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 강서구,MUJI / 무인양품 / 무지 김포공항점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 노원구,MUJI / 무인양품 / 무지 노원점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 용산구,MUJI / 무인양품 / 무지 용산 아이파크몰점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 구로구,MUJI / 무인양품 / 무지 디큐브점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 영등포,MUJI / 무인양품 / 무지 여의도 IFC몰점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 종로구,MUJI / 무인양품 / 무지 영풍종로점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 영등포,MUJI / 무인양품 / 무지 타임스퀘어점 직원 모집,시간협의,"월급1,933,000",7시간전
경기 용인시,MUJI / 무인양품 / 무지 AK기흥점 직원 모집,시간협의,"월급1,933,000",7시간전
경기 수원시,MUJI / 무인양품 / 무지 수원점 직원 모집,시간협의,"월급1,933,000",7시간전
경기 성남시,MUJI / 무인양품 / 무지 롯데분당점 직원 모집,시간협의,"월급1,933,000",7시간전
경기 성남시,MUJI / 무인양품 / 무지 AK분당점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 송파구,MUJI / 무인양품 / 무지 롯데월드몰점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 서대문,MUJI/무인양품/무지 신촌점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 마포구,MUJI/무인양품/ 무지 AK홍대점 직원 모집,시간협의,"월급1,933,000",7시간전
경기 용인시,MUJI / 무인양품 / 무지 수지점 직원 모집,시간협의,"월급1,933,000",7시간전
서울 서초구,MUJI / 무인양품 / 무지 강남점 직원 모집,시간협의,"월급1,933,000",7시간전
경남 김해시,MUJI / 무인양품 / 무지 김해점 직원 모집,시간협의,"월급1,933,000",01/16
경기 안산시,MUJI / 무인양품 / 무지 안산점 직원 모집,시간협의,"월급1,933,000",01/15
서울 송파구,MUJI / 무인양품 / 무지 잠실점 직원 모집,시간협의,"월급1,933,000",01/15
서울 중구,MUJI / 무인양품 / 무지 영플라자점 직원 모집,시간협의,"월급1,933,000",01/15
광주 동구,MUJI / 무인양품 / 무지 광주점 직원 모집,시간협의,"월급1,933,000",01/15
경남 창원시,MUJI / 무인양품 / 무지 창원점 직원 모집,시간협의,"월급1,933,000",01/14
부산 부산진,MUJI / 무인양품 / 무지 부산본점 직원 모집,시간협의,"월급1,933,000",01/14
서울 노원구,MUJI / 무인양품 / 무지 노원점 직원 모집,시간협의,"월급1,933,000",01/14
서울 용산구,MUJI / 무인양품 / 무지 용산 아이파크몰점 직원 모집,시간협의,"월급1,933,000",01/14
서울 구로구,MUJI / 무인양품 / 무지 디큐브점 직원 모집,시간협의,"월급1,933,000",01/14
서울 종로구,MUJI / 무인양품 / 무지 영풍종로점 직원 모집,시간협의,"월급1,933,000",01/14
서울 영등포,MUJI / 무인양품 / 무지 타임스퀘어점 직원 모집,시간협의,"월급1,933,000",01/14
