place,title,time,pay,date
충남 천안시,미스사이공 망향휴게소점(하행),09:00~21:00,"월급2,500,000",2시간전
경기 화성시,미스사이공 매송휴게소점(하행) 조리,09:00~21:00,"시급10,000",3시간전
인천 계양구,주방근무 직원모집.  주간근무 토.일요일 휴무.  베트남주부우대,시간협의,"시급9,200",3시간전
경기 부천시,조리 및 매장관리,11:00~17:00,"시급9,160",3시간전
서울 동대문,오후및 주말근무 외국인 유학생 모집,시간협의,"시급10,000",9시간전
경기 안양시,직원모집,16:00~21:00,"시급10,000",01/12
인천 서구,미스사이공 인천루원시티점 주방보조 알바모집,시간협의,"시급10,000",01/10
경기 안양시,직원모집,11:30~16:00,"시급10,000",01/08
부산 해운대,알바  구해요,시간협의,"시급9,500",01/06
경기 화성시,미스사이공 수원대점 알바채용,18:00~21:00,"시급9,160",01/04
