place,title,time,pay,date
충남 아산시,아산배방점 베스킨라빈스에서 직원구합니다.,시간협의,"월급900,000",7분전
경기 성남시,배스킨라빈스 판교백현점에서 (수~토) 경력자 구합니다,17:00~23:00,"시급9,500",12분전
경남 진주시,배스킨라빈스 진주혁신도시점에서 책임감 강한 경력있는 알바 구합니다,16:00~23:00,"시급9,160",15분전
충북 진천군,배스킨라빈스 충북덕산점 정규직 직원 및 알바 모집,시간협의,"시급9,160",25분전
충남 천안시,"두정동 배스킨라빈스 천안먹자골목점 (수, 금)",18:00~23:30,"시급9,160",25분전
서울 전체,"주2일 (일,월) 오전 알바 모집합니다.",16:00~23:30,"시급9,160",26분전
서울 구로구,배스킨라빈스 개봉중앙점  주말오픈 구합니다.,10:00~16:00,"시급9,160",29분전
서울 구로구,배스킨라빈스 개봉중앙점 평일 미들 알바 구합니다.,14:30~21:30,"시급9,160",31분전
서울 강남구,배스킨라빈스 수서역점에서 가족처럼 재미있게 근무하실분 찾아요,17:00~22:00,"시급9,160",47분전
경남 창원시,"배스킨라빈스 진해남문점 금, 토,일 마감채용해요",시간협의,"시급9,160",52분전
광주 북구,배스킨라빈스 말바우점 파트타임 구합니다,시간협의,"시급9,160",54분전
충남 홍성군,배스킨라빈스 충남내포점 알바구합니다,17:00~22:30,"시급9,200",55분전
서울 강동구,"배스킨라빈스 명일역점  평일, 주말 근무자 모집합니다.",시간협의,"시급9,160",59분전
경북 김천시,마감 1 평일 미들 1 파트타이머 채용 김천혁신 배스킨라빈스,시간협의,"시급9,160",1시간전
서울 중랑구,"배스킨라빈스31 상봉이마트점 평일 (화,목) 오후 알바 모집",18:00~22:00,"시급9,160",1시간전
인천 남동구,배스킨라빈스 구월CGV점 알바 채용합니다,10:00~14:00,"시급9,160",1시간전
경북 김천시,마감 1 평일 미들 1 파트타이머 채용 김천혁신 배스킨라빈스,시간협의,"시급9,160",1시간전
경북 김천시,마감 1 평일 미들 1 파트타이머 채용 김천혁신 배스킨라빈스,시간협의,"시급9,160",1시간전
인천 미추홀,배스킨라빈스 인천도화점 평일미들 (경력자) 근무자 모집,14:00~19:00,"시급9,160",1시간전
부산 연제구,배스킨라빈스  평일 미들 알바모집,13:00~18:00,"시급9,160",1시간전
전남 고흥군,배스킨라빈스 전남고흥 녹동점 파트타임 구합니다,시간협의,"시급9,160",1시간전
서울 전체,배스킨라빈스 주2일  알바 모집합니다.,16:00~23:30,"시급9,160",1시간전
서울 노원구,광운대 배스킨라빈스,19:00~23:00,"시급9,160",1시간전
경기 시흥시,월. 화 오픈(10시오후3시)모집,18:00~23:00,"시급9,160",1시간전
부산 기장군,베스킨라빈스 부산 일광점 / 주말 오픈 알바 구합니다,시간협의,"시급9,160",1시간전
광주 서구,배스킨라빈스 운천점에서 함께일하실 직원 모집,18:00~23:00,"시급9,160",2시간전
전남 무안군,토.일/미들타임,16:00~22:00,"시급9,160",2시간전
경기 고양시,배라에서 알바 경험있는 친구모집,시간협의,"시급9,400",2시간전
서울 강서구,"베스킨라빈스 화곡대림점(토,일 2시~6시)남,여 경력자모집",14:00~18:00,"시급9,160",2시간전
울산 남구,배스킨라빈스 울산남구홈플러스점 알바생 구합니다.,시간협의,"시급9,160",2시간전
경기 화성시,배스킨라빈스 동탄산척신리점 아르바이트 모집,시간협의,"시급9,160",2시간전
울산 남구,"배스킨라빈스 울산남구보건소점에서 화,목 오후타임 알바생을 구합니다.",14:00~19:00,"시급9,160",2시간전
서울 금천구,금천홈플러스 배스킨라빈스 주말 마감 파트너 모집합니다.,18:00~21:30,"시급9,160",2시간전
인천 연수구,송도퍼스트파크점에서 함께할 파트너분 모집합니다. (인천대입구역 도보5분),18:00~23:30,"시급9,160",2시간전
울산 남구,"배스킨라빈스 울산삼산일번가점에서 화,목 오후타임 알바생을 구합니다.",14:00~18:30,"시급9,160",2시간전
충남 천안시,배스킨 불당점에서 (토. 일)/파트타이머를 모집합니다.,11:00~17:00,"시급9,160",2시간전
경기 안양시,안양관악역 베스킨라빈스 평일알바 오후(마감) 모집합니다,19:00~23:30,"시급9,160",2시간전
울산 남구,배스킨라빈스 울산삼산일번가점에서  오후타임 알바생을 구합니다.,시간협의,"시급9,160",2시간전
경기 하남시,배스킨라빈스 위례트레이더스점 평일알바 모집합니다~,16:00~22:00,"시급9,160",2시간전
경북 김천시,"(토,일 )주말 근무자 구합니다",시간협의,"시급9,160",2시간전
부산 수영구,배스킨라빈스 부산수영점 월 수 (오픈 )  화욜(마감)  아르바이트 구해요,10:00~14:30,"시급9,200",3시간전
부산 전체,부산대공원점(초읍) 목.금 오전 근무자 모집,시간협의,"시급9,160",3시간전
서울 전체,"배스킨라빈스 구로디지털단지역점 금,토알바 구합니다.",19:00~23:00,"시급9,160",3시간전
경기 시흥시,배스킨라빈스 시흥산현점 주말 마감 및 평일 파트너 모집,06:00~23:00,"시급9,160",3시간전
인천 미추홀,가족처럼 즐겁게 근무할 평일 마감 파트너 모집합니다,시간협의,"시급9,160",3시간전
서울 강북구,"배스킨라빈스 강북구청점(수유역)에서 토, 일 미들 파트너 모집합니다.",14:00~18:00,"시급9,160",3시간전
서울 강동구,강일동 배스킨라빈스에서 목금오픈아르바이트구합니다,10:00~14:00,"시급9,160",3시간전
경북 경주시,배스킨 경주용황점(용황휴포레 앞) - 월화수  근무자모집,18:00~23:00,"시급9,160",3시간전
충북 충주시,충주 신연수동  배스킨라빈스  아르바이트,18:00~24:00,"시급9,160",3시간전
경기 부천시,"배스킨라빈스 부천오정점 월,화 및 주말 마감 파트너 모집합니다.",04:00~23:00,"시급9,160",3시간전
