place,title,time,pay,date
경기 안양시,[주방 정직원] 홍콩반점0410 안양명학역점 직원구함 (주5일/260만원),시간협의,"월급2,600,000",1분전
서울 강서구,[6일근무]홍콩반점0410 목동파리공원점 매니저 구합니다,10:00~22:00,"월급2,800,000",3분전
서울 강서구,(급구) 홍콩반점 우장산역점 주방 / 월 290만원,09:30~21:30,"월급2,900,000",4분전
충북 청주시,홀서빙 직원을 구인합니다.,10:30~21:00,"월급2,430,000",4분전
서울 영등포,홍콩반점0410 신풍점 주방 직원 채용합니다.[주5일/포장배달전문점],10:00~22:00,"월급2,500,000",4분전
경기 수원시,롤링파스타 수원역점 홀 직원 1명 구합니다,10:00~21:30,"월급2,300,000",5분전
경기 고양시,"[주5일/홀, 주방직원 모집](주6일 근무도 가능)",10:00~22:00,"월급2,500,000",6분전
경기 고양시,"[주5일/홀, 주방직원 모집](주6일 근무도 가능)",10:00~22:00,"월급2,500,000",6분전
경기 고양시,"[주5일/홀, 주방직원 모집](주6일 근무도 가능)",10:00~22:00,"월급2,500,000",6분전
광주 광산구,주방직원구함(외국인가능),시간협의,"월급2,500,000",10분전
광주 서구,주방직원및알바구합니다,시간협의,"월급2,700,000",11분전
광주 서구,홀직원 및 주말알바구함,시간협의,"시급9,160",11분전
충북 청주시,신규오픈성실한직원 모집합니다.,시간협의,"시급9,500",11분전
제주 제주시,남녀 홀서빙 직원 구합니다.(주1~2회 휴무선택),10:00~21:30,"월급2,700,000",12분전
광주 서구,주방직원및알바구합니다,시간협의,"월급2,500,000",13분전
광주 서구,홀직원 및 주말알바구함,시간협의,"시급9,160",13분전
경남 진주시,롤링파스타 진주혁신점 조리부 직원 모집합니다.,10:00~21:30,"월급2,720,000",13분전
경남 창원시,(급구)평일 저녁 홀 써빙 구합니다.,18:00~22:00,"시급10,000",14분전
광주 광산구,주방직원구함(외국인가능),시간협의,"월급2,500,000",14분전
경남 창원시,홍공반점0410  창원어반브릭스점  주방직원 구합니다,10:00~22:00,"월급2,600,000",16분전
대구 동구,주방 직원 모집합니다(주5일),10:00~22:00,"월급2,400,000",17분전
경기 용인시,[주5일250] 주방직원 모집합니다,10:00~21:00,"월급2,500,000",20분전
경기 광명시,조리사(초보가능) 모집 홍콩반점 광명사거리,10:30~22:00,"월급2,700,000",21분전
충남 아산시,백종원의한신포차 주방직원 구합니다.,17:00~24:00,"시급9,500",22분전
경남 진주시,새마을식당 진주경상대점 주방 직원 구합니다. 손빠르신분 환영합니다,시간협의,"월급2,700,000",23분전
서울 성북구,인생설렁탕 고대안암역점 주방 남직원 모집(주6일 ),10:00~10:00,"월급2,800,000",23분전
대구 중구,[롤링파스타] 홀 주말 오전/오후 알바 구함,시간협의,"시급9,160",23분전
경남 김해시,주방직근무 (초보가능) 남녀상관없음,10:00~21:30,"월급2,900,000",26분전
인천 남동구,인생설렁탕 구월로데오점 주방/홀 아르바이트 구합니다.,시간협의,"월급1,300,000",26분전
대구 중구,[롤링파스타 대구동성로점] 주방 정직원 모집합니다.,10:00~22:00,"월급2,500,000",26분전
서울 용산구,"홍콩반점 문배점에서 홀,주방직원 모집합니다.",10:30~20:30,"월급2,580,000",27분전
경기 시흥시,[홍콩반점 0410시흥능곡점] 주방직원 모집.,시간협의,"연봉30,900,000",27분전
강원 원주시,홍콩반점0410 원주기업도시점 홀&주방 직원 구합니다.,10:00~22:00,"시급9,160",27분전
전남 순천시,롤링파스타 주방 직원 모집합니다 (주6일),시간협의,"월급2,500,000",27분전
인천 부평구,한신포차인천삼산점 홀서빙 평일 (일~목)알바 구합니다.,시간협의,"시급9,160",28분전
경기 수원시,[초보/외국인가능]설거지 및 주방보조 구해요(주5~6일),18:00~01:00,"시급9,500",29분전
경기 안산시,홍콩반점 0410 초지 풍림점 아르바이트채용합니다,시간협의,"시급9,160",30분전
인천 서구,주방 주5일제 정직원 구합니다 ~경력자환영,11:00~22:30,"시급9,160",30분전
경북 포항시,(주5일근무)백스비어 주방 직원(알바생)을 모집합니다.,18:00~02:00,"시급9,160",33분전
서울 양천구,홍콩반점0410목동파리공원점 주방직원 모집 합니다.,10:00~22:00,"월급2,850,000",33분전
경기 의정부,롤링파스타 의정부점 주방직원모집,10:00~21:30,"월급2,600,000",34분전
경북 포항시,"평일(월,화,수) 알바생 모집합니다",18:30~24:00,"시급9,160",35분전
서울 강서구,[주3~6일근무/정직원]한신포차 마곡나루역점 주방직원 구인합니다,17:00~00:00,"시급10,000",35분전
경기 수원시,인생설렁탕 수원인계점 주말 토 일  (홀아르바이트),10:00~17:00,"시급9,200",36분전
서울 강서구,[주2~6일근무]한신포차 마곡나루역점  주말 아르바이트 모집합니다,시간협의,"시급10,000",36분전
서울 성북구,인생설렁탕 고대안암역점 주방 남직원 모집(주6일 ),10:00~22:00,"월급2,800,000",36분전
경북 경산시,리춘시장 경산 옥산점 주방보조 서빙하실 가족 구합니다.,17:00~03:00,"시급9,160",37분전
경북 포항시,"주말(금,토,일) 알바생 모집합니다",18:30~00:00,"시급9,160",37분전
인천 남동구,인생설렁탕 구월로데오점 주방/홀 아르바이트 구합니다.,시간협의,"월급1,300,000",39분전
광주 동구,롤링파스타 충장로점  - 함께 일하실 홀직원 및 홀매니저 구함,시간협의,"월급2,400,000",41분전
