place,title,time,pay,date
경남 창원시,창원시티세븐점 사보텐 주말 홀 아르바이트 모집,12:00~15:00,"시급9,160",3분전
경기 여주시,히바린 여주첼시점 파트사원 모집합니다.,시간협의,"시급10,000",2시간전
서울 서초구,"사보텐 신논현점 / 10992원 / 주중,주말  PT사원 채용",17:00~22:00,"시급10,308",2시간전
서울 강동구,히바린 현대천호점 평일/주말 주방 파트사원 모집 중,09:30~14:30,"시급9,160",2시간전
서울 강남구,사보텐 GFC(역삼역3번출구) 평일/주말 근무하실 파트사원 모집합니다.,12:00~22:00,"시급9,160",2시간전
서울 관악구,사보텐 신논현점 주중 / 주말  아르바이트 모집합니다:),17:00~22:00,"시급10,800",3시간전
충북 청주시,사보텐 청주터미널점 정규직원 모집,10:00~21:30,"연봉32,000,000",3시간전
서울 동대문,사보텐 청량리점에서 평일 주방 10-15.5시 파트 모집(문자 지원),10:00~15:30,"시급9,160",3시간전
서울 동대문,사보텐 청량리점에서 평일 홀 10.5-15시 파트 모집(문자 지원),10:30~15:00,"시급9,160",3시간전
서울 마포구,사보텐 공덕역점 홀/주방 파트타이머 모집,시간협의,"시급9,160",6시간전
경기 의정부,[사보텐 신세계의정부점] 주말 파트사원 모집,시간협의,"시급9,160",6시간전
서울 강남구,사보텐 코엑스점(삼성동) 평일 오전 주방 / 식사세팅 파트 모집,09:00~16:00,"시급9,160",7시간전
서울 강남구,[사보텐] 선릉역점 주중 파트사원 구합니다,시간협의,"시급9,160",21시간전
경기 의정부,[사보텐 신세계의정부점] 주말 파트사원 모집,시간협의,"시급9,160",01/16
서울 성북구,[사보텐 현대미아점] 평일 주방 오픈파트사원 모집합니다,09:00~15:00,"시급9,160",01/16
경기 의정부,[사보텐 신세계의정부점] 주말 파트사원 모집,시간협의,"시급9,160",01/14
서울 강남구,"[사보텐 종로그랑서울점] 주중, 주말 파트사원 모집",시간협의,"시급9,160",01/13
서울 송파구,사보텐 딜리버리 송파점 파트사원 및 정사원 모집,시간협의,"시급9,160",01/12
충북 청주시,사보텐 청주터미널점 정규직원 모집,10:00~21:30,"연봉28,139,520",01/12
서울 관악구,사보텐 신논현점 주중 / 주말  아르바이트 모집합니다:),17:00~22:00,"시급10,800",01/11
서울 광진구,사보텐 건대스타시티점 디쉬업 파트 채용(문자지원),17:00~22:00,"시급9,160",01/11
서울 광진구,사보텐 건대스타시티점 주방 파트 채용(문자지원),12:00~17:00,"시급9,160",01/11
서울 강남구,[사보텐] 선릉역점 주중 파트사원 구합니다,시간협의,"시급9,160",01/10
서울 광진구,사보텐 건대스타시티점 주방 파트 채용(문자지원),12:00~17:00,"시급9,160",01/09
광주 서구,"사보텐 신세계광주점 주방(주말,공휴일)",12:30~20:30,"시급9,160",01/07
서울 서초구,"사보텐 사당점 평일,주말 주방 파트타이머 모집",시간협의,"시급9,160",01/05
서울 강남구,[사보텐] 선릉역점 주중 주말 파트사원 구합니다,시간협의,"시급9,160",01/01
