place,title,time,pay,date
광주 광산구,상무초밥 수완점/주방직원 (경력자분들& 배우면서 하실분)  주방보조,10:00~22:00,"월급4,000,000",40분전
대구 수성구,2/5오픈)상무초밥범어점[주방]경력자/찬모[홀]직원/알바(주중.주말),시간협의,"월급4,000,000",43분전
전북 익산시,상무초밥익산점에서 주방직원및 찬모님 모십니다,09:00~20:00,"월급2,600,000",57분전
전북 익산시,상무초밥익산점 홀아르바이트(수~금) 모집합니다,18:00~22:00,"시급9,160",1시간전
광주 서구,상무초밥 상무점)주방직원&홀직원&카운터&아르바이트 구함,10:00~23:00,"월급4,000,000",1시간전
전북 전주시,급)상무초밥전주도청점 )[주방]과장/대리/설거지[홀]/직원/주말알바,시간협의,"시급9,160",1시간전
전북 전주시,급)상무초밥전주도청점 )[주방]과장/대리/설거지[홀]/직원/주말알바,시간협의,"시급9,160",1시간전
전북 전주시,급)상무초밥전주도청점 )[주방]과장/대리/설거지[홀]/직원/주말알바,시간협의,"시급9,160",1시간전
전북 전주시,급)상무초밥전주도청점 )[주방]과장/대리/설거지[홀]/직원/주말알바,시간협의,"시급9,160",1시간전
경기 안산시,"상무초밥 안산점에서 주방, 홀 파트너를 모집합니다",12:00~05:00,"월급3,500,000",2시간전
전남 목포시,주방직원 찬모 홀직원 모집합니다,시간협의,"월급3,700,000",2시간전
경기 고양시,"상무초밥 일산라페스타점에서 주방실장, 주방직원, 설거지, 홀직원 모셔요~~",시간협의,"월급4,000,000",3시간전
경기 성남시,상무초밥) 분당서현점 주방 사원 주임 과장 부장 구함,10:00~22:00,"월급2,800,000",3시간전
대구 수성구,2/5오픈)상무초밥범어점[주방]경력자/찬모[홀]직원/알바(주중.주말),시간협의,"월급4,000,000",3시간전
대구 수성구,2/5오픈)상무초밥범어점[주방]경력자/찬모[홀]직원/알바(주중.주말),시간협의,"월급4,000,000",3시간전
대구 수성구,2/5오픈)상무초밥범어점[주방]경력자/찬모[홀]직원/알바(주중.주말),시간협의,"월급4,000,000",3시간전
대구 수성구,2/5오픈)상무초밥범어점[주방]경력자/찬모[홀]직원/알바(주중.주말),시간협의,"월급4,000,000",3시간전
경기 고양시,"상무초밥 일산라페스타점에서 주방 실장, 주방직원,설거지, 홀직원 모셔요~~",시간협의,"월급4,000,000",3시간전
경기 고양시,"상무초밥 일산점에서 주방 실장, 주방직원, 홀직원 평일오후알바 모셔요~",시간협의,"월급4,000,000",4시간전
울산 남구,상무초밥 울산점 홀 직원 구합니다.(정직원),시간협의,"월급2,600,000",4시간전
울산 남구,상무초밥 울산점 홀 아르바이트 구합니다.,시간협의,"시급9,160",4시간전
울산 남구,상무초밥 울산점 주방직원 구합니다.,시간협의,"월급2,620,000",4시간전
울산 남구,"상무초밥 울산직영점 홀 직원 구합니다(아르바이트, 정직원)",시간협의,"월급2,600,000",5시간전
경기 시흥시,"상무초밥 배곧점 주방 및 홀 직원,아르바이트 구합니다",시간협의,"월급3,500,000",5시간전
충남 천안시,상무초밥에서 함께하실 가족 모집중입니다 (직원),11:00~22:00,"월급2,900,000",5시간전
충남 천안시,"상무초밥에서 홀,주방 직급자 구합니다",11:00~22:00,"월급2,900,000",5시간전
충남 천안시,"상무초밥에서 주방 직원,  홀 직원 (사원,매니저,점장 ) 구합니다",11:00~22:00,"월급2,900,000",5시간전
충남 천안시,"상무초밥에서 주방 직원 ( 사원~과장이상급 ), 홀 직원 구합니다",11:00~22:00,"월급2,900,000",5시간전
충남 천안시,"상무초밥에서 주방 직원, 홀 직원 구합니다",11:00~22:00,"월급2,900,000",5시간전
전북 전주시,[상무초밥 전주송천] [주방]경력자/초보 직원모집합니다,시간협의,"월급2,600,000",5시간전
대전 유성구,"상무초밥 유성점 홀,주방 직원구합니다",시간협의,"월급2,940,000",6시간전
대전 서구,"+상무초밥 둔산점에서 함께하실 [홀] 주중,주말 아르바이트 구합니다.",시간협의,"시급9,160",6시간전
대전 유성구,"상무초밥 유성점 홀,주방 직원구합니다",시간협의,"월급2,940,000",6시간전
대전 유성구,"상무초밥 유성점 홀,주방 직원구합니다",시간협의,"월급2,940,000",6시간전
대전 유성구,"상무초밥 유성점 홀,주방 직원구합니다",시간협의,"월급2,940,000",6시간전
대전 유성구,"상무초밥 유성점 홀,주방 직원구합니다",시간협의,"월급2,940,000",6시간전
경기 고양시,"상무초밥 일산점에서 주방 실장, 주방직원, 홀직원,평일오후알바 모셔요~",시간협의,"월급4,000,000",6시간전
경기 성남시,상무초밥) 분당서현점 주방 사원 주임 과장 부장 구함,10:00~22:00,"월급2,800,000",6시간전
울산 남구,"상무초밥 울산점 홀 직원 구합니다(정직원, 아르바이트)",시간협의,"월급2,600,000",6시간전
전북 전주시,[상무초밥 전주송천] [주방]경력자/초보 직원모집합니다,시간협의,"월급2,600,000",6시간전
경기 안산시,"상무초밥 안산점에서 주방, 홀 파트너를 모집합니다",12:00~05:00,"월급3,500,000",8시간전
경기 안산시,"상무초밥 안산점에서 주방, 홀 파트너를 모집합니다",12:00~05:00,"월급3,500,000",8시간전
경기 안산시,"상무초밥 안산점에서 주방, 홀 파트너를 모집합니다",12:00~05:00,"월급3,500,000",12시간전
전남 여수시,"상무초밥 여수점 홀직원 모집 (주5일, 주6일 모두가능)",시간협의,"월급2,700,000",13시간전
전남 여수시,"상무초밥 여수점에서 평일, 주말 파트타임 알바 모집합니다",시간협의,"시급10,000",13시간전
전남 여수시,상무초밥 여수점에서 주방직원을 모집합니다 (경력자 급여 협의가능),10:00~22:00,"월급2,800,000",13시간전
광주 서구,상무초밥 상무점)주방직원&홀직원&카운터&아르바이트 구함,10:00~23:00,"월급4,000,000",13시간전
전북 전주시,[상무초밥 전주송천] [주방]경력자/초보 직원모집합니다,시간협의,"월급2,600,000",14시간전
대전 서구,+상무초밥 둔산점에서 함께하실 [주방 설거지 이모님] 모십니다.,시간협의,"월급2,940,000",14시간전
대전 서구,"+상무초밥 둔산점에서 함께하실 [홀,주방] 정직원 모집합니다.",시간협의,"월급2,940,000",14시간전
