place,title,time,pay,date
부산 동구,아이들과 함께 할 도서교사 모집합니다~ 어서오세요~~,14:00~22:00,"건별30,000",33분전
부산 부산진,아이들과 함께 할 도서교사 모집합니다~ 어서오세요~~,14:00~22:00,"건별30,000",33분전
경기 하남시,"북코칭수업 교사 모집합니다(책 읽기 수업, 논술 외 )",시간협의,"월급1,000,000",33분전
경기 하남시,"북코칭수업 교사 모집합니다(책 읽기 수업, 논술 외 )",시간협의,"월급1,000,000",33분전
경기 하남시,"북코칭수업 교사 모집합니다(책 읽기 수업, 논술 외 )",시간협의,"월급1,000,000",33분전
경기 수원시,"[급구수원] 책 읽어주기,독서코칭 선생님 모집 (신입정착금지원)",14:30~18:00,"월급2,000,000",2시간전
경기 수원시,"[급구수원] 책 읽어주기,독서코칭 선생님 모집 (신입정착금지원)",14:30~18:00,"월급2,000,000",2시간전
경기 수원시,"[급구수원] 책 읽어주기,독서코칭 선생님 모집 (신입정착금지원)",14:30~18:00,"월급2,000,000",2시간전
서울 영등포,"[영등포구] 유아동 도서대여, 책읽어주기 선생님을 모집합니다.",14:00~20:00,"월급1,000,000",2시간전
서울 양천구,"[양천구] 유아동 도서대여, 책읽어주기 선생님을 모집합니다.",14:00~20:00,"월급1,000,000",2시간전
서울 강서구,"[강서구] 유아동 도서대여, 책읽어주기 선생님을 모집합니다.",14:00~20:00,"월급1,000,000",2시간전
서울 송파구,"(급구)송파구,위례지역 도서대여 교사, 책읽어주기교사,독서논술교사모집",시간협의,"시급10,000",6시간전
서울 송파구,"(급구)송파구, 도서대여교사,책읽어주기교사,독서논술교사모집",시간협의,"시급10,000",6시간전
서울 송파구,"(급구)송파구,위례지역 도서대여 교사, 책읽어주기교사,독서논술교사모집",시간협의,"시급10,000",6시간전
충남 당진시,급)성원아이북랜드와 함께 할 선생님을 모십니다.,시간협의,"건별38,000",6시간전
충남 당진시,급)회원 증가로 함께 할 선생님을 모십니다.,시간협의,"건별38,000",6시간전
충남 당진시,급) 성원아이북랜드 방문교사 모집 (독서관련 자격증 취득 기회),시간협의,"건별38,000",6시간전
충남 아산시,(급)책 읽어주는 방문 교사 모집,시간협의,"건별30,000",6시간전
충남 아산시,성원아이북랜드의 방문교사 모집(자격증 취득의 기회),시간협의,"건별30,000",6시간전
충남 아산시,급구) 회원증가로  책읽어주기 선생님을 모십니다.,시간협의,"건별38,000",6시간전
경북 안동시,"책읽어 주기, 독서습관 지도교사 모집.경력자 우대 (주 3-4일 근무 가능",16:00~20:00,"월급1,200,000",7시간전
경기 고양시,[ 덕양구 ] 책읽어주기 선생님을 모집합니다.,시간협의,"시급15,000",7시간전
경기 고양시,[ 덕양구 ] 도서대여 . 책읽어주기 선생님을 모집합니다.,시간협의,"시급15,000",7시간전
경기 고양시,[ 덕양구 ] 독서토론논술 선생님을 모집합니다.,시간협의,"시급15,000",7시간전
대전 서구,[둔산동] 책읽어주기교사 모집합니다,시간협의,"시급20,000",8시간전
대전 서구,[열매마을] 책읽어주기 교사 모집합니다,시간협의,"시급20,000",8시간전
대전 서구,[전민동] 책읽어주기 선생님을 모집합니다,시간협의,"시급20,000",8시간전
대구 달성군,(자격증 취득기회) 책읽어주기 도서대여 방문교사 모집합니다,시간협의,"월급1,200,000",8시간전
대구 달서구,(정착지원금 최대 300만원지원 ) 책읽어주기 도서대여 방문교사 모집합니다,시간협의,"월급1,200,000",8시간전
대구 달서구,(급구) 책읽어주기 도서대여 방문교사 모집합니다,시간협의,"월급1,200,000",8시간전
전국 전체,[급구] 김포 성원아이북랜드 선생님 모집,시간협의,"시급10,000",15시간전
전국 전체,[급구] 인천 서구 성원아이북랜드 선생님 모집,시간협의,"시급10,000",15시간전
강원 강릉시,[급구] 성원아이북랜드 책읽어주기 선생님 모집  (신입 정착금 지원 ),시간협의,"월급1,200,000",17시간전
서울 동작구,(동작구) 논술/책읽어주기 선생님을 모집합니다.,시간협의,"월급1,000,000",22시간전
서울 은평구,(서대문구-북가좌동) 책읽어주기 선생님 모집,14:00~20:00,"건별25,000",01/17
서울 은평구,(서대문구-남가좌동) 책읽어주기 선생님 모집,14:00~20:00,"건별25,000",01/17
서울 은평구,(은평구-응암) 책읽어주기 선생님 모집,14:00~20:00,"건별25,000",01/17
경기 고양시,"경력자환영/책읽어주기및 코칭,논술,역사 전문선생님을 모집 합니다",14:00~21:00,"월급2,000,000",01/16
경기 고양시,"도서대여,책읽어주기 및 독서논술 선생님을 모집 합니다",14:00~18:30,"건별35,000",01/16
경기 고양시,"일산지역 책읽어주기,독서논술 선생님을 모집 합니다.~~",14:00~21:00,"건별30,000",01/16
서울 관악구,(관악구) 책읽어주기 선생님을 모집합니다.,시간협의,"월급1,000,000",01/16
경북 안동시,"책읽어 주기, 독서습관 지도교사 모집.경력자 우대 (주 3-4일 근무 가능",16:00~20:00,"월급1,200,000",01/16
울산 중구,(추가모집)책읽어주기.독서지도 교사모집(동구.북구)-차량소지자.경력자우대,시간협의,"건별50,000",01/15
경기 용인시,성원아이북랜드 책 읽어주기 선생님 모집(신입정착금 지원),시간협의,"월급1,000,000",01/15
경기 용인시,성원아이북랜드 책 읽어주기 선생님 모집(신입정착금 지원),시간협의,"월급1,000,000",01/15
경기 용인시,성원아이북랜드  책 읽어주기 선생님 모집(신입정착금  지원),시간협의,"월급1,000,000",01/15
대구 수성구,"수성구 전지역 도서대여,책읽어주기 선생님 모집 합니다.",10:00~20:00,"건별35,000",01/15
대구 수성구,남구 이천동 동구 효목동 신천동 책읽어주기 및 도서대여 선생님 모집 합니다.,10:00~20:00,"건별35,000",01/15
대구 수성구,"수성구 전지역 도서대여,책읽어주기 선생님 모집 합니다.",10:00~20:00,"건별35,000",01/15
강원 강릉시,[급구] 성원아이북랜드 책읽어주기 선생님 모집  (신입 정착금 지원 ),시간협의,"월급1,200,000",01/09
