place,title,time,pay,date
경기 성남시,시급9500 화.수.목 분당이마트 고로케매장 저녁 카운터 및 홀 마감,17:30~21:30,"시급9,500",1시간전
경기 성남시,시급9500 화.수.목 분당이마트 고로케매장 저녁 카운터 및 홀 마감,17:30~21:30,"시급9,500",1시간전
경기 성남시,월200 분당이마트 고로케매장 13:30 - 22:30 카운터 및 홀 마감,13:30~22:30,"월급2,000,000",1시간전
경기 성남시,월200 분당이마트 고로케매장 13:30 - 22:30 카운터 및 홀 마감,13:30~22:30,"월급2,000,000",1시간전
울산 울주군,송사부수제쌀로로케 메가마트 언양점 알바구함,17:30~20:30,"시급9,160",2시간전
경남 거제시,송사부고로케 평일 카운터 오후 직원모집합니다,16:00~22:00,"시급9,160",23시간전
서울 중구,천호 이마트 송사부에서 주말 알바 구합니다.,08:00~15:00,"시급9,500",01/16
경기 파주시,송사부 쌀고로케 주간알바 구합니다,12:00~16:00,"시급9,500",01/15
인천 서구,"송사부고로케   홈플러스가좌점  평일홀 알바구합니다~(월.화,수)",12:00~18:00,"시급9,200",01/07
부산 남구,알바모집,17:30~21:00,"시급10,000",01/01
