place,title,time,pay,date
경기 화성시,[동탄점]Shake Shack Staff모집,시간협의,"시급9,160",1시간전
서울 성동구,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간협의,"시급9,300",3시간전
서울 성북구,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간협의,"시급9,300",3시간전
서울 중구,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간협의,"시급9,300",3시간전
서울 강북구,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간협의,"시급9,300",3시간전
서울 동대문,"[두타점]Shake Shack Staff모집(주휴포함 11,160원)",시간협의,"시급9,300",3시간전
부산 부산진,쉐이크쉑 부산 서면점 신규 직원 모집,09:00~18:00,"시급9,300",3시간전
서울 노원구,[노원점]Shake Shack Staff모집,시간협의,"시급9,160",01/16
서울 용산구,[용산점]Shake Shack Staff모집,시간협의,"시급9,160",01/15
경기 화성시,[동탄점]Shake Shack Staff모집,시간협의,"시급9,160",01/13
서울 강남구,[청담점]Shake Shack Staff모집,시간협의,"시급9,160",01/13
대전 서구,[둔산점]Shake Shack Staff모집,10:00~19:00,"시급9,300",01/06
서울 서초구,[센트럴시티점]Shake Shack Staff모집,07:00~23:00,"시급9,160",01/03
서울 서초구,[분당점]Shake Shack Staff모집,시간협의,"시급9,160",01/03
