place,title,time,pay,date
부산 전체,[슈펜 해운대점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",5시간전
부산 해운대,[슈펜 해운대점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",5시간전
서울 중랑구,[슈펜 청량리점] 주5일(40시간)_풀타임 아르바이트_모집V,12:00~21:00,"월급2,014,440",5시간전
서울 동대문,[슈펜 청량리점] 주5일(40시간)_풀타임 아르바이트_모집V,12:00~21:00,"월급2,014,440",6시간전
서울 서대문,[슈펜 홍대점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
서울 마포구,[슈펜 홍대점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
경기 고양시,[슈펜 일산점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
경기 고양시,[슈펜 일산점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
서울 용산구,[슈펜 용산점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
서울 영등포,[슈펜 용산점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
서울 구로구,[슈펜 영등포점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
서울 영등포,[슈펜 영등포점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
경기 성남시,[슈펜 야탑점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
경기 성남시,[슈펜 야탑점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
서울 강동구,[슈펜 송파점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
서울 송파구,[슈펜 송파점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
경기 부천시,[슈펜 부천점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
경기 부천시,[슈펜 부천점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
대구 전체,[슈펜 동성로점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
대구 중구,[슈펜 동성로점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",18시간전
서울 구로구,[슈펜 구로점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",19시간전
경기 광명시,[슈펜 구로점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",19시간전
경기 안산시,[슈펜 고잔점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",19시간전
경기 안산시,[슈펜 고잔점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",19시간전
서울 은평구,[슈펜 고양 스타필드점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",19시간전
경기 고양시,[슈펜 고양 스타필드점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",19시간전
서울 동작구,[슈펜 강남역 2호점] 주5일(40시간)_풀타임 아르바이트_모집V,11:00~20:00,"월급2,014,440",01/17
서울 관악구,[슈펜 강남역 2호점] 주5일(40시간)_풀타임 아르바이트_모집V,11:00~20:00,"월급2,014,440",01/17
서울 강남구,[슈펜 강남역 1호점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",01/17
서울 동작구,[슈펜 강남역 1호점] 주5일(40시간)_풀타임 아르바이트_모집V,13:00~22:00,"월급2,014,440",01/17
