place,title,time,pay,date
서울 용산구,[한남동] 스타벅스 순천향입구점 바리스타 모집,시간협의,"시급10,000",4분전
서울 송파구,스타벅스 아시아선수촌점에서 함께 일할 파트너를 구합니다.,06:30~22:00,"시급10,000",9분전
경남 창원시,[창원시티세븐점] 스타벅스 바리스타 모집 공고,시간협의,"시급10,000",17분전
서울 전체,스타벅스 금천구청역점 바리스타 채용,시간협의,"시급10,000",20분전
경기 이천시,스타벅스 이천하이닉스 파트너 모집,시간협의,"시급10,000",20분전
서울 종로구,스타벅스 마로니에공원점,06:30~21:30,"시급10,000",20분전
경기 성남시,스타벅스 정자동점에서 바리스타를 모집합니다,시간협의,"시급10,000",22분전
서울 강남구,스타벅스 선릉로점에서 함께 할 바리스타를 모집합니다.,06:30~22:00,"시급10,000",24분전
서울 강남구,스타벅스 강남구청역점 바리스타 모집,시간협의,"시급10,000",30분전
서울 송파구,스타벅스 아시아선수촌점에서 함께 일할 파트너를 구합니다.,06:30~22:00,"시급10,000",31분전
경기 용인시,스타벅스 구성트레이더스점 바리스타 채용모집,06:00~23:00,"시급10,000",32분전
경기 성남시,스타벅스 정자동점에서 바리스타를 모집합니다,시간협의,"시급10,000",32분전
대전 전체,[스타벅스 공주동학사DT점] 함께 일 할 파트너를 모집합니다.,시간협의,"시급10,000",41분전
서울 강남구,스타벅스 학동역점 바리스타 모집,시간협의,"시급10,000",49분전
전북 군산시,[군산대] 스타벅스 군산대점 바리스타 모집,시간협의,"시급10,000",58분전
제주 제주시,[스타벅스]제주서해안로DT점 파트너 모집,시간협의,"시급10,000",1시간전
대전 서구,[스타벅스 둔산은하수] 바리스타 채용 모집,시간협의,"시급10,000",1시간전
경기 성남시,스타벅스 판교역로점에서 함께 일할 파트너를 구합니다.,시간협의,"시급10,000",1시간전
경기 용인시,용인동백DT점에서 바리스타를 모집합니다.,시간협의,"시급10,000",1시간전
경북 경주시,[스타벅스 경주황성점]바리스타 채용 공고,09:30~23:00,"시급10,000",1시간전
전북 군산시,스타벅스 군산수송 바리스타 채용,시간협의,"시급10,000",1시간전
경북 경주시,[바리스타채용] 경주용강DT점 바리스타 채용,시간협의,"시급10,000",1시간전
서울 서대문,[연대동문점] 서울시 서대문구 연대동문점 바리스타 모집,06:30~19:30,"시급10,000",1시간전
서울 종로구,스타벅스 마로니에공원점,06:30~21:30,"시급10,000",2시간전
충남 아산시,스타벅스 아산용화점에서 파트너를 모집합니다.,07:30~22:00,"시급10,000",2시간전
경기 성남시,[수내역] 바리스타 채용,06:30~22:00,"시급10,000",2시간전
세종 아름동,스타벅스 세종아름점 바리스타 모집,07:00~23:00,"시급10,000",2시간전
전남 나주시,[전남나주] 스타벅스 전남나주점 바리스타 모집,시간협의,"시급10,000",2시간전
충남 공주시,스타벅스공주신관점 함께할 파트너를 모집합니다.,07:00~23:00,"시급10,000",2시간전
서울 전체,스타벅스 서초동점 바리스타 모집,06:30~20:30,"시급10,000",2시간전
경기 용인시,[스타벅스 죽전단국대] 바리스타모집,시간협의,"시급10,000",2시간전
서울 마포구,[상수역점] 서울시 마포구 상수역점 바리스타 모집,06:30~22:00,"시급10,000",2시간전
경기 평택시,[평택험프리트룹몰점] 함께 즐겁게 일할 바리스타를 모집합니다.,시간협의,"시급10,000",2시간전
서울 강남구,[대치은마사거리] 서울시 강남구 대치은마사거리점 바리스타 모집,시간협의,"시급10,000",2시간전
경기 용인시,용인에버랜드R점 즐겁게 근무할 파트너 구합니다.,시간협의,"시급10,000",2시간전
서울 서초구,스타벅스커피 코리아 영동2교점에서 같이 근무할 바리스타를 모집합니다,시간협의,"시급10,000",2시간전
경기 용인시,스타벅스 기흥역AK R점에서 함께 일할 열정적인 바리스타를 모집합니다.,시간협의,"시급10,000",2시간전
경기 부천시,[스타벅스] 부천중동점 파트너 모집,07:00~22:30,"시급10,000",2시간전
경남 창원시,[스타벅스 삼성창원병원] 삼성창원병원 바리스타 모집,시간협의,"시급10,000",2시간전
광주 서구,스타벅스 광주금호DT점 바리스타 채용공고,06:30~23:00,"시급10,000",2시간전
서울 서초구,스타벅스커피 코리아 영동2교점에서 같이 근무할 바리스타를 모집합니다,시간협의,"시급10,000",2시간전
세종 새롬동,스타벅스 세종새롬점 신규 바리스타 모집,07:30~23:00,"시급10,000",2시간전
전북 전주시,전주서신 바리스타 상시모집,시간협의,"시급10,000",2시간전
경남 전체,[스타벅스 마산역DT점] 바리스타 채용 모집,06:30~22:30,"시급10,000",2시간전
서울 강남구,[선릉세화빌딩점] 서울시 강남구 선릉세화빌딩점 바리스타 모집,시간협의,"시급10,000",3시간전
부산 동구,[스타벅스 부산역라마다점] 바리스타 모집,06:30~22:00,"시급10,000",3시간전
경기 화성시,스타벅스 동탄디엠시티점 바리스타 모집,시간협의,"시급10,000",3시간전
경기 이천시,스타벅스 이천증포DT점 바리스타 모집,시간협의,"시급10,000",3시간전
서울 강남구,[선릉세화빌딩점] 서울시 강남구 선릉세화빌딩점 바리스타 모집,시간협의,"시급10,000",3시간전
경기 용인시,[스타벅스 수지성복DT점] 바리스타 모집,07:00~22:00,"시급10,000",3시간전
