place,title,time,pay,date
서울 강서구,[노브랜드버거 마곡점]  같이 근무 할 가족 구합니다,시간협의,"시급9,160",11분전
서울 성동구,보노보노스시 성수점 홀 직원  모집,11:00~21:30,"월급2,200,000",20분전
서울 동대문,보노보노스시 성수점 주방  홀 직원  모집,11:00~21:30,"월급2,200,000",21분전
서울 서초구,데블스도어 코엑스점 주방직원  모집 (주5일),시간협의,"시급9,200",22분전
서울 강서구,[노브랜드버거 마곡점] 같이  근무 할  가족 구합니다,시간협의,"시급9,160",22분전
서울 금천구,노브랜드버거 가산디지털단지점 파트타이머 모집,11:00~17:30,"시급9,160",29분전
서울 광진구,보노보노스시 성수점 주방  홀 직원  모집,11:00~21:30,"월급2,200,000",31분전
인천 전체,노브랜드버거 인천계양구청점 직원공고,시간협의,"시급9,160",32분전
인천 전체,노브랜드버거 인천계양구청점 직원공고,시간협의,"시급9,160",32분전
경기 김포시,NBB/노브랜드버거 김포장기점/주3일/주4일,10:00~19:00,"시급9,160",39분전
서울 성동구,보노보노스시 성수점  홀 직원  모집,11:00~21:30,"월급2,200,000",39분전
서울 전체,보노보노스시 성수점   홀 직원  모집,11:00~21:30,"월급2,200,000",42분전
서울 관악구,노브랜드버거 방배역점에서 평일오전아르바이트생을모집합니다.,09:30~14:00,"시급9,340",45분전
서울 종로구,[신세계푸드]신세계 백화점 본점 B1 베키아에누보 베이커리 제빵기사 모집,07:00~16:00,"월급1,952,060",58분전
경기 김포시,NBB/노브랜드버거 김포장기점/주3일/주4일,10:00~19:00,"시급9,160",1시간전
서울 관악구,노브랜드버거 방배역점에서 평일오전아르바이트생을모집합니다.,09:30~14:00,"시급9,340",1시간전
대전 유성구,신세계백화점대전점 베키아에누보 VIP라운지 바리스타 모집,시간협의,"월급1,914,440",1시간전
서울 강서구,[노브랜드버거 마곡점]  같이 근무 할 가족 구합니다,시간협의,"시급9,160",1시간전
경기 김포시,NBB/노브랜드버거 김포장기점/주3일/주4일,10:00~19:00,"시급9,160",2시간전
서울 강서구,[노브랜드버거 마곡점] 같이 근무 할 가족 구합니다,시간협의,"시급9,160",2시간전
서울 서초구,노브랜드버거 방배역점에서 평일오전아르바이트생을모집합니다.,09:30~14:00,"시급9,340",2시간전
서울 관악구,노브랜드버거 남부터미널점 주니어파트너 사원 모집,13:30~22:30,"시급9,340",3시간전
경기 고양시,노브랜드버거 원마운트점 주니어파트너 모집,시간협의,"시급9,340",3시간전
경기 고양시,노브랜드버거 원마운트점 주니어파트너 모집,시간협의,"시급9,340",3시간전
대전 유성구,신세계백화점대전점 베키아에누보 VIP라운지 바리스타 모집,시간협의,"월급1,914,440",3시간전
서울 강북구,[신세계푸드]신세계백화점 본점 B1 베키아에누보 제빵기사 모집,07:00~16:00,"월급1,914,440",19시간전
서울 관악구,노브랜드버거 남부터미널점 주니어파트너 사원 모집,11:00~20:00,"시급9,340",23시간전
경기 용인시,노브랜드버거 용인 상현역점 매니저 채용,시간협의,"월급2,200,000",01/16
서울 관악구,노브랜드버거 양재역점 파트타이머 구함,시간협의,"시급9,340",01/16
서울 동대문,[신세계푸드]신세계백화점 본점 B1 베키아에누보 베이커리 파트 제빵기사 모집,07:00~16:00,"월급1,914,400",01/16
서울 동작구,[노브랜드버거 노량진점] 아르바이트 모집.,시간협의,"시급9,160",01/15
대전 유성구,신세계백화점대전점 베키아에누보 VIP라운지 바리스타 모집,시간협의,"월급1,914,440",01/15
서울 관악구,[신세계푸드]신세계백화점 본점 B1 베키아에누보 제빵기사 모집,07:00~16:00,"월급1,914,440",01/15
서울 강남구,노브랜드버거 대치대원빌딩점 직원모집,시간협의,"시급9,340",01/15
서울 관악구,노브랜드버거 남부터미널점 주니어파트너 사원 모집,11:00~20:00,"시급9,340",01/14
대구 달서구,[가맹점] (주)신세계푸드 노브랜드버거 대구상인역점 아르바이트 모집,시간협의,"시급9,160",01/14
서울 강서구,[노브랜드버거 마곡점]  같이 근무 할 가족 구합니다,시간협의,"시급9,160",01/14
서울 서초구,노브랜드버거 대치대원빌딩점 직원모집,시간협의,"시급9,340",01/14
서울 금천구,노브랜드버거 가산디지털단지점 파트타이머 모집,16:00~22:30,"시급9,160",01/13
서울 송파구,노브랜드버거 대치대원빌딩점 직원모집,시간협의,"시급9,340",01/13
서울 강남구,노브랜드버거 대치대원빌딩점 직원모집,시간협의,"시급9,340",01/10
서울 전체,신세계푸드 TEST KITCHEN PIZZA 월급직 채용,09:30~18:30,"시급9,340",01/10
서울 성동구,신세계푸드 TEST KITCHEN PIZZA 월급직 채용,09:30~18:30,"시급9,340",01/10
서울 전체,(주)신세계푸드 보노보노 삼성점 세척 여사님 모집,12:00~22:00,"월급1,860,100",01/10
서울 중랑구,[(주)신세계푸드 노브랜드버거 건대입구점] 파트타이머 모집,시간협의,"시급9,160",01/08
서울 성동구,[(주)신세계푸드 노브랜드버거 건대입구점] 파트타이머 모집,시간협의,"시급9,160",01/08
서울 송파구,[(주)신세계푸드 노브랜드버거 건대입구점] 파트타이머 모집,시간협의,"시급9,160",01/08
서울 광진구,[(주)신세계푸드 노브랜드버거 건대입구점] 파트타이머 모집,시간협의,"시급9,160",01/08
서울 강남구,데블스도어 코엑스점 홀서비스 주 3일 ~ 4일 모집,시간협의,"시급12,000",01/06
경북 경주시,[가맹점] (주)신세계푸드 노브랜드버거 경주용황점 매니저 모집,시간협의,"월급2,000,000",01/04
