place,title,time,pay,date
제주 제주시,[주4일 재택 근무] 영평초 유치초등공부방 원장님 모십니다,02:00~06:00,"월급2,000,000",52분전
제주 제주시,[주4회재택]신광초 아소비 공부방 원장님 모십니다.,14:00~18:00,"월급2,000,000",54분전
제주 제주시,[주4일] 인화초 유치초등공부방 원장님 모십니다,14:00~18:00,"월급2,000,000",55분전
경남 김해시,장유 율하 중앙하이츠 아파트에서 재택 공부방 창업하실 원장님 모십니다~,13:00~19:00,"월급1,700,000",57분전
경남 김해시,김해 장유쌍용예가 아파트에서 재택 공부방 창업하실 원장님 모십니다~,15:00~19:00,"월급1,700,000",58분전
경남 김해시,김해 원메이저힐스테이트에서 재택 공부방 창업하실 원장님 모십니다~,15:00~19:00,"월급1,700,000",59분전
경기 양주시,양주 덕정주공아파트 아소비공부방 운영하실 선생님모십,시간협의,"월급2,600,000",1시간전
경기 양주시,양주 옥정신도시 센트럴푸르지오 아소비공부방 운영하실 선생님모십,시간협의,"월급2,600,000",1시간전
경기 양주시,(급) 양주(옥정) 아소비학원 강사님 채용안내,14:00~18:00,"시급10,000",1시간전
대구 달성군,"제로창업도전 유가반도유보라 공부방 창업,운영하실 원장님 모집",시간협의,"월급2,000,000",1시간전
대구 달서구,"주4일 신월성 협성휴포레에서 공부방 창업,운영하실 원장님 모집",시간협의,"월급1,800,000",1시간전
대구 달서구,"주4일 하루 5시간 성당래미안1차, 2차에서 공부방 창업하실 분 모집",시간협의,"월급2,000,000",1시간전
대구 북구,고성동/대구역오페라더블유/아소비공부방 창업,13:00~19:00,"월급2,000,000",1시간전
대구 서구,평리동/화성파크드림/아소비공부방 창업(주4일),13:00~19:00,"월급2,000,000",2시간전
경북 경주시,[경주안강우방타운]주4일 워라밸을 실현할 공부방 운영하실 원장님 모집중입니다,13:00~19:00,"월급2,000,000",2시간전
경북 포항시,[포항대잠동자이]주4일근무로 워라밸 실현가능 공부방원장님을 모집합니다.,13:00~19:00,"월급2,000,000",2시간전
경북 포항시,[포항초곡지구]주4일 워라밸 실천이 가능한 공부방운영하실 원장님 모집중입니다,13:00~19:00,"월급2,000,000",2시간전
서울 광진구,주4일근무/하루4~5시간수업하는 아소비 공부방 원장님,14:00~19:00,"월급2,500,000",3시간전
서울 동대문,주4일근무/하루4~5시간수업하는 아소비 공부방 원장님,14:00~19:00,"월급2,500,000",3시간전
서울 성동구,주4일근무/하루4~5시간수업하는 아소비 공부방 원장님,14:00~19:00,"월급2,500,000",3시간전
서울 도봉구,미아동sk북한산시티 아파트 공부방 운영하실 원장님 모십니다,14:00~18:00,"월급2,000,000",3시간전
서울 강북구,미아동 삼각산아이원 아파트 공부방 운영하실 원장님 모십니다,14:00~18:00,"월급2,000,000",3시간전
서울 성북구,종암동sk 아파트 공부방 운영하실 원장님 모십니다,14:00~18:00,"월급2,000,000",3시간전
서울 성북구,정릉동 정릉풍림아이원아파트 공부방 운영하실 원장님 모십니다.,14:00~18:00,"월급2,000,000",3시간전
서울 강북구,창동 북한산아이파크 아파트 공부방 운영하실 원장님 찾습니다,14:00~18:00,"월급2,000,000",3시간전
서울 도봉구,방학동 신동아아파트 공부방 운영하실 원장님 찾습니다,14:00~18:00,"월급2,000,000",3시간전
경기 의왕시,(의왕공부방/학원/5~9세전문)국민공부방 아소비 원장님을 모십니다,14:00~18:00,"월급2,000,000",3시간전
경기 군포시,(주4일 /3시간)산본  아소비학원  시간 강사 모십니다,14:30~17:30,"시급12,000",4시간전
경기 군포시,(군포공부방/5~9세/주4일) 아소비 공부방 운영하실 원장님을 모십니다,14:00~18:00,"월급2,000,000",4시간전
경기 과천시,(과천자이아파트/5~9세전문/주4일)국민 공부방 아소비 원장님을 모십니다,14:00~18:00,"주급2,000,000",4시간전
경기 안양시,안양메가트리아2단지  5~9세  전문 아소비 공부방 원장님을 모십니다,14:00~18:00,"주급2,000,000",4시간전
경기 안양시,(평촌래미안푸르지오/5~9세전문/주4일)국민 공부방 아소비 원장님을 모십니다,14:00~18:00,"주급2,000,000",4시간전
충남 당진시,당진(남산공원 휴먼빌 아파트)에 5~9세 공부방운영하실 원장님을 모집합니다,13:00~19:00,"월급2,000,000",4시간전
충남 당진시,당진중앙로청광플러스원아소비에(5~9세공부방)운영하실 원장님을 모집합니다,13:00~19:00,"월급2,000,000",4시간전
충남 당진시,당진한라비발디아파트에서 아소비에(5~9세공부방)운영하실 원장님을 모집합니다,13:00~19:00,"월급2,000,000",4시간전
충남 천안시,두정동에서 5~9세 전문 아소비공부방 집에서 운영하세요,13:00~19:00,"월급2,000,000",4시간전
충남 천안시,성정동 아소비공부방(5~9세 전문 아소비한글공부방)집에서 운영하세요,13:00~19:00,"월급2,000,000",4시간전
충남 천안시,쌍용동 뜨란채) 5~9세 전문 아소비공부방 집에서 운영하세요,13:00~19:00,"월급2,000,000",4시간전
서울 금천구,[주4일/재택근무/주부창업]금천구 5~9세 공부방 운영하실 원장님 모십니다.,13:00~19:00,"월급2,000,000",5시간전
서울 동작구,[주4일/재택근무/주부창업]동작구 5~9세 공부방 운영하실 원장님 모십니다.,13:00~19:00,"월급2,000,000",5시간전
서울 관악구,[주4일/재택근무/주부창업]관악구 5~9세 공부방 운영하실 원장님 모십니다.,13:00~19:00,"월급2,000,000",6시간전
경기 고양시,관산동 아소비공부방을 운영하실 원장님을 모십니다,13:00~18:00,"월급1,900,000",6시간전
경기 파주시,운정 한빛마을7단지 아소비공부방을 운영하실 원장님을 모십니다,13:00~18:00,"월급1,900,000",6시간전
서울 중랑구,[주4일/재택근무/주부창업] 묵동 5~9세 공부방 성공적으로 운영하실 분,14:00~19:00,"월급2,000,000",6시간전
서울 중랑구,[주4일/재택근무/주부창업] 신내 5~9세 공부방 성공적으로 운영하실 분,14:00~19:00,"월급2,000,000",6시간전
서울 노원구,[주4일/재택근무/주부창업] 하계 5~9세 공부방 성공적으로 운영하실 분,14:00~19:00,"월급2,000,000",6시간전
경기 남양주,[주4일/재택근무/주부창업] 청학리 5~9세 공부방 성공적으로 운영하실 분,14:00~19:00,"월급2,000,000",6시간전
경기 남양주,[주4일/재택근무/주부창업]  퇴계원 5~9세 공부방 성공적으로 운영하실 분,14:00~19:00,"월급2,000,000",6시간전
경기 남양주,[주4일/재택근무/주부창업] 별내 5~9세 공부방 성공적으로 운영하실 원장님,14:00~19:00,"월급2,000,000",6시간전
경기 고양시,덕이동 하이파크시티 아소비공부방을 운영하실 원장님을 모십니다,13:00~18:00,"월급1,900,000",6시간전
