place,title,time,pay,date
경기 하남시,[신입/주5일/부산] 에잇세컨즈 애플사상아울렛 FA채용,13:00~22:00,"시급10,992",13분전
울산 남구,[경력/주5일/울산] 에잇세컨즈 현대울산 경력 선임 FA,13:00~22:00,"연봉27,500,000",16분전
울산 남구,[경력/주5일/울산] 에잇세컨즈 울산업스퀘어 경력 선임 FA,13:00~22:00,"연봉27,500,000",19분전
부산 사상구,[경력/주5일/부산] 에잇세컨즈 홈플러스아시아드 경력 선임 FA,13:00~22:00,"연봉27,500,000",20분전
부산 사상구,[경력/주5일/부산] 에잇세컨즈 애플사상아울렛 경력 선임 FA,13:00~22:00,"연봉27,500,000",22분전
부산 부산진,[경력/주5일/부산] 에잇세컨즈 부산삼정타워 경력 선임,13:00~22:00,"연봉27,500,000",26분전
부산 중구,[경력/주5일/부산] 에잇세컨즈 부산광복 경력 선임,13:00~22:00,"연봉27,500,000",29분전
부산 부산진,[경력/주5일/부산] 에잇세컨즈 롯데부산 경력 선임,13:00~22:00,"연봉27,500,000",32분전
부산 기장군,[경력/주5일/부산] 에잇세컨즈 롯데동부산아울렛 경력 선임,13:00~22:00,"연봉27,500,000",39분전
경기 화성시,[경력/주5일/화성] 에잇세컨즈 동탄레이크꼬모 경력 선임,13:00~22:00,"연봉27,500,000",42분전
경기 하남시,[신입/주5일/판교] 에잇세컨즈 현대판교 FA채용,13:00~22:00,"시급10,992",52분전
경기 하남시,[신입/주5일/경기] 에잇세컨즈 스타필드하남 FA채용,13:00~22:00,"시급10,992",54분전
경기 하남시,[신입/주5일/경기] 에잇세컨즈 스타필드위례 FA채용,13:00~22:00,"시급10,992",1시간전
경기 용인시,[신입가능/주5일근무/경기] 에잇세컨즈 용인에버랜드 FA채용,13:00~22:00,"시급10,992",1시간전
부산 부산진,[신입가능/주5일근무/부산] 에잇세컨즈 부산삼정타워 FA채용,13:00~22:00,"시급10,992",1시간전
경기 수원시,[신입가능/주5일근무/경기] 에잇세컨즈 롯데몰수원 FA채용,13:00~22:00,"시급10,992",1시간전
경기 화성시,[신입가능/주5일근무/서울] 에잇세컨즈 동탄레이크꼬모 FA채용,13:00~22:00,"시급10,992",1시간전
경기 파주시,[신입가능/주5일근무/천안] 에잇세컨즈 신세계천안아산 FA채용,13:00~22:00,"시급10,992",1시간전
경기 부천시,[신입가능/주5일/경기] 에잇세컨즈 현대중동8S FA,13:00~22:00,"시급10,992",1시간전
경기 고양시,[신입가능/주5일/경기] 에잇세컨즈 일산원마운트8S FA,13:00~22:00,"시급10,992",1시간전
경기 파주시,[신입가능/주5일/경기] 에잇세컨즈 신세계파주8S아울렛 FA,13:00~22:00,"시급10,992",1시간전
경기 시흥시,[신입가능/주5일/시흥] 에잇세컨즈 신세계시흥8S아울렛 FA,13:00~22:00,"시급10,992",1시간전
인천 연수구,[신입가능/주5일근무/인천] 에잇세컨즈 스퀘어원 FA채용,13:00~22:00,"시급10,992",1시간전
서울 광진구,"[주5일] 에잇세컨즈 건대점 단기알바 채용 (10,992원)",12:00~21:00,"시급10,992",2시간전
서울 광진구,에잇세컨즈 건대스타시티 아르바이트 채용,13:00~22:00,"시급10,992",01/15
경기 파주시,"[시급 10,992원] 에잇세컨즈 신세계파주점 아르바이트 채용(주5일)",시간협의,"시급10,992",01/14
울산 남구,[에잇세컨즈/주5일/신입OK] 울산업스퀘어점 정규직,시간협의,"시급10,992",01/12
서울 서대문,현대신촌8S 아르바이트 채용,13:00~22:00,"시급10,992",01/10
