place,title,time,pay,date
서울 강서구,엔제리너스 롯데몰김포공항2호점/평일+주말(협의),10:30~16:00,"시급9,160",10시간전
부산 기장군,엔제리너스 롯데몰동부산1층점 정직원(매니저) 모집,13:00~22:00,"월급2,100,000",19시간전
충남 천안시,[평일/주말 마감] 아르바이트  모집합니다.,19:00~23:30,"시급9,160",23시간전
전북 익산시,엔제리너스 익산고봉로점 (마동) 알바구해요~~,11:30~14:30,"시급9,160",01/17
부산 기장군,엔제리너스 롯데몰동부산1층점 정직원(매니저) 모집,13:00~22:00,"월급2,100,000",01/16
서울 강남구,엔제리너스 수서환승통로점에서 같이 일하실 분 모집합니다,시간협의,"시급9,160",01/15
경남 창원시,진해자은점 엔제리너스에서 같이 일하실분 모집합니다.( 직원 및 아르바이트 ),시간협의,"시급9,160",01/13
서울 강서구,엔제리너스 김포공항 1층점에서 함께할 엔젤(알바)를 구합니다.,시간협의,"시급9,160",01/13
서울 강동구,엔제리너스 강동경희대병원점 아르바이트(월~금中 3~4일근무) 모집합니다.,시간협의,"시급9,160",01/11
서울 강서구,엔제리너스 김포공항 1층점에서 함께할 엔젤(알바)를 구합니다.,시간협의,"시급9,160",01/11
서울 송파구,엔제리너스 잠실롯데월드몰1F점에서 함께 일하실분 구합니다.,시간협의,"시급9,160",01/10
대구 전체,[심야모집]수성못/대형카페/프리미엄매장에서 함께 일할 아르바이트 모집합니다,시간협의,"시급9,160",01/10
서울 강남구,엔제리너스 수서환승통로점에서 같이 일하실 분 모집합니다,시간협의,"시급9,160",01/08
대구 전체,엔제리너스 칠성시장역점에서 직원 모집합니다.(주5일근무),시간협의,"월급1,920,000",01/07
대구 전체,수성못/대형카페/프리미엄매장에서 함께 일할 아르바이트 모집합니다,시간협의,"시급9,160",01/07
대구 전체,[심야모집]수성못/대형카페/프리미엄매장에서 함께 일할 아르바이트 모집합니다,시간협의,"시급9,160",01/07
경북 경주시,엔제리너스 경주D/T점에서 함께 근무하실 아르바이트를 모십니다.,시간협의,"시급9,160",01/07
대구 북구,엔제리너스칠곡구암역점 함께 할 바리스타 구해요,17:00~01:00,"시급9,160",01/06
대구 전체,엔제리너스 칠곡구암역점 직원 구함(주 5일근무),시간협의,"월급1,830,000",01/06
광주 광산구,"엔제리너스 광주흑석점 심야아르바이트 모집(시급 약 14,000원/수당포함)",시간협의,"시급9,160",01/01
