place,title,time,pay,date
서울 강남구,정규 신입(트레이니) 바리스타 모집,06:30~23:00,"시급9,800",13분전
경기 용인시,[폴바셋 신세계경기점] 정규 신입(트레이니) 바리스타 모집,09:30~21:30,"시급9,800",22분전
서울 전체,정규 신입(트레이니) 바리스타 모집,09:00~22:00,"시급9,800",33분전
서울 전체,[폴 바셋 롯데본점] 정규 신입(트레이니) 바리스타 모집(아르바이트 X),09:00~22:00,"시급9,800",36분전
서울 전체,[매일유업계열] 이탈리안 레스토랑 조리 알바 채용 고속터미널역,10:00~21:00,"시급9,160",57분전
서울 전체,[폴 바셋 롯데본점] 정규 신입(트레이니) 바리스타 모집(아르바이트 X),09:00~22:00,"시급9,800",59분전
서울 전체,[폴 바셋 페럼타워점] 정규 신입(트레이니) 바리스타 모집,06:30~23:00,"시급9,800",59분전
경기 용인시,[폴 바셋 롯데몰수지점]정규직 신입 바리스타 모집,09:30~23:00,"시급9,800",1시간전
서울 전체,[매일유업계열] 이탈리안 레스토랑 조리 정직원 채용 고속터미널역,10:00~21:00,"연봉28,000,000",1시간전
경기 여주시,[폴바셋 여주 아울렛점] 정규직 경력 바리스타 모집 (교통비20만원별도지급),08:00~22:00,"시급9,800",1시간전
경기 여주시,[폴바셋 신세계 여주 아울렛점] 신입 바리스타 모집 (교통비20만원별도지급),08:00~22:00,"시급9,800",1시간전
서울 전체,[매일유업계열] 이탈리안 레스토랑 홀정직원 채용 고속터미널역,10:30~21:30,"연봉28,000,000",1시간전
경기 여주시,[주말] 폴 바셋 신세계 여주점 주말 파트타이머 모집,12:00~19:00,"시급9,160",1시간전
서울 강남구,폴바셋 정규직 바리스타 채용,06:30~23:00,"시급9,800",1시간전
서울 서초구,폴바셋 정규직 바리스타 채용,06:30~23:00,"시급9,800",1시간전
서울 용산구,폴바셋 정규직 바리스타 채용,06:30~23:00,"시급9,800",1시간전
서울 광진구,폴바셋 정규직 바리스타 채용,06:30~23:00,"시급9,800",1시간전
서울 성동구,폴바셋 정규직 바리스타 채용,06:30~23:00,"시급9,800",1시간전
서울 전체,[폴 바셋 롯데본점] 정규 신입(트레이니) 바리스타 모집(아르바이트 X),09:00~22:00,"시급9,800",1시간전
서울 강남구,[폴바셋 일원역점] 신입 바리스타 모집(교통비20만원별도지급),06:00~23:00,"시급9,800",1시간전
서울 강남구,[폴바셋 일원역점] 신입 바리스타 모집(교통비20만원별도지급),06:00~23:00,"시급9,800",2시간전
서울 강남구,정규 신입(트레이니) 바리스타 모집,06:30~23:00,"시급9,800",2시간전
서울 중랑구,정규 신입(트레이니) 바리스타 모집,06:30~23:00,"시급9,800",2시간전
경기 성남시,[폴 바셋 AK플라자 분당점] 정규 신입(트레이니) 바리스타 모집,07:00~22:00,"시급9,800",2시간전
서울 영등포,[여의도IFC몰점] 폴바셋 정규직 신입 바리스타 모집,06:00~23:00,"시급9,800",2시간전
제주 제주시,[신규오픈매장] 폴바셋 정규직 신입 바리스타 모집,시간협의,"시급9,800",2시간전
서울 강남구,[폴바셋 일원역점] 신입 바리스타 모집(교통비20만원별도지급),06:00~23:00,"시급9,800",3시간전
경기 성남시,[폴 바셋 AK플라자 분당점] 평일 6시간 파트타이머 모집,11:00~17:30,"시급9,160",3시간전
경기 성남시,[폴 바셋 AK플라자 분당점] 정규 신입(트레이니) 바리스타 모집,07:00~22:00,"시급9,800",3시간전
서울 전체,[매일유업계열] 홀알바 이탈리안레스토랑 신세계백화점 강남점,12:30~21:30,"시급9,160",3시간전
서울 전체,[매일유업계열] 이탈리안 레스토랑 홀정직원 채용 고속터미널역,10:30~21:30,"연봉28,000,000",3시간전
경기 고양시,[폴 바셋 스타필드 고양 1호점] 정규 신입(트레이니) 바리스타 모집,08:00~23:00,"시급9,800",3시간전
서울 전체,[폴 바셋 롯데본점] 정규 신입(트레이니) 바리스타 모집(아르바이트 X),09:00~22:00,"시급9,800",3시간전
대구 동구,정규 신입(트레이니) 바리스타 모집,13:00~21:00,"시급9,800",3시간전
서울 용산구,[폴바셋 용산아이파크몰점] 정규 신입(트레이니) 바리스타 모집,09:30~22:30,"시급9,800",3시간전
서울 종로구,정규 신입(트레이니) 바리스타 모집,06:00~23:00,"시급9,800",3시간전
서울 전체,[폴 바셋파미에스테이션점] 정규 신입(트레이니) 바리스타 모집,07:00~23:00,"시급9,800",3시간전
서울 전체,[폴 바셋 압구정2호점] 정규직 경력 바리스타 모집,07:00~23:00,"시급9,800",4시간전
서울 송파구,[폴바셋/위례점]신입(트레이니) 바리스타 모집,09:00~23:00,"시급9,800",4시간전
서울 전체,[폴바셋 교보문고 강남점] 정규 신입(트레이니) 바리스타 모집,08:30~22:00,"시급9,800",4시간전
서울 송파구,[폴바셋/위례점]신입(트레이니) 바리스타 모집,09:00~23:00,"시급9,800",4시간전
서울 종로구,정규 신입(트레이니) 바리스타 모집,06:00~23:00,"시급9,800",4시간전
서울 강남구,[폴바셋 일원역점] 신입 바리스타 모집(교통비20만원별도지급),06:00~23:00,"시급9,800",4시간전
서울 전체,[폴 바셋파미에스테이션점] 정규 신입(트레이니) 바리스타 모집,07:00~23:00,"시급9,800",4시간전
서울 강남구,[폴바셋 일원역점] 신입 바리스타 모집(교통비20만원별도지급),06:00~23:00,"시급9,800",4시간전
서울 전체,[폴바셋 교대역점]정규 신입(트레이니) 바리스타 모집,07:00~23:00,"시급9,800",4시간전
경기 용인시,[폴 바셋 롯데몰수지점]정규직 신입 바리스타 모집,09:30~23:00,"시급9,800",4시간전
서울 관악구,[폴 바셋 롯데관악점]정규 신입(트레이니) 바리스타 모집,09:00~21:00,"시급9,800",4시간전
서울 중구,정규직 신입(트레이니) 바리스타 모집 (아르바이트X),09:00~22:00,"시급9,800",4시간전
서울 전체,[폴 바셋파미에스테이션점] 정규 신입(트레이니) 바리스타 모집,07:00~23:00,"시급9,800",5시간전
