place,title,time,pay,date
서울 강북구,오늘 와인한잔 ( 수제맥주 ) - 오픈직원 모집,17:00~24:00,"월급2,000,000",46분전
경기 안산시,"오늘, 와인한잔 안산고잔점에서 홀서빙/간단조리 새식구 구합니다.",시간협의,"시급9,500",6시간전
전남 나주시,"오늘, 와인한잔 나주혁신도시점에서 서빙을 모십니다.(직원, 아르바이트)",시간협의,"시급10,000",7시간전
서울 강북구,오늘 와인한잔 ( 수제맥주 ) - 오픈직원 모집,17:00~24:00,"월급2,000,000",01/16
경기 안산시,"오늘, 와인한잔 안산고잔점에서 홀서빙/간단조리 새식구 구합니다.",시간협의,"시급9,500",01/14
경기 안산시,"오늘, 와인한잔 안산고잔점에서 홀서빙/간단조리 새식구 구합니다.",시간협의,"시급9,168",01/14
경기 부천시,와인한잔 부천역점 주방및 홀 메니저 구함,시간협의,"시급10,000",01/13
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (10000)원  구해,15:00~01:00,"월급2,700,000",01/12
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (10000)원  구해,15:00~01:00,"월급2,700,000",01/12
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (10000)원  구해,15:00~01:00,"월급2,700,000",01/12
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (10000)원  구해,15:00~01:00,"월급2,700,000",01/12
인천 부평구,주말 오후 알바 모집,17:00~21:00,"시급9,160",01/11
경기 광주시,오늘와인한잔 광주터미널점 정직원 모집,15:00~02:00,"월급2,000,000",01/08
서울 강남구,주방/홀 직원 ( 270   )    파트타임 시급 (10000)원  구해,15:00~01:00,"월급2,700,000",01/08
