place,title,time,pay,date
경기 안산시,사동 그랑시티자이아파트  공부방모집중ㅡ개설비.가맹비없음,13:00~21:00,"월급1,800,000",1분전
울산 북구,내집에서 창업 가능한 웅진 스마트올 공부방 교사모집 합니다(초기비용없음),시간협의,"월급1,900,000",1분전
광주 광산구,"웅진씽크빅 수완지구 선창초, 수문초 인근 공부방 오픈 지원",13:00~18:30,"월급1,500,000",1분전
울산 북구,중산동 미라주.송정. 호계웅진 스마트올 공부방 교사모집 합니다(초기비용없음),시간협의,"월급1,900,000",1분전
광주 광산구,웅진씽크빅 수완동 신가동  방문3일~5일 수업가능 (급여100민원~),13:00~18:30,"월급1,500,000",1분전
광주 광산구,웅진씽크빅 장덕초 인근 스마트올 클래스 공부방 모집(150만원 창업지원),15:00~20:00,"월급1,800,000",2분전
부산 부산진,무자본으로 공부방 개설할 교사 모집합니다,14:00~20:00,"월급1,500,000",3분전
부산 부산진,평일 2~3일 3시 이후 방문 수업할 집중타임 교사모집합니다,14:00~20:00,"월급1,500,000",3분전
부산 부산진,대단지아파트 관리할 유아전담교사 모집합니다,14:00~20:00,"월급1,500,000",4분전
부산 강서구,초기비용 없음) 스마트올클래스(공부방) 오픈 지원합니다,시간협의,"월급1,800,000",7분전
부산 수영구,수영초인근 공부방개설하실분 가맹비0 창업비용0,14:00~18:00,"월급2,000,000",7분전
대구 북구,대구시 북구 도남동 입주로 성실한한 방문교사 모십니다(수업100%지원),13:00~19:00,"월급1,800,000",7분전
부산 강서구,"방문 선생님  모십니다(3일~5일, 회원관리,초보가능)",시간협의,"월급1,822,480",7분전
부산 사하구,"유아 전문 선생님  1분 모십니다(수업조절가능,초보환영)",시간협의,"월급1,822,480",7분전
서울 금천구,"가산두산  웅진공부방 창업1명 모집(가맹비X, 창업비X, 교육비X)",시간협의,"월급1,800,000",8분전
서울 금천구,"한신 아파트웅진공부방 창업1명 모집(가맹비X, 창업비X, 교육비X)",13:00~18:00,"월급1,800,000",8분전
서울 구로구,불황에도 끄덕없는 영어재택화상선생님를  모집합니다,시간협의,"월급1,800,000",9분전
전북 전체,"센터 수학 교사, 영어 전담 방문 학습교사 모집/ 경력 교사 우대",14:00~20:00,"월급2,000,000",13분전
전북 전체,"센터 수학 교사, 영어 전담 방문 학습교사 모집/ 경력 교사 우대",14:00~20:00,"월급2,000,000",13분전
경기 평택시,팽성지역 3일교사 구합니다.시급높고 본인 시간 충분히 활용가능,시간협의,"월급2,000,000",13분전
경기 용인시,코로나시대 아이들의 학력격차 해소를 위해   애써주실 방문선생님을 모집합니다,시간협의,"월급2,000,000",13분전
경기 용인시,업계 최고의 지원 혜택으로 공부방사업 하실분 모집합니다,시간협의,"월급2,000,000",14분전
경기 용인시,최고의 유아 교육 프로그램으로 유아교육 해주실 유아 전담선생님을 찾습니다.,시간협의,"월급2,000,000",14분전
전북 전체,"센터 수학 교사, 영어 전담 방문 학습교사 모집/ 경력 교사 우대",14:00~20:00,"월급2,000,000",14분전
경기 평택시,웅진씽크빅 비전센터에서 초등 수학 수업하실 선생님 모십니다.,13:00~20:00,"월급2,000,000",14분전
경기 평택시,웅진씽크빅 고덕면 하늘채  공부방교사 모집합니다.,13:00~20:00,"월급2,000,000",14분전
충북 충주시,"공부방 하실 교사모집 집기지원,가맹비無 정착금지원 타공부방경력우",13:00~18:30,"월급2,000,000",15분전
서울 노원구,상계동 수락리버시티 공부방교사 모집,시간협의,"월급2,000,000",16분전
부산 수영구,재택영어교사모집 주3일이상가능하신분,시간협의,"월급1,500,000",16분전
충북 충주시,"서충주 아파트내 공부방개설교사 집기지원,가맹비無 정착금 타공부방경력우대",13:00~18:30,"월급2,000,000",16분전
서울 노원구,상계동 수락리버 공부방 교사 모집,시간협의,"월급2,000,000",16분전
부산 수영구,공부방개설하실분 가맹비0 창업비용0 집기지원가능,14:00~18:00,"월급2,000,000",16분전
충북 충주시,가맹비0원 공부방운영 하실 교사모집  집기지원정착금지원 타공부방경력우대,13:00~18:30,"월급2,000,000",17분전
서울 노원구,"창업비,가맹비 없음.상계 수락리버 공부방 개설",시간협의,"월급2,000,000",17분전
서울 은평구,(재택)불광동 힐스3차주변 공부방창업 웅진씽크빅이 지원해드립니다.(비용제로),13:00~18:00,"월급2,000,000",17분전
서울 은평구,(재택) 구산동 구현초주변 공부방창업 웅진씽크빅이 지원해드립니다.(비용제로),13:00~18:00,"월급2,000,000",18분전
서울 은평구,연신내역 갈현학원 영어교사 모집합니다.,14:00~19:30,"월급2,300,000",19분전
인천 부평구,유아 전담교사를 모집합니다 (전공자우대),시간협의,"월급2,000,000",19분전
경남 양산시,인수가능-방문교사/공부방교사모집,시간협의,"월급2,000,000",19분전
인천 부평구,웅진쌍크빅 부평구에서 일하실 방문교사를 모집합니다,시간협의,"월급2,000,000",19분전
인천 전체,송현동솔빛마을 유아전담교사 수수료50%우대 모집합니다,시간협의,"월급1,830,000",20분전
제주 제주시,"스마트올클래스 (공부방)교사모집 / 창업비,가맹비없음 / 집기지원",14:00~20:00,"월급2,000,000",20분전
인천 부평구,공부방 창업하실 선생님을 모집합니다 (타사전환 혜택 지급),시간협의,"월급2,000,000",20분전
제주 제주시,"센터교사모집 ( 일반과목선생님, 영어선생님 ) / 초기 회원 지원",14:00~20:00,"월급2,000,000",20분전
제주 제주시,방문지도교사모집 / 초기회원지원 / 요일협의가능,시간협의,"월급1,700,000",20분전
인천 전체,용현동SK 공부방교사 모집합니다 집기지원가능,시간협의,"월급1,830,000",20분전
제주 제주시,유아초등 방문 지도교사 모집 / 초기회원지원가능,14:00~20:00,"월급2,000,000",21분전
제주 제주시,학습센터 영어전문교사 모집 / 초기 회원지원,시간협의,"월급2,000,000",21분전
경남 양산시,인수가능-방문교사/공부방교사모집,시간협의,"월급2,000,000",21분전
제주 제주시,공부방 창업 선생님 모집 / 창업비용없음 / 초기집기지원,시간협의,"월급2,000,000",21분전
