place,title,time,pay,date
부산 부산진,유가네닭갈비 서면직영점에서 새로운가족을 구합니다.(오후 파트),18:00~24:00,"시급9,160",5분전
부산 부산진,유가네닭갈비 서면직영점에서 새로운가족을 구합니다.(오후 파트),18:00~24:00,"시급9,160",5분전
부산 부산진,유가네닭갈비 서면직영점에서 새로운가족을 구합니다.(오후 파트),18:00~24:00,"시급9,160",6분전
부산 부산진,유가네닭갈비 서면직영점에서 새로운가족을 구합니다.(오후 파트),18:00~24:00,"시급9,160",7분전
부산 부산진,유가네닭갈비 서면직영점에서 새로운가족을 구합니다.(오후 파트),18:00~24:00,"시급9,160",8분전
부산 남구,새단장한 유가네닭갈비 대연점에서 새로운가족을 구합니다 (아르바이트),10:00~16:00,"시급9,160",1시간전
부산 남구,새단장한 유가네닭갈비 대연점에서 새로운가족을 구합니다 (아르바이트),10:00~16:00,"시급9,160",1시간전
부산 동래구,"유가네닭갈비 사직구장점 정직원,알바모집",시간협의,"시급9,160",2시간전
울산 울주군,유가네 닭갈비 언양점  정직원 및 알바모집,시간협의,"시급9,160",3시간전
울산 울주군,유가네 닭갈비 언양점  정직원 및 알바모집,시간협의,"시급9,160",3시간전
서울 종로구,유가네 닭갈비 종로점 오후알바 구해요 ~~,시간협의,"시급9,160",5시간전
경기 고양시,주5일 홀써빙 정직원 구함,12:30~22:30,"월급2,400,000",01/16
부산 강서구,평일 월 수 목 금 아르바이트 모집 합니다.,시간협의,"시급9,500",01/16
부산 동래구,유가네닭갈비 사직구장점 알바모집,시간협의,"시급9,160",01/15
경기 고양시,홀서빙,17:00~22:00,"시급9,200",01/14
경기 고양시,주방보조,11:00~22:00,"월급2,600,000",01/14
경기 김포시,유가네 김포구래점 오후알바 구합니다,18:00~21:00,"시급9,160",01/10
인천 서구,유가네닭갈비루원시티점 주5일(화~토요일)근무 주방보조,10:00~22:00,"월급2,200,000",01/09
부산 남구,"유가네닭갈비 용호점 오전,오후 아르바이트 모집[평일, 주말]",10:30~22:30,"시급9,160",01/09
울산 울주군,유가네닭갈비 울산언양점에서 평일에 함께 일하실 분 구합니다,시간협의,"시급9,160",01/07
울산 울주군,유가네 닭갈비 언양점  정직원 및 알바모집,시간협의,"시급9,160",01/07
부산 동래구,유가네닭갈비 사직구장점 알바모집,시간협의,"시급9,160",01/07
경기 시흥시,조리 및 홀서빙 직원 모집 [주 5일],11:00~22:00,"월급2,450,000",01/07
부산 남구,유가네닭갈비 용호점 정직원 모집,10:30~22:30,"월급2,650,000",01/07
부산 동래구,유가네닭갈비 사직구장점 알바모집,시간협의,"시급9,160",01/04
부산 남구,"유가네닭갈비 용호점 오전,오후 아르바이트 모집[평일, 주말]",10:30~22:30,"시급9,160",01/04
경기 안산시,주4일근무,10:30~02:30,"시급9,160",01/02
서울 송파구,"유가네닭갈비 신천점 함께일할 성실한 (알바) 모집합니다.(홀, 주방)",시간협의,"시급9,200",01/02
서울 송파구,"유가네닭갈비 신천점 함께일할 성실한 (알바) 모집합니다.(홀, 주방)",시간협의,"시급9,200",01/02
서울 송파구,"유가네닭갈비 신천점 함께일할 성실한 (알바) 모집합니다.(홀, 주방)",시간협의,"시급9,200",01/02
서울 송파구,"유가네닭갈비 신천점 함께일할 성실한 (알바) 모집합니다.(홀, 주방)",시간협의,"시급9,200",01/02
서울 송파구,"유가네닭갈비 신천점 함께일할 성실한 (알바) 모집합니다.(홀, 주방)",시간협의,"시급9,200",01/02
