place,title,time,pay,date
경기 수원시,[유니클로] 롯데몰수원점 스태프 모집합니다.,시간협의,"연봉26,330,000",4분전
경기 이천시,유니클로 이천점 매장 파트타이머(주 14시간) 모집합니다.,시간협의,"시급9,300",8분전
경기 이천시,유니클로 이천점 매장 파트타이머(주 28시간) 모집합니다.,시간협의,"시급11,160",9분전
경기 이천시,유니클로 이천점 매장 STAFF 모집합니다.,시간협의,"연봉26,330,000",10분전
경기 수원시,[유니클로] 롯데몰수원점 스태프 모집합니다.,시간협의,"연봉26,330,000",11분전
경기 시흥시,[유니클로] 이마트 시화점 파트타이머(주4일) 모집합니다.,시간협의,"시급11,160",25분전
인천 미추홀,[유니클로] 롯데백화점 인천터미널점 파트타이머(주28시간) 모집합니다.,시간협의,"시급11,160",30분전
경기 성남시,[유니클로 롯데백화점 분당점] 매장 파트타이머(주 14시간) 모집합니다.,시간협의,"시급11,160",55분전
제주 제주시,[유니클로] 롯데마트 제주점 스태프 모집합니다.,시간협의,"연봉26,330,000",56분전
경기 성남시,[유니클로 롯데백화점 분당점] 매장 파트타이머(주 28시간) 모집합니다.,시간협의,"시급11,160",56분전
전북 군산시,[유니클로] 롯데몰군산점 스태프 모집합니다.,시간협의,"연봉26,330,000",57분전
전남 광양시,매장 파트타이머(주 28시간) 모집합니다.,시간협의,"시급11,160",3시간전
전남 광양시,매장 스태프(풀타이머) 모집합니다.,시간협의,"연봉26,330,000",3시간전
전북 전주시,[유니클로] 전주효자점 파트타이머 주 4일 모집합니다,시간협의,"시급11,160",3시간전
서울 서대문,[유니클로] 신촌U-PLEX 점 매장 파트타이머(주4일) 모집합니다.,시간협의,"시급11,160",3시간전
제주 제주시,[유니클로] 롯데마트 제주점 스태프 모집합니다.,시간협의,"연봉26,330,000",4시간전
경기 김포시,[유니클로] 김포장기점 파트타이머(주2일)모집합니다.,시간협의,"시급9,300",5시간전
경기 광주시,[유니클로] 경기광주점 파트타이머(주4일) 모집합니다.,시간협의,"시급11,160",5시간전
경기 김포시,[유니클로] 김포장기점 파트타이머(주4일)모집합니다.,시간협의,"시급11,160",5시간전
경기 김포시,[유니클로] 김포장기점 매장 스태프 모집합니다.,시간협의,"연봉26,330,000",5시간전
경기 성남시,[유니클로]이마트 성남점 파트타이머 (주 4일) 모집 합니다.,시간협의,"시급11,160",5시간전
경기 하남시,유니클로 스타필드 하남점 풀타이머 모집,시간협의,"연봉26,330,000",5시간전
경기 하남시,유니클로 스타필드 하남점 풀타이머 모집,시간협의,"연봉26,330,000",5시간전
인천 전체,[유니클로] 부평역사점 파트타이머(주 4일) 모집합니다.,시간협의,"시급11,160",6시간전
인천 전체,[유니클로] 부평역사점 스태프 모집합니다.,시간협의,"연봉26,330,000",6시간전
경기 광주시,[유니클로] 경기광주점 스태프 모집합니다.,시간협의,"연봉26,330,000",6시간전
경기 광주시,[유니클로] 경기광주점 파트타이머(주4일) 모집합니다.,시간협의,"시급11,160",6시간전
서울 서초구,[유니클로]매장 스태프(풀타이머) 모집합니다.,시간협의,"연봉26,330,000",6시간전
서울 송파구,[유니클로] 롯데월드몰점 스태프 모집합니다.,시간협의,"연봉26,300,000",7시간전
전남 여수시,[유니클로] 여수 둔덕점 매장 스태프 모집합니다.,시간협의,"연봉26,330,000",7시간전
경북 전체,유니클로 포항해도점 매장 파트타이머(주 28시간) 모집합니다.,시간협의,"시급11,160",7시간전
경기 수원시,[유니클로] 롯데몰수원점 스태프 모집합니다.,시간협의,"연봉26,330,000",7시간전
경기 하남시,유니클로 스타필드 하남점 풀타이머 모집,시간협의,"연봉26,330,000",7시간전
서울 전체,[유니클로] 광화문 D타워점 매장 스태프(풀타이머) 모집합니다.,시간협의,"연봉26,330,000",7시간전
서울 전체,[유니클로] 광화문 D타워점 파트타이머(주 28시간) 모집합니다.,시간협의,"시급11,160",7시간전
서울 은평구,유니클로 롯데몰 은평점 파트타이머(주 28시간) 모집합니다.,시간협의,"시급11,160",8시간전
경기 평택시,[UNIQLO] 스타필드 안성점 PT28 모집합니다.,시간협의,"시급11,160",8시간전
경기 용인시,[유니클로] 용인구성점 스태프 모집합니다.,시간협의,"연봉26,330,000",8시간전
경기 평택시,[UNIQLO] 스타필드 안성점 매장 스태프(풀타이머) 모집합니다.,시간협의,"연봉26,330,000",8시간전
경기 용인시,STAFF  [유니클로] 롯데몰 수지점 스태프 모집합니다.,시간협의,"연봉26,330,000",14시간전
서울 강남구,[유니클로] 코엑스점 스태프(풀타이머) 모집합니다.,시간협의,"연봉26,330,000",15시간전
강원 춘천시,유니클로 M백화점 춘천점 매장 파트타이머(주4일/28시간)모집합니다.,시간협의,"시급11,160",16시간전
경기 안산시,[유니클로] 롯데백화점 안산점 스태프 모집합니다.,시간협의,"연봉26,330,000",16시간전
경기 성남시,[유니클로] 이마트 성남점 스태프 모집합니다.,시간협의,"연봉26,330,000",17시간전
인천 연수구, [유니클로] 현대백화점 송도점 스태프 모집합니다.,시간협의,"연봉26,330,000",18시간전
경남 진주시,[유니클로] 진주중안점 스태프 모집합니다.,시간협의,"연봉26,330,000",18시간전
경남 창원시,매장 파트타이머(주 28시간) 모집합니다. (단기 1월 말까지 근무),시간협의,"시급11,160",01/16
대구 중구, [유니클로] 롯데백화점 대구점 파트타이머(주2일) 모집합니다.,시간협의,"시급9,300",01/16
경기 성남시,현대백화점 판교점 매장 스태프(풀타이머) 모집합니다.,시간협의,"연봉26,330,000",01/16
부산 수영구,유니클로 메가마트 남천점에서 함께 일할 28PT모집합니다.,10:00~22:00,"시급11,160",01/15
