place,title,time,pay,date
대전 서구,남자 주방직원 주방장 조리사 주방보조   이비가짬뽕 월평점,09:30~20:30,"월급2,600,000",7분전
광주 광산구,이비가짬뽕 광주평동점에서 홀서빙 구합니다,10:00~15:00,"시급9,500",3시간전
경기 하남시,"올림픽공원점 평일, 주말 홀 파트타이머를 찾습니다.",10:00~14:00,"시급12,000",6시간전
인천 서구,이비가짬뽕 인천본점 주방 경력직 정사원(매니저 사원) 구인공고,10:00~21:30,"월급2,700,000",7시간전
인천 서구,이비가짬뽕 인천본점 주방 경력직 정사원(매니저 사원) 구인공고,10:00~21:30,"월급2,700,000",7시간전
광주 광산구,이비가짬뽕 광주평동점에서 홀서빙 구합니다,10:00~15:00,"시급9,500",7시간전
광주 광산구,이비가짬뽕 광주평동점에서 홀서빙 구합니다,10:00~15:00,"시급9,500",7시간전
인천 남동구,오픈멤버 주방정직원.홀정직원 외 알바모집,10:00~21:00,"월급2,600,000",7시간전
인천 남동구,오픈멤버 주방정직원.홀정직원 외 알바모집,10:00~21:00,"월급2,600,000",7시간전
대전 서구,남자 주방직원 주방장 조리사 주방보조   이비가짬뽕 월평점,09:30~20:30,"월급2,600,000",7시간전
대전 서구,남자 주방직원 주방장 조리사 주방보조   이비가짬뽕 월평점,09:30~20:30,"월급2,600,000",7시간전
서울 송파구,이비가짬뽕 올림픽공원점에서 주방 파트타이머를 찾습니다.,09:30~18:00,"시급12,000",7시간전
서울 송파구,"올림픽공원점 평일, 주말 홀 파트타이머를 찾습니다.",10:00~14:00,"시급12,000",7시간전
경기 하남시,이비가짬뽕 하남미사점(본점) 주방 정직원 구인 공고.,10:00~20:30,"월급2,450,000",7시간전
경기 하남시,이비가짬뽕 하남미사점(본점) 주방 정직원 구인 공고.,10:00~20:30,"월급2,450,000",7시간전
경기 하남시,이비가짬뽕 올림픽공원점에서 주방 파트타이머를 찾습니다.,09:30~18:00,"시급12,000",8시간전
인천 서구,이비가짬뽕 인천본점 주방 경력직 정사원(매니저 사원) 구인공고,10:00~21:30,"월급2,700,000",13시간전
경기 하남시,이비가짬뽕 하남미사점(본점) 주방 정직원 구인 공고.,10:00~20:30,"월급2,450,000",16시간전
인천 전체,오픈멤버 주방정직원.홀정직원 외 알바모집,10:00~21:00,"월급2,600,000",17시간전
서울 강남구,이비가짬봉 대치본점 주방 정직원 채용,09:30~21:30,"월급2,600,000",22시간전
충남 서산시,이비가짜뽕 서산점 주방직원 구합니다,09:00~21:00,"월급2,700,000",01/16
충남 보령시,이비가짬뽕 보령점에서 평일/ 주말 여홀써빙/여주방보조 직원/알바 모집,시간협의,"시급9,200",01/16
대전 전체,이비가 짬뽕 유성 본점 주방및 홀 정사원 263만원 보건증 필,09:30~21:30,"월급2,630,000",01/16
서울 전체,"이비가짬뽕 구의점 주방 정사원, 파트 모집합니다",09:30~21:00,"월급2,630,000",01/15
