place,title,time,pay,date
제주 서귀포,더페이스샵 대정하나로마트점 평일 오후 알바구함,16:30~21:30,"시급9,160",14분전
대구 북구,NC아울렛 더페이스샵 평일 알바 구해요.,시간협의,"시급9,160",2시간전
광주 북구,네이처컬렉션일곡점 직원모집,10:00~19:00,"시급9,160",3시간전
세종 가람동,주말 아르바이트  모집 합니다.,시간협의,"시급9,160",5시간전
경기 용인시,성실하고 책임감 있는분 함께해요~,18:30~22:30,"시급9,160",14시간전
광주 서구,네이처컬렉션유스퀘어점 직원구합니다,17:00~21:00,"시급9,160",01/15
경기 용인시,성실하고 책임감 있는분 함께해요~,18:30~22:30,"시급9,160",01/14
경기 고양시,주3회 근면성실한 오후알바 구합니다,18:30~23:00,"시급9,160",01/11
광주 서구,네이처컬렉션(더페이스샵) 금호점 직원구합니다,15:30~21:30,"시급9,160",01/11
경기 성남시,더페이스샵 세이브존 성남점알바모집합니다,09:30~14:30,"시급9,160",01/03
광주 서구,네이처컬렉션(더페이스샵) 금호점 직원구합니다,15:30~21:30,"시급9,160",01/01
