place,title,time,pay,date
경기 고양시,[ZARA HOME 자라홈] 고양 스타필드 파트타이머 채용공고,시간협의,"시급11,370",3시간전
부산 전체,[ZARA 자라] 부산 광복점 파트타이머 채용,시간협의,"시급11,370",17시간전
서울 전체,[ZARA HOME 자라홈] 여의도 IFC몰 주말 파트타이머 채용공고,시간협의,"시급11,370",17시간전
경남 전체,[ZARA 자라] 창원 롯데백화점 파트타이머 채용 공고,시간협의,"시급11,370",18시간전
경기 하남시,[ZARA HOME 자라홈] 하남스타필드점 파트타이머 채용공고,시간협의,"시급11,370",01/16
울산 남구,[ZARA 자라] 울산 롯데백화점 파트타이머 채용,시간협의,"시급11,370",01/14
서울 전체,[OYSHO 오이쇼] 여의도 IFC몰 파트타이머 채용,시간협의,"시급11,370",01/08
경기 전체,[ZARA 자라] 고양 스타필드 주20시간 파트타이머 채용공고,시간협의,"시급11,370",01/08
서울 전체,[ZARA 자라] 영등포 타임스퀘어점 주말 파트타이머 채용공고,시간협의,"시급11,370",01/08
서울 전체,[ZARA 자라] 명동 엠플라자 파트타이머 채용공고,시간협의,"시급11,370",01/08
충북 전체,[ZARA 자라] 청주 지웰시티 주20시간 Part Timer 채용,시간협의,"시급11,370",01/02
