place,title,time,pay,date
경기 전체,일산/파주지역 3일 출근 학습지교사 모집합니다.,14:00~20:00,"월급2,000,000",43분전
경기 화성시,"(급구) 정착지원금 지급, 교사입문 화상교육(줌), 한자/한국사/중국어 등",시간협의,"월급1,800,000",2시간전
경기 화성시,"(급구) 정착지원금 지급, 교사입문 화상교육(줌), 한자/한국사/중국어 등",시간협의,"월급1,800,000",2시간전
부산 강서구,"[부산 강서 명지,신호동]장원교육 장원선생님을 모십니다.",14:00~21:00,"월급1,500,000",2시간전
부산 부산진,장원 한자.중국어 선생님 모십니다.,10:00~21:30,"월급2,200,000",2시간전
대구 동구,연경지구/봉무동 관리하실 장원선생님을 모집합니다.,15:00~21:30,"월급1,900,000",2시간전
대구 동구,"동구혁신도시, 율하동 관리선생님을 모집합니다.",15:00~21:30,"월급1,900,000",2시간전
대구 전체,장원 대구중구.서구지역 방문교사 모집(공부방교사),14:00~21:00,"월급2,000,000",2시간전
대구 달서구,공부하시면서일하실교사분모십니다,시간협의,"월급2,000,000",2시간전
대구 전체,대구 시지지역 배우면서 일하실  장원선생님을 모십니다.,13:00~21:00,"월급1,800,000",2시간전
경북 김천시,열정있는 장원교육 교사가 되어보실래요?초보환영(김천),09:30~18:30,"월급2,000,000",2시간전
충남 아산시,장원교육과 함께 꿈을 키워가실 선생님을 기다립니다. (천안시  ),10:00~20:00,"월급2,000,000",2시간전
경기 평택시,아이들과 같이 꿈을 키울 장원 선생님을 모집 합니다,10:00~18:00,"월급1,800,000",2시간전
경기 용인시,교육의 명가 장원교육 용인기흥 지점 장원선생님 모집,09:30~18:30,"월급2,000,000",2시간전
경기 군포시,군포 산본 장원선생님 모집,10:00~21:00,"월급2,000,000",2시간전
경기 군포시,군포 과천 안양 의왕 장원선생님 모집,14:00~21:00,"월급2,000,000",2시간전
서울 금천구,장원교육 금천지점에서 교육컨설턴트를 모집합니다.(가산동),10:00~20:00,"월급2,000,000",2시간전
서울 금천구,아이들을 가르치는 뿌듯함을 함께 느끼고자 합니다.(시흥동),10:00~20:00,"월급2,000,000",2시간전
