place,title,time,pay,date
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다.,시간협의,"시급9,160",20분전
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다.,시간협의,"시급9,160",29분전
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다.,시간협의,"시급9,160",35분전
경남 진주시,"정직유부진주혁신도시점에서 금토일 오전,오후 홀서빙파트타임2분 구인합니다",시간협의,"시급9,200",35분전
경남 진주시,"정직유부진주혁신도시점에서 금토일 오전,오후 홀서빙파트타임2분 구인합니다",시간협의,"시급9,200",42분전
부산 동래구,정직유부 명륜점 정직원구함,시간협의,"월급2,500,000",3시간전
경기 평택시,유부초밥전문점 직원 모집,11:00~20:00,"월급2,300,000",3시간전
경남 창원시,유부초밥전문점 직원 파트타임 모집,10:30~20:30,"월급2,500,000",4시간전
경남 진주시,"정직유부진주혁신도시점에서 금토일 오전,오후 홀서빙파트타임2분 구인합니다",시간협의,"시급9,200",7시간전
경남 진주시,"정직유부진주혁신도시점에서 금토일 오전,오후 홀서빙파트타임2분 구인합니다",시간협의,"시급9,200",8시간전
경남 창원시,정직유부 내서점에서 함께 일할 파트타이머를 모집합니다.,시간협의,"시급9,160",14시간전
경남 진주시,"정직유부진주혁신도시점에서 금토일 오전,오후 홀서빙파트타임2분 구인합니다",시간협의,"시급9,200",22시간전
부산 동래구,정직유부 안락점 파트타이머 모집,14:00~21:00,"시급9,160",01/14
경남 창원시,"유부초밥전문점 직원, 파트타임 모집",10:00~20:00,"월급2,300,000",01/14
경기 광명시,정직유부 광명역점 직원 모집,시간협의,"월급2,760,000",01/13
경남 창원시,"유부초밥전문점 직원, 파트타임 모집",10:00~20:00,"월급2,300,000",01/13
부산 전체,[정직유부 초량점] 평일 점심 파트타이머 구합니다.,10:30~13:30,"시급9,160",01/07
부산 사상구,토일월근무,09:30~20:30,"월급1,300,000",01/05
