place,title,time,pay,date
경기 김포시,풍무동/프리미엄 양갈비 전문점 주방 아르바이트 구합니다,16:00~22:00,"시급11,000",01/16
경기 김포시,풍무동/프리미엄 양갈비 전문점 홀 아르바이트 구합니다,16:00~22:00,"시급11,000",01/16
경기 김포시,풍무동/프리미엄 양갈비 전문점 주방 아르바이트 구합니다,16:00~22:00,"시급11,000",01/16
경기 김포시,풍무동/프리미엄 양갈비 전문점 홀 아르바이트 구합니다,16:00~22:00,"시급11,000",01/16
인천 미추홀,(급구)진1926도화점에서 주말 아르바이트생을 모십니다,00:00~24:00,"시급10,000",01/15
인천 미추홀,(급구)진1926도화점에서 주말 아르바이트생을 모십니다,00:00~24:00,"시급10,000",01/15
인천 미추홀,(급구)진1926도화점에서 주말 아르바이트생을 모십니다,00:00~24:00,"시급10,000",01/15
인천 미추홀,(급구)진1926도화점에서 주말 아르바이트생을 모십니다,00:00~24:00,"시급10,000",01/15
인천 미추홀,(급구)진1926도화점에서 주말 아르바이트생을 모십니다,00:00~24:00,"시급10,000",01/15
서울 용산구,진1926 한남점 아르바이트 공고,17:00~24:00,"시급11,006",01/15
서울 용산구,진1926 한남점 아르바이트 공고,17:00~24:00,"시급11,006",01/15
서울 용산구,진1926 한남점 아르바이트 공고,17:00~24:00,"시급11,006",01/15
서울 용산구,진1926 한남점 아르바이트 공고,17:00~24:00,"시급11,006",01/15
서울 영등포,진1926여의도점 오후알바생  구합니다,18:00~22:00,"시급10,000",01/15
서울 영등포,진1926여의도점 오후알바생  구합니다,18:00~22:00,"시급10,000",01/15
서울 영등포,진1926여의도점 오후알바생  구합니다,18:00~22:00,"시급10,000",01/15
서울 영등포,진1926여의도점 오후알바생  구합니다,18:00~22:00,"시급10,000",01/15
경기 시흥시,진1926시화양고기 전문점 서빙알바급구합니다,시간협의,"시급9,160",01/15
경기 시흥시,진1926시화양고기 전문점 서빙알바급구합니다,시간협의,"시급9,160",01/15
경기 시흥시,진1926시화양고기 전문점 서빙알바급구합니다,시간협의,"시급9,160",01/15
경기 시흥시,진1926시화양고기 전문점 서빙알바급구합니다,시간협의,"시급9,160",01/15
서울 은평구,진1926구파발점  서빙  알바및 직원 &스텝모집,17:30~21:00,"시급10,500",01/15
서울 은평구,진1926구파발점  서빙  알바및 직원 &스텝모집,17:30~21:00,"시급10,500",01/15
경기 수원시,주말 아르바이트 구합니다.,18:00~21:00,"시급9,200",01/15
경기 수원시,주말 아르바이트 구합니다.,18:00~21:00,"시급9,200",01/15
경기 수원시,주말 아르바이트 구합니다.,18:00~21:00,"시급9,200",01/14
서울 은평구,진1926구파발점  서빙  알바및 직원 &스텝모집,17:30~21:00,"시급10,500",01/11
서울 은평구,진1926구파발점  서빙  알바및 직원 &스텝모집,17:30~21:00,"시급10,500",01/10
서울 은평구,진1926구파발점  서빙  알바및 직원 &스텝모집,17:30~21:00,"시급10,500",01/10
충북 청주시,"【 시급10,000원】평일반,주말반/홀서빙알바 모집",18:00~24:00,"시급10,000",01/09
충북 청주시,"【 시급10,000원】평일반,주말반/홀서빙알바 모집",18:00~24:00,"시급10,000",01/09
충북 청주시,"【 시급10,000원】평일반,주말반/홀서빙알바 모집",18:00~24:00,"시급10,000",01/09
충북 청주시,"【 시급10,000원】평일반,주말반/홀서빙알바 모집",18:00~24:00,"시급10,000",01/09
경기 시흥시,진1926시화양고기 전문점 서빙알바급구합니다,시간협의,"시급9,160",01/09
대전 유성구,전화X 마감스텝(2월부터 근무가능),18:00~23:00,"시급9,300",01/09
대전 유성구,전화X 마감스텝(2월부터 근무가능),18:00~23:00,"시급9,300",01/06
경기 수원시,주말 아르바이트 구합니다.,18:00~21:00,"시급9,200",01/05
