place,title,time,pay,date
전북 전주시,짬뽕지존 도청점(일원푸드)  야간 홀직원을 모집하고 있습니다,시간협의,"월급2,700,000",15분전
전북 전주시,짬뽕지존 도청점(일원푸드)  야간 홀직원을 모집하고 있습니다,시간협의,"월급2,700,000",15분전
전북 전주시,짬뽕지존 도청점(일원푸드)  야간 홀직원을 모집하고 있습니다,시간협의,"월급2,700,000",16분전
전북 전주시,짬뽕지존 도청점(일원푸드)  야간 홀직원을 모집하고 있습니다,시간협의,"월급2,700,000",16분전
전북 전주시,짬뽕지존 도청점(일원푸드)  야간 홀직원을 모집하고 있습니다,시간협의,"월급2,700,000",17분전
전북 전주시,짬뽕지존 혁신점에서 홀 직원을 모집합니다,09:00~21:00,"월급2,600,000",25분전
전북 전주시,짬뽕지존 혁신점에서 홀 직원을 모집합니다,09:00~21:00,"월급2,600,000",25분전
전북 전주시,짬뽕지존 혁신점에서 홀 직원을 모집합니다,09:00~21:00,"월급2,600,000",47분전
전북 전주시,짬뽕지존 혁신점에서 홀 직원을 모집합니다,09:00~21:00,"월급2,600,000",47분전
전북 전주시,짬뽕지존 혁신점에서 홀 직원을 모집합니다,09:00~21:00,"월급2,600,000",47분전
경기 성남시,평일 홀 써빙 정직원 구함 ( 경력 및 초보 환영 ),10:00~21:00,"월급2,200,000",2시간전
충북 청주시,홀직원(야간)구합니다 짬뽕지존사창점,시간협의,"월급2,600,000",3시간전
경기 성남시,평일 홀 써빙 정직원 구함 ( 경력 및 초보 환영 ),10:00~21:00,"월급2,200,000",6시간전
경기 성남시,평일 홀 써빙 정직원 구함 ( 경력 및 초보 환영 ),10:00~21:00,"월급2,200,000",7시간전
전북 전주시,짬뽕지존 덕진점에서 주간 주방 직원을 모집합니다,09:00~21:00,"월급2,600,000",8시간전
전북 전주시,짬뽕지존 덕진점에서 주간 주방 직원을 모집합니다,09:00~21:00,"월급2,600,000",8시간전
전북 전주시,짬뽕지존 덕진점에서 주간 주방 직원을 모집합니다,09:00~21:00,"월급2,600,000",8시간전
전북 전주시,짬뽕지존 덕진점에서 주간 주방 직원을 모집합니다,09:00~21:00,"월급2,600,000",8시간전
전북 전주시,짬뽕지존 덕진점에서 주간 주방 직원을 모집합니다,09:00~21:00,"월급2,600,000",8시간전
충북 청주시,홀직원(야간)구합니다 짬뽕지존사창점,시간협의,"월급2,600,000",22시간전
대구 수성구,"짬뽕지존 대구수성점 주간,야간 주방정직원 채용",10:00~22:00,"월급2,500,000",01/16
대구 수성구,"짬뽕지존 대구수성점 주간,야간 주방정직원 채용",10:00~22:00,"월급2,500,000",01/13
경기 화성시,짬뽕지존 남사점 주방 직원 구합니다.,09:30~21:30,"월급2,900,000",01/12
경기 화성시,짬뽕지존 남사점 주방 직원 구합니다.,09:30~21:30,"월급2,900,000",01/12
경기 오산시,짬뽕지존 남사점 주방 직원 구합니다.,09:30~21:30,"월급2,900,000",01/12
경기 용인시,짬뽕지존 남사점 주방 직원 구합니다.,09:30~21:30,"월급2,900,000",01/12
대전 유성구,짬뽕지존 노은점 (주방직원),10:00~22:00,"월급2,700,000",01/11
제주 제주시,짬뽕지존 제주점에서 주방직원 구합니다,09:00~21:00,"월급2,750,000",01/07
대구 수성구,"짬뽕지존 대구수성점 주간,야간 주방정직원 채용",10:00~22:00,"월급2,500,000",01/05
경기 평택시,짬뽕지존포승점 주방직원 구합니다,09:00~21:00,"월급2,600,000",01/04
충북 청주시,"홀직원, 파트타이머(알바)구합니다 짬뽕지존사창점",시간협의,"시급9,160",01/02
경기 평택시,짬뽕지존포승점 주방직원 구합니다,09:00~21:00,"월급2,600,000",01/02
경기 평택시,짬뽕지존포승점 주방직원 구합니다,09:00~21:00,"월급2,600,000",01/01
