place,title,time,pay,date
세종 어진동,"세종시 방문 놀이선생님 - 전공무관/프리랜서/시급12,000~/단기가능",16:00~20:00,"시급12,000",6시간전
세종 새롬동,"세종시 방문 놀이선생님 - 전공무관/프리랜서/시급12,000~/단기가능",16:00~20:00,"시급12,000",6시간전
세종 어진동,"방문미술선생님 - 전공무관/프리랜서/시급17,000~/단기가능/커리큘럼제공",16:00~20:00,"시급17,000",6시간전
세종 어진동,"방문미술선생님 - 전공무관/프리랜서/시급17,000~/단기가능/커리큘럼제공",16:00~20:00,"시급17,000",6시간전
울산 전체,"방문미술선생님 - 전공무관/시급17,000~/단기가능/커리큘럼제공/프리랜서",16:00~20:00,"시급17,000",6시간전
울산 전체,"방문영어선생님 - 시급24,000~/단기가능/주급/대학생가능/경력무관",16:00~20:00,"시급24,000",6시간전
울산 전체,"방문놀이선생님 - 시급12,000~/단기가능/주급/대학생가능/경력무관",16:00~20:00,"시급12,000",6시간전
서울 강동구,[째깍악어] 고덕자이아파트 커뮤니티 키즈룸 근무매니저,시간협의,"월급2,088,000",01/12
세종 새롬동,"세종시 방문 놀이선생님 - 전공무관/프리랜서/시급12,000~/단기가능",16:00~20:00,"시급12,000",01/08
세종 어진동,"세종시 방문 놀이선생님 - 전공무관/프리랜서/시급12,000~/단기가능",16:00~20:00,"시급12,000",01/08
세종 어진동,"방문미술선생님 - 전공무관/프리랜서/시급17,000~/단기가능/커리큘럼제공",16:00~20:00,"시급17,000",12/30
세종 어진동,"방문미술선생님 - 전공무관/프리랜서/시급17,000~/단기가능/커리큘럼제공",16:00~20:00,"시급17,000",12/30
울산 전체,"방문놀이선생님 - 시급12,000~/단기가능/주급/대학생가능/경력무관",16:00~20:00,"시급12,000",12/30
울산 전체,"방문영어선생님 - 시급24,000~/단기가능/주급/대학생가능/경력무관",16:00~20:00,"시급24,000",12/30
울산 전체,"방문미술선생님 - 전공무관/시급17,000~/단기가능/커리큘럼제공/프리랜서",16:00~20:00,"시급17,000",12/30
