place,title,time,pay,date
경기 평택시,칠원동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",5시간전
경기 평택시,통복동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",5시간전
경기 평택시,평택동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",5시간전
경기 평택시,합정동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",5시간전
서울 강서구,오쇠동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",5시간전
경기 광명시,옥길동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 강서구,방화동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
경기 광명시,일직동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 강서구,외발산동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
경기 광명시,철산동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
경기 광명시,하안동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 강서구,화곡동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 양천구,신정동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
경기 부천시,원종동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 양천구,신정동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
경기 부천시,작동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 양천구,신월동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
경기 부천시,중동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 양천구,목동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 마포구,현석동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
경기 부천시,춘의동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
경기 안양시,비산동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 마포구,신공덕동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 마포구,망원동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
서울 마포구,당인동 청소매니저 상시 모집 / 가입비X 교육비X 회비X,시간협의,"시급13,000",6시간전
