place,title,time,pay,date
서울 관악구,투썸플레이스사당역로데오점 매니저채용합니다.,시간협의,"월급2,200,000",4분전
서울 전체,투썸플레이스 대림역점 직원 채용,시간협의,"월급2,400,000",9분전
서울 중구,투썸플레이스 광화문역점 월-금 오픈 직원(매니저) 구합니다,시간협의,"월급2,100,000",11분전
서울 강남구,(직영)투썸 도곡타워팰리스점 마감 Staff 모집 (금/토),18:00~24:00,"시급11,160",11분전
서울 강남구,(직영)투썸 도곡타워팰리스점 마감 Staff 모집 ( 월/수/목),18:00~24:00,"시급11,160",16분전
서울 강남구,[직영점] 투썸플레이스 청담역점 스탭(STAFF) 채용,16:30~22:30,"시급9,300",18분전
대전 전체,투썸플레이스 가수원 CGV점 직원(매니저)모집,08:00~17:00,"월급2,150,000",18분전
강원 양양군,투썸플레이스 양양점에서 함께 일 할 스탭을 모집합니다.,08:30~22:30,"시급9,160",19분전
충북 증평군,투썸플레이스 충북증평점 매니저 모집,시간협의,"월급2,000,000",19분전
서울 강남구,[직영점] 투썸플레이스 청담역점 스탭(STAFF) 채용,08:30~14:00,"시급9,300",19분전
경기 성남시,투썸플레이스 매니저 모집,시간협의,"월급2,100,000",22분전
서울 서초구,[직영]강남KI타워점 홀 마감스탭모집합니다.,17:00~23:30,"시급11,160",26분전
울산 남구,투썸울주군청율리점 토일(주말) 미들 스텝 구합니다,12:00~16:00,"시급9,160",28분전
울산 남구,스케쥴 근무(월 18일 가량) 가능한 파트타임 직원 구합니다,12:00~15:00,"시급10,992",29분전
서울 강남구,투썸플레이스 압구정역점 홀 오픈 스탭(FLOOR STAFF) 채용,08:00~13:30,"시급9,300",29분전
서울 강남구,투썸플레이스 압구정역점 키친 스탭(K.STAFF) 채용,07:30~13:30,"시급9,300",30분전
울산 북구,투썸플레이스 울산정자점 매니저 모집,시간협의,"월급2,100,000",33분전
대구 남구,투썸 영남대병원점 평일미들스텝모집,10:00~14:00,"시급9,160",34분전
서울 강남구,투썸플레이스 학동사거리점 수/목/금 마감 스탭 모집합니다.,16:30~22:30,"시급9,160",37분전
경기 성남시,투썸플레이스 야탑역점 월화수 낮 미들타임 스텝모집,13:00~18:00,"시급9,160",38분전
서울 동작구,투썸플레이스 이수역점  함께 할 매니저 모집 합니다,시간협의,"월급2,200,000",38분전
서울 강남구,투썸플레이스 학동사거리점 매니저 채용합니다.,13:30~22:30,"월급2,100,000",44분전
경기 수원시,투썸플레이스 수원고색점 평일 월화 미들 스텝 모집합니다,11:00~16:00,"시급9,160",44분전
광주 서구,투썸플레이스 광주염주점 주말 미들STAFF모집합니다,시간협의,"시급9,160",52분전
경기 수원시,투썸플레이스 수원고색점 매니저/직원 모집 합니다,시간협의,"월급1,920,000",57분전
서울 강남구,[직영점]투썸플레이스 강남역KR타워점 스텝채용[오픈],07:00~14:30,"시급11,160",1시간전
경기 성남시,투썸플레이스 분당서현점 월-수 미들 스탭 모집,12:00~16:00,"시급9,160",1시간전
서울 관악구,투썸플레이스 구로디지털역 깔깔거리점 주말스텝모집,17:00~22:00,"시급9,160",1시간전
경기 평택시,"투썸플레이스 평택용죽점에서 평일 월,화 마감 스텝을 모집합니다",15:00~22:00,"시급9,160",1시간전
서울 구로구,"투썸플레이스 구로항동점 평일, 주말 마감 알바 구합니다.",시간협의,"시급9,160",1시간전
서울 양천구,투썸플레이스 마감 매니저 구합니다 (월 8회 휴무),13:30~22:30,"월급2,050,000",1시간전
서울 양천구,투썸플레이스 로테이션 매니저 구합니다 (월 8회 휴무),시간협의,"월급2,150,000",1시간전
부산 서구,투썸플레이스 부산서대신점 마감스텝 모집,17:00~22:00,"시급9,160",1시간전
인천 서구,[투썸 인천검단금호점]주말스탭/6시간,12:00~18:00,"시급9,160",1시간전
경기 양평군,투썸플레이스 양평 오빈점에서 직원 모집합니다.,08:00~02:00,"시급9,160",2시간전
서울 노원구,투썸플레이스 석계역점 주말저녁 스텝 모집공고,19:00~22:00,"시급9,160",2시간전
울산 남구,스케쥴 근무(월 18일 가량) 가능한 파트타임 직원 구합니다,12:00~15:00,"시급10,992",2시간전
경기 성남시,투썸플레이스 분당서현점 마감 정규직 직원 모집,16:00~24:00,"월급1,920,000",2시간전
서울 도봉구,[명동대연각타워점]키친 STAFF (주4일) 모집합니다.(7-13.5),시간협의,"시급11,160",2시간전
경기 용인시,투썸플레이스  용인보라점  ( 주말  오픈 스탭 )  구합니다,09:00~14:00,"시급9,160",2시간전
경기 하남시,투썸플레이스 한강미사IS비즈타워점 직원 모집합니다,11:00~15:00,"시급9,160",2시간전
전남 여수시,투썸플레이스 여수죽림점 주말스텝 모집합니다,09:30~17:00,"시급9,160",2시간전
서울 구로구,투썸플레이스 구로디지털역 깔깔거리점 매니저 채용,07:00~01:00,"월급2,300,000",2시간전
충북 청주시,"투썸플레이스 모충점 미들, 마감 스텝 구합니다",12:00~23:00,"시급9,160",2시간전
서울 서초구,"투썸플레이스사당역로데오점 평일,주말 피티모집",시간협의,"시급9,160",2시간전
경기 김포시,투썸 김포고촌점에서 주말마감스텝모집합니다.,16:00~23:30,"시급9,160",2시간전
대전 전체,투썸플레이스 도안바로세움점 카페 매니저 모집합니다,15:00~22:00,"시급10,000",2시간전
서울 도봉구,투썸명동대연각타워점 홀 직원 구인,시간협의,"시급11,160",2시간전
대전 서구,투썸플레이스관저느리울점에서 함께 일할 매니져구합니다,시간협의,"월급2,100,000",2시간전
경기 성남시,투썸플레이스 분당서현점 마감 정규직 직원 모집,16:00~24:00,"월급1,920,000",2시간전
