place,title,time,pay,date
서울 동작구,7호선 상도역 박승철헤어스투디오 디자이너&파트너 모집 /경력무관 / 휴무협의,10:30~20:30,"월급1,990,000",1시간전
서울 영등포,[박승철헤어당산2호점]디자이너&주니어님을 모십니다,10:30~21:00,"월급1,822,480",5시간전
서울 영등포,[당산역점] 디자이너 모십니다(일요일 휴무가능),10:30~20:00,"월급1,914,440",5시간전
서울 영등포,[박승철헤어스투디오 당산역점] 디자이너 모십니다(일요일 휴무가능),10:30~20:00,"월급1,914,440",20시간전
울산 중구,울산박승철헤어스투디오 울산성남점에서 새로운 가족을 구합니다,10:30~20:30,"월급1,820,000",01/15
서울 영등포,[박승철헤어당산2호점]디자이너&주니어님을 모십니다,10:30~21:00,"월급1,822,480",01/15
경기 안산시,박승철헤어 안산고잔점에서 인턴분을 구인합니다.,10:00~07:00,"시급9,160",01/15
경기 안산시,박승철헤어 안산고잔점에서 인턴분을 구인합니다.,10:00~07:00,"시급9,160",01/15
경기 안산시,박승철헤어 안산고잔점에서 인턴분을 구인합니다.,10:00~07:00,"시급9,160",01/15
경기 안산시,박승철헤어 안산고잔점에서 인턴분을 구인합니다.,10:00~07:00,"시급9,160",01/15
경기 안산시,박승철헤어 안산고잔점에서 인턴분을 구인합니다.,10:00~07:00,"시급9,160",01/15
울산 중구,울산박승철헤어스투디오 울산성남점에서 새로운 가족을 구합니다,10:30~20:30,"월급1,820,000",01/13
서울 영등포,[박승철헤어당산2호점]디자이너&주니어님을 모십니다,10:30~21:00,"월급1,822,480",01/11
서울 동작구,박승철헤어스튜디오 이수역점에서 함께 일할 인턴을 모집합니다.,시간협의,"월급1,830,000",01/10
서울 동작구,박승철헤어스튜디오 이수역점에서 함께 일할 인턴을 모집합니다.,시간협의,"월급1,830,000",01/10
서울 동작구,박승철헤어스튜디오 이수역점에서 함께 일할 인턴을 모집합니다.,시간협의,"월급1,830,000",01/10
