place,title,time,pay,date
서울 강서구,호치킨 강서하이웨이점 홀서빙 급구,18:30~23:30,"시급9,500",54분전
경기 의정부,"호치킨 회룡역 주방 파트타임(토,일)  모집합니다.",시간협의,"시급9,160",1시간전
서울 강서구,호치킨 강서하이웨이점 홀서빙 급구,18:30~23:30,"시급9,500",5시간전
경기 광주시,호치킨 남여알바 시급 만원,18:00~00:00,"시급10,000",7시간전
경기 광주시,호치킨 남여알바 시급 만원,18:00~00:00,"시급10,000",7시간전
경기 광주시,호치킨 남여알바 시급 만원,18:00~00:00,"시급10,000",7시간전
경기 광주시,호치킨 남여알바 시급 만원,18:00~00:00,"시급10,000",7시간전
경기 광주시,호치킨 남여알바 시급 만원,18:00~00:00,"시급10,000",7시간전
경기 의정부,"호치킨 회룡역 평일 홀서빙(목,금) 모집합니다.",18:30~21:30,"시급9,160",7시간전
경기 수원시,[호치킨 수원영통청명마을점] 주방보조 아르바이트 모집,18:00~22:00,"시급9,300",01/11
서울 마포구,홀서빙 알바 구인합니다.,18:00~23:00,"시급9,160",01/10
서울 마포구,홀서빙 알바 구인합니다.,18:00~23:00,"시급9,160",01/09
경기 수원시,[호치킨 수원영통청명마을점] 주방보조 아르바이트 모집,18:00~22:00,"시급9,300",01/09
서울 마포구,홀서빙 알바 구인합니다.,17:30~23:30,"시급9,160",01/07
경기 수원시,[호치킨 수원영통청명마을점] 주방보조 아르바이트 모집,18:00~22:00,"시급9,300",01/02
서울 마포구,홀서빙 알바 구인합니다.,18:00~23:00,"시급9,160",01/01
경기 시흥시,목감호치킨 알바구합니다.,20:00~02:00,"시급9,200",01/01
